Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,83.167357,[196  22] ; [119 117],[151.25550661  66.74449339] ; [163.74449339  72.25550661],1
p5,1,0.0,31.374589,[ 54 164] ; [ 14 221],[ 32.72406181 185.27593819] ; [ 35.27593819 199.72406181],1
p8,1,0.0,28.785115,[168  48] ; [125 108],[140.9532294  75.0467706] ; [152.0467706  80.9532294],1
p12,1,6e-06,20.540566,[ 34 182] ; [  8 229],[ 20.02649007 195.97350993] ; [ 21.97350993 215.02649007],1
p9,1,3.4e-05,17.174543,[202  15] ; [187  48],[186.75442478  30.24557522] ; [202.24557522  32.75442478],1
p1,1,7.1e-05,15.796311,[ 36 181] ; [ 12 224],[ 22.99337748 194.00662252] ; [ 25.00662252 210.99337748],1
p10,1,0.001073,10.697834,[193  23] ; [183  52],[180.07982262  35.92017738] ; [195.92017738  39.07982262],0
b1,1,0.017128,5.68317,[106 112] ; [ 89 148],[ 93.42857143 124.57142857] ; [101.57142857 135.42857143],0
p2,1,0.181747,1.783284,[198  20] ; [205  31],[193.51101322  24.48898678] ; [209.48898678  26.51101322],0
p11,1,0.2888,1.125207,[178  40] ; [184  53],[173.44175824  44.55824176] ; [188.55824176  48.44175824],0
