Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,41.959799,[154  84] ; [261  35],[184.96254682  53.03745318] ; [230.03745318  65.96254682],1
p4,1,6e-05,16.113426,[173  66] ; [258  41],[191.46654275  47.53345725] ; [239.53345725  59.46654275],1
p5,1,0.000683,11.536012,[ 27 209] ; [ 68 231],[ 41.90654206 194.09345794] ; [ 53.09345794 245.90654206],1
p2,1,0.001902,9.641687,[198  40] ; [274  24],[209.58208955  28.41791045] ; [262.41791045  35.58208955],0
p10,1,0.003489,8.532231,[194  44] ; [268  29],[205.52523364  32.47476636] ; [256.47476636  40.52523364],0
p9,1,0.00627,7.470995,[198  39] ; [273  26],[208.25932836  28.74067164] ; [262.74067164  36.25932836],0
p12,1,0.006637,7.368617,[ 15 224] ; [ 40 258],[ 24.47858473 214.52141527] ; [ 30.52141527 267.47858473],0
p11,1,0.027542,4.856529,[191  48] ; [260  39],[200.35130112  38.64869888] ; [250.64869888  48.35130112],0
p1,1,0.082785,3.009356,[ 22 216] ; [ 42 255],[ 28.47102804 209.52897196] ; [ 35.52897196 261.47102804],0
b1,1,0.930994,0.007499,[ 96 143] ; [119 180],[ 95.51115242 143.48884758] ; [119.48884758 179.51115242],0
