Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,289.718188,[32 75] ; [457  17],[90.05679862 16.94320138] ; [398.94320138  75.05679862],1
p11,1,0.0,121.131078,[43 68] ; [413  62],[86.37542662 24.62457338] ; [369.62457338 105.37542662],1
p2,1,0.0,64.120115,[59 52] ; [411  63],[89.17948718 21.82051282] ; [380.82051282  93.17948718],1
n6,1,0.0,60.614564,[65 46] ; [420  51],[92.5 18.5] ; [392.5  78.5],1
r4,1,0.0,56.526838,[72 39] ; [436  39],[96.22525597 14.77474403] ; [411.77474403  63.22525597],1
r3,1,0.0,56.488061,[85 26] ; [458  15],[103.20719178   7.79280822] ; [439.79280822  33.20719178],1
v4,1,0.0,44.483366,[88 22] ; [457  14],[103.18416523   6.81583477] ; [441.81583477  29.18416523],1
r2,1,0.0,32.998467,[89 21] ; [451  18],[102.59067358   7.40932642] ; [437.40932642  31.59067358],1
p8,1,0.0,27.367752,[30 79] ; [259 209],[54.59445407 54.40554593] ; [234.40554593 233.59445407],1
a7,1,1e-06,23.646552,[59 52] ; [362 113],[79.74573379 31.25426621] ; [341.25426621 133.74573379],1
n5,1,9e-06,19.747649,[61 50] ; [358 113],[79.91237113 31.08762887] ; [339.08762887 131.91237113],1
v2,1,1.8e-05,18.429519,[41 67] ; [277 179],[60.89361702 47.10638298] ; [257.10638298 198.89361702],1
r1,1,3.4e-05,17.191984,[69 42] ; [381  92],[85.53082192 25.46917808] ; [364.46917808 108.53082192],1
s6,1,3.4e-05,17.173073,[53 55] ; [327 140],[71.37391304 36.62608696] ; [308.62608696 158.37391304],1
a6,1,4.1e-05,16.810725,[55 55] ; [334 140],[73.27054795 36.72945205] ; [315.72945205 158.27054795],1
d3,1,4.2e-05,16.794051,[58 52] ; [345 129],[75.90753425 34.09246575] ; [327.09246575 146.90753425],1
p7,1,5.1e-05,16.411421,[48 62] ; [298 163],[66.65499124 43.34500876] ; [279.34500876 181.65499124],1
p4,1,7.9e-05,15.585439,[44 67] ; [284 187],[62.55670103 48.44329897] ; [265.44329897 205.55670103],1
s8,1,8.3e-05,15.478217,[26 82] ; [211 261],[44.13103448 63.86896552] ; [192.86896552 279.13103448],1
v1,1,0.000163,14.212497,[40 71] ; [259 204],[57.82055749 53.17944251] ; [241.17944251 221.82055749],1
s7,1,0.000439,12.35778,[30 70] ; [225 231],[45.86330935 54.13669065] ; [209.13669065 246.86330935],1
s2,1,0.000597,11.786669,[37 73] ; [244 227],[53.20137694 56.79862306] ; [227.79862306 243.20137694],1
s5,1,0.000764,11.326749,[20 86] ; [164 293],[34.64298401 71.35701599] ; [149.35701599 307.64298401],1
d1,1,0.000853,11.121182,[48 63] ; [288 187],[63.64505119 47.35494881] ; [272.35494881 202.64505119],1
d5,1,0.001024,10.783498,[76 34] ; [393  81],[88.3390411 21.6609589] ; [380.6609589  93.3390411],0
a5,1,0.001196,10.495983,[64 47] ; [348 127],[78.04095563 32.95904437] ; [333.95904437 141.04095563],0
a1,1,0.003718,8.4168,[ 10 101] ; [ 14 461],[  4.54607509 106.45392491] ; [ 19.45392491 455.54607509],0
d4,1,0.004614,8.025009,[78 31] ; [395  79],[88.43396226 20.56603774] ; [384.56603774  89.43396226],0
a3,1,0.005604,7.67337,[61 50] ; [326 148],[73.43076923 37.56923077] ; [313.56923077 160.43076923],0
v3,1,0.006062,7.531762,[29 77] ; [191 266],[41.42095915 64.57904085] ; [178.57904085 278.42095915],0
p12,1,0.006316,7.457753,[  2 109] ; [ 46 428],[  9.10769231 101.89230769] ; [ 38.89230769 435.10769231],0
s3,1,0.00814,7.00235,[45 65] ; [257 211],[57.47404844 52.52595156] ; [244.52595156 223.47404844],0
n2,1,0.019161,5.486734,[27 19] ; [79 23],[32.94594595 13.05405405] ; [73.05405405 28.94594595],0
n4,1,0.022743,5.188029,[74 37] ; [366 109],[83.3447099 27.6552901] ; [356.6552901 118.3447099],0
u4,1,0.023486,5.132212,[  5 106] ; [  6 469],[  2.08361775 108.91638225] ; [  8.91638225 466.08361775],0
s1,1,0.024484,5.059982,[  8 103] ; [ 13 456],[  4.01896552 106.98103448] ; [ 16.98103448 452.01896552],0
n1,1,0.029868,4.716899,[22 24] ; [30 72],[16.16216216 29.83783784] ; [35.83783784 66.16216216],0
p5,1,0.04972,3.850879,[  6 104] ; [ 56 416],[11.71821306 98.28178694] ; [ 50.28178694 421.71821306],0
p3,1,0.050883,3.81213,[42 69] ; [228 246],[51.23076923 59.76923077] ; [218.76923077 255.23076923],0
p6,1,0.051936,3.777834,[28 80] ; [168 302],[36.62283737 71.37716263] ; [159.37716263 310.62283737],0
u1,1,0.08638,2.940575,[12 99] ; [ 83 392],[17.99488055 93.00511945] ; [ 77.00511945 397.99488055],0
b2,1,0.180516,1.793375,[21 46] ; [111 165],[25.78425656 41.21574344] ; [106.21574344 169.78425656],0
b3,1,0.180516,1.793375,[21 46] ; [111 165],[25.78425656 41.21574344] ; [106.21574344 169.78425656],0
n3,1,0.210549,1.567648,[28 17] ; [74 28],[31.2244898 13.7755102] ; [70.7755102 31.2244898],0
u2,1,0.216063,1.53033,[22 26] ; [83 65],[25.71428571 22.28571429] ; [79.28571429 68.71428571],0
b5,1,0.301318,1.068352,[75 36] ; [296 179],[70.27474403 40.72525597] ; [300.72525597 174.27474403],0
s4,1,0.445221,0.582789,[17 92] ; [ 88 382],[19.76683938 89.23316062] ; [ 85.23316062 384.76683938],0
a2,1,0.490785,0.474806,[21 90] ; [104 371],[23.6774744 87.3225256] ; [101.3225256 373.6774744],0
p1,1,0.547102,0.362535,[  8 102] ; [ 43 431],[  9.60616438 100.39383562] ; [ 41.39383562 432.60616438],0
u3,1,0.570932,0.321126,[30 20] ; [82 66],[28.28282828 21.71717172] ; [83.71717172 64.28282828],0
a8,1,0.837618,0.042001,[13 91] ; [ 57 373],[13.6329588 90.3670412] ; [ 56.3670412 373.6329588],0
a4,1,0.896323,0.01698,[46 64] ; [195 279],[45.39383562 64.60616438] ; [195.60616438 278.39383562],0
d2,1,0.898356,0.016317,[49 60] ; [209 263],[48.40275387 60.59724613] ; [209.59724613 262.40275387],0
b4,1,0.907964,0.013365,[65 46] ; [281 194],[65.53924915 45.46075085] ; [280.46075085 194.53924915],0
