Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,121.566881,[247  52] ; [ 50 111],[193.05 105.95] ; [103.95  57.05],1
p2,1,0.0,65.927525,[264  37] ; [91 77],[227.8358209  73.1641791] ; [127.1641791  40.8358209],1
p11,1,0.0,63.805136,[242  60] ; [74 94],[203.04680851  98.95319149] ; [112.95319149  55.04680851],1
p8,1,0.0,61.273852,[174 124] ; [ 34 131],[133.87473002 164.12526998] ; [74.12526998 90.87473002],1
p3,1,0.0,27.238611,[154 148] ; [ 44 124],[127.22553191 174.77446809] ; [70.77446809 97.22553191],1
p4,1,0.0,26.505992,[170 132] ; [ 53 115],[143.2893617 158.7106383] ; [79.7106383 88.2893617],1
b1,1,0.031193,4.642299,[113 189] ; [80 88],[124.01276596 177.98723404] ; [68.98723404 99.01276596],0
p5,1,0.101007,2.689564,[ 22 277] ; [  6 161],[ 17.96566524 281.03433476] ; [ 10.03433476 156.96566524],0
p12,1,0.260642,1.265346,[ 11 291] ; [  3 164],[  9.01492537 292.98507463] ; [  4.98507463 162.01492537],0
p1,1,0.940704,0.005533,[ 14 286] ; [  8 158],[ 14.16309013 285.83690987] ; [  7.83690987 158.16309013],0
