Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.00092,10.982964,[358 140] ; [246  53],[377.40526976 120.59473024] ; [226.59473024  72.40526976],1
p12,1,0.048655,3.887227,[ 46 453] ; [ 41 258],[ 54.40225564 444.59774436] ; [ 32.59774436 266.40225564],0
p1,1,0.055635,3.662963,[ 48 451] ; [ 42 257],[ 56.27819549 442.72180451] ; [ 33.72180451 265.27819549],0
p5,1,0.082558,3.013819,[ 79 420] ; [ 62 238],[ 88.05882353 410.94117647] ; [ 52.94117647 247.05882353],0
p3,1,0.150569,2.066472,[312 187] ; [202  97],[321.41102757 177.58897243] ; [192.58897243 106.41102757],0
p11,1,0.357622,0.846227,[428  73] ; [249  51],[423.44194757  77.55805243] ; [253.55805243  46.44194757],0
p2,1,0.395744,0.721219,[457  41] ; [270  30],[453.69172932  44.30827068] ; [273.30827068  26.69172932],0
b1,1,0.55935,0.340831,[190 311] ; [120 180],[193.89513109 307.10486891] ; [116.10486891 183.89513109],0
p10,1,0.602118,0.271814,[463  35] ; [275  24],[461.13425345  36.86574655] ; [276.86574655  22.13425345],0
p8,1,0.631039,0.230655,[341 156] ; [210  89],[344.02889447 152.97110553] ; [206.97110553  92.02889447],0
