Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,104.622893,[55 86] ; [242  36],[99.9451074 41.0548926] ; [197.0548926  80.9451074],1
p4,1,0.0,90.006391,[53 89] ; [234  48],[96.11792453 45.88207547] ; [190.88207547  91.11792453],1
p2,1,0.0,89.190313,[72 70] ; [258  25],[110.25882353  31.74117647] ; [219.74117647  63.25882353],1
p11,1,0.0,79.639912,[59 83] ; [237  46],[98.89882353 43.10117647] ; [197.10117647  85.89882353],1
p8,1,0.0,78.79789,[ 37 104] ; [202  80],[79.66666667 61.33333333] ; [159.33333333 122.66666667],1
p3,1,0.0,52.89659,[44 97] ; [193  89],[79. 62.] ; [158. 124.],1
p5,1,2e-06,22.600315,[  5 136] ; [ 60 223],[ 21.61556604 119.38443396] ; [ 43.38443396 239.61556604],1
p12,1,2.6e-05,17.71992,[  2 139] ; [ 41 241],[ 14.33333333 126.66666667] ; [ 28.66666667 253.33333333],1
b1,1,0.017204,5.675421,[75 67] ; [115 168],[63.48235294 78.51764706] ; [126.51764706 156.48235294],0
p1,1,0.041236,4.166294,[ 10 131] ; [ 39 243],[ 16.33333333 124.66666667] ; [ 32.66666667 249.33333333],0
