Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,61.791713,[266  64] ; [47 66],[233.16027088  96.83972912] ; [79.83972912 33.16027088],1
d1,1,0.0,36.23458,[212 119] ; [36 78],[184.46741573 146.53258427] ; [63.53258427 50.46741573],1
d2,1,0.0,35.658071,[191 137] ; [29 84],[163.62811791 164.37188209] ; [56.37188209 56.62811791],1
a4,1,0.0,34.007986,[177 152] ; [25 88],[150.35746606 178.64253394] ; [51.64253394 61.35746606],1
d5,1,0.0,32.936466,[285  45] ; [70 44],[263.85135135  66.14864865] ; [91.14864865 22.85135135],1
a6,1,0.0,27.565348,[247  83] ; [55 59],[224.45945946 105.54054054] ; [77.54054054 36.45945946],1
d4,1,0.0,27.545446,[281  49] ; [70 43],[261.46726862  68.53273138] ; [89.53273138 23.46726862],1
r1,1,0.0,25.547204,[278  51] ; [70 43],[259.03167421  69.96832579] ; [88.96832579 24.03167421],1
u1,1,1.3e-05,19.030411,[ 70 261] ; [  4 110],[ 55.04269663 275.95730337] ; [18.95730337 95.04269663],1
r2,1,0.0007,11.48823,[308  17] ; [95 17],[299.71395881  25.28604119] ; [103.28604119   8.71395881],1
r4,1,0.000701,11.486675,[293  38] ; [86 28],[281.90786517  49.09213483] ; [97.09213483 16.90786517],1
s7,1,0.001459,10.129839,[152 162] ; [34 76],[137.74528302 176.25471698] ; [48.25471698 61.74528302],0
d3,1,0.003464,8.545631,[224 106] ; [60 54],[211.08108108 118.91891892] ; [72.91891892 41.08108108],0
v4,1,0.007105,7.246238,[306  22] ; [96 17],[298.99319728  29.00680272] ; [103.00680272   9.99319728],0
s5,1,0.022857,5.179329,[ 95 227] ; [20 89],[ 85.91647332 236.08352668] ; [29.08352668 79.91647332],0
p11,1,0.024102,5.087245,[266  65] ; [80 34],[257.36179775  73.63820225] ; [88.63820225 25.36179775],0
v2,1,0.02487,5.032949,[180 142] ; [45 59],[170.07042254 151.92957746] ; [54.92957746 49.07042254],0
s8,1,0.027563,4.855182,[133 195] ; [33 81],[123.18552036 204.81447964] ; [42.81447964 71.18552036],0
b2,1,0.028946,4.770832,[ 81 135] ; [16 53],[ 73.51578947 142.48421053] ; [23.48421053 45.51578947],0
b3,1,0.028946,4.770832,[ 81 135] ; [16 53],[ 73.51578947 142.48421053] ; [23.48421053 45.51578947],0
a7,1,0.031219,4.640869,[238  93] ; [69 44],[228.86711712 102.13288288] ; [78.13288288 34.86711712],0
p2,1,0.033307,4.529927,[261  69] ; [79 35],[252.7027027  77.2972973] ; [87.2972973 26.7027027],0
p9,1,0.042079,4.132024,[262  63] ; [80 32],[254.34782609  70.65217391] ; [87.65217391 24.34782609],0
p10,1,0.062285,3.47546,[261  68] ; [80 33],[253.82126697  75.17873303] ; [87.17873303 25.82126697],0
v3,1,0.06893,3.308318,[132 185] ; [35 75],[123.97892272 193.02107728] ; [43.02107728 66.97892272],0
r3,1,0.069629,3.29175,[304  25] ; [98 15],[299.22624434  29.77375566] ; [102.77375566  10.22624434],0
p4,1,0.073535,3.20229,[166 163] ; [46 67],[157.80090498 171.19909502] ; [54.19909502 58.80090498],0
p8,1,0.092333,2.833219,[142 184] ; [39 74],[134.41002278 191.58997722] ; [46.58997722 66.41002278],0
p3,1,0.130629,2.285019,[145 184] ; [41 73],[138.13544018 190.86455982] ; [47.86455982 66.13544018],0
s1,1,0.132481,2.263183,[ 10 316] ; [  7 105],[ 12.65296804 313.34703196] ; [  4.34703196 107.65296804],0
s4,1,0.263193,1.251883,[ 41 287] ; [19 95],[ 44.52488688 283.47511312] ; [15.47511312 98.52488688],0
n5,1,0.274866,1.192303,[279  49] ; [92 22],[275.31221719  52.68778281] ; [95.68778281 18.31221719],0
n3,1,0.300035,1.074041,[55 21] ; [16 10],[52.90196078 23.09803922] ; [18.09803922  7.90196078],0
a1,1,0.353344,0.861412,[ 19 312] ; [  4 110],[ 17.10786517 313.89213483] ; [  5.89213483 108.10786517],0
p12,1,0.376167,0.783191,[ 22 307] ; [  5 109],[ 20.05191874 308.94808126] ; [  6.94808126 107.05191874],0
u3,1,0.386704,0.749281,[34 31] ; [30 37],[31.51515152 33.48484848] ; [32.48484848 34.51515152],0
