Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,80.624976,[ 9 13] ; [244  10],[20.16666667  1.83333333] ; [232.83333333  21.16666667],1
r4,1,0.0,63.587311,[ 6 16] ; [230  25],[18.74368231  3.25631769] ; [217.25631769  37.74368231],1
r1,1,4e-06,21.197643,[ 8 14] ; [202  51],[16.8  5.2] ; [193.2  59.8],1
d5,1,9e-06,19.80518,[10 12] ; [213  40],[17.84  4.16] ; [205.16  47.84],1
d1,1,0.000243,13.46628,[ 5 17] ; [160  95],[13.10469314  8.89530686] ; [151.89530686 103.10469314],1
r3,1,0.001683,9.866702,[14  7] ; [229  26],[18.48913043  2.51086957] ; [224.51086957  30.48913043],0
n4,1,0.002739,8.97395,[12 10] ; [207  47],[17.45652174  4.54347826] ; [201.54347826  52.45652174],0
a4,1,0.005241,7.794222,[ 6 16] ; [147 106],[12.24  9.76] ; [140.76 112.24],0
d2,1,0.005515,7.702324,[ 6 16] ; [146 106],[12.20437956  9.79562044] ; [139.79562044 112.20437956],0
p6,1,0.011924,6.322119,[ 2 20] ; [ 90 164],[ 7.33333333 14.66666667] ; [ 84.66666667 169.33333333],0
n6,1,0.016466,5.752404,[13  8] ; [211  43],[17.10545455  3.89454545] ; [206.89454545  47.10545455],0
p2,1,0.017521,5.643391,[13  9] ; [204  49],[17.36  4.64] ; [199.64  53.36],0
v1,1,0.020644,5.356566,[ 4 18] ; [108 140],[ 9.12592593 12.87407407] ; [102.87407407 145.12592593],0
d3,1,0.027801,4.840372,[10 12] ; [174  80],[14.66666667  7.33333333] ; [169.33333333  84.66666667],0
u2,1,0.033285,4.531054,[7 1] ; [26 29],[4.19047619 3.80952381] ; [28.80952381 26.19047619],0
a2,1,0.038221,4.295181,[ 2 20] ; [ 76 179],[ 6.19494585 15.80505415] ; [ 71.80505415 183.19494585],0
s5,1,0.047785,3.917528,[ 3 19] ; [ 85 163],[ 7.17037037 14.82962963] ; [ 80.82962963 167.17037037],0
s3,1,0.048223,3.902212,[ 7 15] ; [136 117],[11.44 10.56] ; [131.56 121.44],0
