Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.029364,4.746171,[ 8 42] ; [2 1],[ 9.43396226 40.56603774] ; [0.56603774 2.43396226],0
p9,1,0.196256,1.670017,[15 34] ; [2 1],[16.01923077 32.98076923] ; [0.98076923 2.01923077],0
p1,1,0.215383,1.53487,[ 5 45] ; [1 2],[ 5.66037736 44.33962264] ; [0.33962264 2.66037736],0
p3,1,0.229328,1.445022,[16 33] ; [2 1],[16.96153846 32.03846154] ; [1.03846154 1.96153846],0
a6,1,0.251809,1.31324,[33 17] ; [1 2],[32.0754717 17.9245283] ; [1.9245283 1.0754717],0
v1,1,0.339207,0.913425,[19 30] ; [2 1],[19.78846154 29.21153846] ; [1.21153846 1.78846154],0
a4,1,0.339207,0.913425,[19 30] ; [2 1],[19.78846154 29.21153846] ; [1.21153846 1.78846154],0
b3,1,0.361032,0.8343,[11 17] ; [2 1],[11.74193548 16.25806452] ; [1.25806452 1.74193548],0
b2,1,0.361032,0.8343,[11 17] ; [2 1],[11.74193548 16.25806452] ; [1.25806452 1.74193548],0
v2,1,0.396329,0.719436,[20 28] ; [2 1],[20.70588235 27.29411765] ; [1.29411765 1.70588235],0
b5,1,0.402437,0.701034,[29 21] ; [1 2],[28.30188679 21.69811321] ; [1.69811321 1.30188679],0
u1,1,0.437373,0.603165,[ 8 42] ; [1 2],[ 8.49056604 41.50943396] ; [0.50943396 2.49056604],0
b4,1,0.574885,0.314577,[25 25] ; [1 2],[24.52830189 25.47169811] ; [1.47169811 1.52830189],0
p2,1,0.621114,0.244305,[26 24] ; [2 1],[26.41509434 23.58490566] ; [1.58490566 1.41509434],0
a2,1,0.715158,0.133179,[12 38] ; [1 2],[12.26415094 37.73584906] ; [0.73584906 2.26415094],0
a3,1,0.863628,0.029501,[29 18] ; [2 1],[29.14 17.86] ; [1.86 1.14],0
p7,1,0.905464,0.014105,[18 31] ; [1 2],[17.90384615 31.09615385] ; [1.09615385 1.90384615],0
a7,1,0.980547,0.000595,[33 16] ; [2 1],[32.98076923 16.01923077] ; [2.01923077 0.98076923],0
d3,1,0.981106,0.000561,[33 17] ; [2 1],[33.01886792 16.98113208] ; [1.98113208 1.01886792],0
