Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.001944,9.601572,[2 5] ; [ 26 592],[0.3136 6.6864] ; [ 27.6864 590.3136],0
b2,1,0.010793,6.499152,[6 1] ; [145 234],[2.73834197 4.26165803] ; [148.26165803 230.73834197],0
b3,1,0.010793,6.499152,[6 1] ; [145 234],[2.73834197 4.26165803] ; [148.26165803 230.73834197],0
a2,1,0.029989,4.709922,[4 3] ; [139 479],[1.6016 5.3984] ; [141.3984 476.6016],0
v3,1,0.034728,4.45851,[5 1] ; [243 354],[2.46766169 3.53233831] ; [245.53233831 351.46766169],0
d2,1,0.035459,4.422958,[6 1] ; [282 333],[3.24115756 3.75884244] ; [284.75884244 330.24115756],0
a8,1,0.036372,4.379583,[2 2] ; [ 78 493],[0.55652174 3.44347826] ; [ 79.44347826 491.55652174],0
u1,1,0.074712,3.176339,[3 4] ; [106 512],[1.2208 5.7792] ; [107.7792 510.2208],0
a4,1,0.140118,2.176666,[5 2] ; [269 348],[3.07371795 3.92628205] ; [270.92628205 346.07371795],0
p5,1,0.154749,2.024807,[2 4] ; [ 82 532],[0.81290323 5.18709677] ; [ 83.18709677 530.81290323],0
d1,1,0.15792,1.994029,[6 1] ; [367 251],[4.1776 2.8224] ; [368.8224 249.1776],0
s8,1,0.184255,1.762965,[5 2] ; [284 330],[3.25764895 3.74235105] ; [285.74235105 328.25764895],0
v2,1,0.223743,1.4802,[5 1] ; [348 244],[3.54180602 2.45819398] ; [349.45819398 242.54180602],0
s7,1,0.270973,1.211817,[5 2] ; [300 294],[3.55241265 3.44758735] ; [301.44758735 292.55241265],0
s3,1,0.443108,0.58822,[5 2] ; [346 261],[4.00162866 2.99837134] ; [346.99837134 260.00162866],0
b5,1,0.481871,0.494626,[5 2] ; [360 258],[4.088 2.912] ; [360.912 257.088],0
b4,1,0.497426,0.460423,[5 2] ; [363 255],[4.1216 2.8784] ; [363.8784 254.1216],0
p12,1,0.675849,0.174837,[1 6] ; [ 59 556],[0.67524116 6.32475884] ; [ 59.32475884 555.67524116],0
p4,1,0.692529,0.156361,[5 2] ; [395 220],[4.50160772 2.49839228] ; [395.49839228 219.50160772],0
n4,1,0.718101,0.130319,[6 1] ; [496 122],[5.6224 1.3776] ; [496.3776 121.6224],0
s5,1,0.720501,0.128013,[2 5] ; [210 389],[2.44884488 4.55115512] ; [209.55115512 389.44884488],0
r1,1,0.728321,0.120659,[6 1] ; [495 120],[5.63826367 1.36173633] ; [495.36173633 119.63826367],0
p6,1,0.77543,0.081385,[3 4] ; [229 380],[2.63636364 4.36363636] ; [229.36363636 379.63636364],0
s2,1,0.778368,0.079212,[4 3] ; [317 295],[3.63004847 3.36995153] ; [317.36995153 294.63004847],0
d5,1,0.790235,0.070759,[6 1] ; [504 112],[5.73033708 1.26966292] ; [504.26966292 111.73033708],0
p3,1,0.870645,0.026517,[4 3] ; [333 283],[3.78651685 3.21348315] ; [333.21348315 282.78651685],0
p7,1,0.885068,0.020894,[5 2] ; [414 187],[4.82401316 2.17598684] ; [414.17598684 186.82401316],0
p2,1,0.888469,0.019668,[6 1] ; [538  77],[6.1221865 0.8778135] ; [537.8778135  77.1221865],0
p8,1,0.916035,0.011115,[4 3] ; [360 249],[4.13636364 2.86363636] ; [359.86363636 249.13636364],0
a6,1,0.918604,0.010443,[5 2] ; [429 187],[4.87640449 2.12359551] ; [429.12359551 186.87640449],0
a7,1,0.921236,0.009777,[5 2] ; [451 166],[5.11538462 1.88461538] ; [450.88461538 166.11538462],0
