Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,122.686326,[45 85] ; [350  65],[94.22018349 35.77981651] ; [300.77981651 114.22018349],1
d3,1,0.0,62.715343,[89 41] ; [392  24],[114.52380952  15.47619048] ; [366.47619048  49.52380952],1
a2,1,0.0,40.147059,[ 15 115] ; [174 242],[45. 85.] ; [144. 272.],1
u1,1,0.0,30.018807,[ 11 119] ; [137 279],[35.23809524 94.76190476] ; [112.76190476 303.23809524],1
b5,1,0.0,25.564352,[55 75] ; [279 137],[79.52380952 50.47619048] ; [254.47619048 161.52380952],1
b1,1,3e-06,21.627515,[72 58] ; [136 280],[49.52380952 80.47619048] ; [158.47619048 257.52380952],1
v4,1,0.000906,11.009564,[116  14] ; [399  14],[123.29650092   6.70349908] ; [391.70349908  21.29650092],1
r1,1,0.001555,10.012782,[97 33] ; [356  56],[108.65313653  21.34686347] ; [344.34686347  67.65313653],0
r4,1,0.014643,5.958928,[109  21] ; [380  36],[116.42857143  13.57142857] ; [372.57142857  43.42857143],0
d2,1,0.019511,5.455127,[104  25] ; [291 124],[93.66727941 35.33272059] ; [301.33272059 113.66727941],0
s5,1,0.035523,4.419877,[55 68] ; [136 261],[45.17884615 77.82115385] ; [145.82115385 251.17884615],0
p12,1,0.06689,3.357743,[  6 119] ; [ 42 373],[ 11.11111111 113.88888889] ; [ 36.88888889 378.11111111],0
v2,1,0.088367,2.903874,[70 57] ; [253 145],[78.1352381 48.8647619] ; [244.8647619 153.1352381],0
p2,1,0.091518,2.84747,[97 29] ; [346  68],[103.36666667  22.63333333] ; [339.63333333  74.36666667],0
p10,1,0.093821,2.807554,[97 29] ; [345  68],[103.32467532  22.67532468] ; [338.67532468  74.32467532],0
r3,1,0.097557,2.745034,[119  10] ; [396  17],[122.57380074   6.42619926] ; [392.42619926  20.57380074],0
r2,1,0.107771,2.586605,[118   8] ; [397  13],[121.06343284   4.93656716] ; [393.93656716  16.06343284],0
u3,1,0.128542,2.310026,[11 11] ; [58 28],[14.05555556  7.94444444] ; [54.94444444 31.05555556],0
a4,1,0.135918,2.223577,[82 47] ; [233 182],[74.69669118 54.30330882] ; [240.30330882 174.69669118],0
a8,1,0.164847,1.929193,[ 11 114] ; [ 49 313],[ 15.40041068 109.59958932] ; [ 44.59958932 317.40041068],0
s4,1,0.176569,1.826264,[ 27 101] ; [ 65 343],[ 21.97014925 106.02985075] ; [ 70.02985075 337.97014925],0
n4,1,0.180864,1.790509,[107  21] ; [325  91],[101.64705882  26.35294118] ; [330.35294118  85.64705882],0
b4,1,0.211104,1.56384,[72 58] ; [256 160],[78.0952381 51.9047619] ; [249.9047619 166.0952381],0
n1,1,0.220636,1.500233,[17 20] ; [32 61],[13.94615385 23.05384615] ; [35.05384615 57.94615385],0
p4,1,0.224049,1.478247,[75 51] ; [271 143],[80.73333333 45.26666667] ; [265.26666667 148.73333333],0
p5,1,0.250821,1.318726,[ 19 108] ; [ 46 366],[ 15.31539889 111.68460111] ; [ 49.68460111 362.31539889],0
b3,1,0.270258,1.215435,[40 49] ; [100 161],[35.6 53.4] ; [104.4 156.6],0
b2,1,0.270258,1.215435,[40 49] ; [100 161],[35.6 53.4] ; [104.4 156.6],0
n2,1,0.290467,1.117454,[22 15] ; [65 29],[24.57251908 12.42748092] ; [62.42748092 31.57251908],0
u4,1,0.337197,0.92106,[  6 124] ; [ 12 403],[  4.29357798 125.70642202] ; [ 13.70642202 401.29357798],0
s8,1,0.356067,0.851717,[68 61] ; [198 214],[63.42698706 65.57301294] ; [202.57301294 209.42698706],0
s7,1,0.360775,0.835192,[67 54] ; [201 196],[62.6023166 58.3976834] ; [205.3976834 191.6023166],0
p9,1,0.366771,0.814577,[104  22] ; [351  58],[107.1588785  18.8411215] ; [347.8411215  61.1588785],0
u2,1,0.381134,0.767042,[11 10] ; [54 32],[12.75700935  8.24299065] ; [52.24299065 33.75700935],0
a3,1,0.397851,0.714812,[108  22] ; [330  84],[104.66911765  25.33088235] ; [333.33088235  80.66911765],0
n6,1,0.421433,0.646316,[106  22] ; [354  59],[108.83548983  19.16451017] ; [351.16451017  61.83548983],0
n5,1,0.467006,0.529051,[99 29] ; [307 107],[95.88191882 32.11808118] ; [310.11808118 103.88191882],0
s2,1,0.495274,0.465048,[67 62] ; [227 183],[70.36363636 58.63636364] ; [223.63636364 186.36363636],0
p6,1,0.495563,0.464426,[51 72] ; [156 254],[47.76923077 75.23076923] ; [159.23076923 250.76923077],0
p8,1,0.545832,0.364838,[64 61] ; [222 187],[66.94756554 58.05243446] ; [219.05243446 189.94756554],0
n3,1,0.566058,0.329322,[23 13] ; [65 29],[24.36923077 11.63076923] ; [63.63076923 30.36923077],0
p11,1,0.596158,0.28083,[99 31] ; [326  90],[101.19047619  28.80952381] ; [323.80952381  92.19047619],0
v1,1,0.606845,0.264794,[68 58] ; [228 175],[70.50283554 55.49716446] ; [225.49716446 177.50283554],0
a1,1,0.623624,0.240807,[  8 122] ; [ 21 395],[  6.9047619 123.0952381] ; [ 22.0952381 393.9047619],0
v3,1,0.640295,0.218356,[51 73] ; [171 222],[53.24564797 70.75435203] ; [168.75435203 224.24564797],0
s6,1,0.641682,0.216549,[84 42] ; [281 127],[86.12359551 39.87640449] ; [278.87640449 129.12359551],0
d5,1,0.657974,0.195994,[128   2] ; [407   9],[127.38095238   2.61904762] ; [407.61904762   8.38095238],0
s3,1,0.707666,0.14062,[72 56] ; [236 170],[73.82771536 54.17228464] ; [234.17228464 171.82771536],0
a5,1,0.746055,0.104876,[110  20] ; [347  69],[108.80952381  21.19047619] ; [348.19047619  67.80952381],0
p7,1,0.946978,0.004423,[79 46] ; [254 150],[78.68620038 46.31379962] ; [254.31379962 149.68620038],0
p1,1,0.952604,0.003533,[ 11 118] ; [ 36 378],[ 11.16574586 117.83425414] ; [ 35.83425414 378.16574586],0
s1,1,0.982855,0.000462,[  4 124] ; [ 13 398],[  4.03710575 123.96289425] ; [ 12.96289425 398.03710575],0
p3,1,0.988672,0.000202,[67 61] ; [217 197],[67.0701107 60.9298893] ; [216.9298893 197.0701107],0
