Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,37.382111,[59 30] ; [474  52],[77.13333333 11.86666667] ; [455.86666667  70.13333333],1
p10,1,0.0,32.449855,[51 37] ; [438  83],[70.66009852 17.33990148] ; [418.33990148 102.66009852],1
p9,1,6.2e-05,16.030566,[60 28] ; [443  75],[73.04290429 14.95709571] ; [429.95709571  88.04290429],1
s6,1,0.000601,11.774026,[42 47] ; [344 176],[56.41050903 32.58949097] ; [329.58949097 190.41050903],1
s5,1,0.000979,10.865968,[12 71] ; [166 348],[24.74706868 58.25293132] ; [153.25293132 360.74706868],1
v3,1,0.001089,10.66963,[24 61] ; [241 269],[37.85714286 47.14285714] ; [227.14285714 282.85714286],0
v1,1,0.001357,10.263728,[34 52] ; [298 215],[47.66611018 38.33388982] ; [284.33388982 228.66611018],0
s2,1,0.001686,9.863341,[28 61] ; [259 265],[41.66884176 47.33115824] ; [245.33115824 278.66884176],0
p4,1,0.005278,7.781758,[41 47] ; [326 197],[52.85761047 35.14238953] ; [314.14238953 208.85761047],0
p5,1,0.007524,7.143495,[ 4 85] ; [ 78 444],[11.94435352 77.05564648] ; [ 70.05564648 451.94435352],0
n1,1,0.007842,7.069295,[ 4 16] ; [56 51],[ 9.4488189 10.5511811] ; [50.5511811 56.4488189],0
p8,1,0.009528,6.721044,[34 54] ; [277 240],[45.23636364 42.76363636] ; [265.76363636 251.23636364],0
s7,1,0.011874,6.329592,[32 53] ; [261 237],[42.7186964 42.2813036] ; [250.2813036 247.7186964],0
d1,1,0.019617,5.445663,[43 46] ; [325 204],[52.99676375 36.00323625] ; [315.00323625 213.99676375],0
r2,1,0.033339,4.528265,[77  9] ; [498  25],[81.19868637  4.80131363] ; [493.80131363  29.19868637],0
u1,1,0.037077,4.346863,[ 9 80] ; [102 427],[15.98543689 73.01456311] ; [ 95.01456311 433.98543689],0
n3,1,0.052905,3.746923,[17  2] ; [73 35],[13.46456693  5.53543307] ; [76.53543307 31.46456693],0
d2,1,0.073202,3.209717,[38 51] ; [277 246],[45.80882353 43.19117647] ; [269.19117647 253.80882353],0
s8,1,0.08387,2.988269,[32 57] ; [240 284],[39.49102773 49.50897227] ; [232.50897227 291.49102773],0
p6,1,0.086356,2.94102,[25 61] ; [201 318],[32.12561983 53.87438017] ; [193.87438017 325.12561983],0
s3,1,0.092805,2.825039,[39 47] ; [286 233],[46.19834711 39.80165289] ; [278.80165289 240.19834711],0
p12,1,0.124148,2.364198,[ 4 84] ; [ 50 472],[ 7.79016393 80.20983607] ; [ 46.20983607 475.79016393],0
a5,1,0.129373,2.300014,[62 27] ; [407 121],[67.65153971 21.34846029] ; [401.34846029 126.65153971],0
b4,1,0.142443,2.151363,[59 30] ; [307 222],[52.70873786 36.29126214] ; [313.29126214 215.70873786],0
p7,1,0.162194,1.953648,[50 39] ; [328 185],[55.88372093 33.11627907] ; [322.11627907 190.88372093],0
