Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.356901,[129 390] ; [43 45],[147.06425041 371.93574959] ; [24.93574959 63.06425041],1
s2,1,1.6e-05,18.652344,[239 290] ; [64 28],[258.11111111 270.88888889] ; [44.88888889 47.11111111],1
s6,1,8.7e-05,15.402231,[317 210] ; [75 17],[333.73828756 193.26171244] ; [58.26171244 33.73828756],1
s3,1,0.000369,12.681894,[272 250] ; [67 26],[287.73658537 234.26341463] ; [51.26341463 41.73658537],1
b3,1,0.001262,10.397699,[137 206] ; [ 9 44],[126.45959596 216.54040404] ; [19.54040404 33.45959596],0
b2,1,0.001262,10.397699,[137 206] ; [ 9 44],[126.45959596 216.54040404] ; [19.54040404 33.45959596],0
s7,1,0.006175,7.498485,[235 271] ; [57 35],[247.07692308 258.92307692] ; [44.92307692 47.07692308],0
a8,1,0.010458,6.555115,[ 85 395] ; [ 6 82],[ 76.90140845 403.09859155] ; [14.09859155 73.90140845],0
v3,1,0.017658,5.629736,[217 298] ; [27 66],[206.67763158 308.32236842] ; [37.32236842 55.67763158],0
v2,1,0.035039,4.443285,[303 210] ; [44 49],[293.74752475 219.25247525] ; [53.25247525 39.74752475],0
r2,1,0.036566,4.370531,[496  27] ; [83 10],[491.58603896  31.41396104] ; [87.41396104  5.58603896],0
s1,1,0.061764,3.489378,[ 14 509] ; [ 6 88],[ 16.95299838 506.04700162] ; [ 3.04700162 90.95299838],0
n1,1,0.100509,2.697454,[50 58] ; [ 6 16],[46.52307692 61.47692308] ; [ 9.47692308 12.52307692],0
d4,1,0.103245,2.654685,[434  96] ; [71 24],[428.24 101.76] ; [76.76 18.24],0
r3,1,0.119635,2.422098,[497  33] ; [84 10],[493.4775641  36.5224359] ; [87.5224359  6.4775641],0
p3,1,0.139564,2.182757,[247 284] ; [52 43],[253.62460064 277.37539936] ; [45.37539936 49.62460064],0
n3,1,0.158559,1.987913,[77 30] ; [19  3],[79.62790698 27.37209302] ; [16.37209302  5.62790698],0
a7,1,0.171255,1.871926,[378 153] ; [61 34],[372.37859425 158.62140575] ; [66.62140575 28.37859425],0
a6,1,0.189687,1.720048,[366 165] ; [59 36],[360.50319489 170.49680511] ; [64.49680511 30.50319489],0
p2,1,0.190773,1.71164,[438  93] ; [73 22],[433.45207668  97.54792332] ; [77.54792332 17.45207668],0
a1,1,0.205294,1.604306,[ 27 506] ; [ 2 93],[ 24.61305732 508.38694268] ; [ 4.38694268 90.61305732],0
s8,1,0.25831,1.277791,[224 307] ; [46 49],[229.02555911 301.97444089] ; [40.97444089 54.02555911],0
v1,1,0.266141,1.236529,[278 241] ; [45 50],[273.02442997 245.97557003] ; [49.97557003 45.02442997],0
p1,1,0.288743,1.125473,[ 38 492] ; [ 4 91],[ 35.616 494.384] ; [ 6.384 88.616],0
d3,1,0.301357,1.068181,[352 180] ; [68 27],[356.36363636 175.63636364] ; [63.63636364 31.36363636],0
p6,1,0.323853,0.973324,[179 346] ; [37 57],[183.19870759 341.80129241] ; [32.80129241 61.19870759],0
p4,1,0.39216,0.732234,[298 231] ; [58 37],[301.80128205 227.19871795] ; [54.19871795 40.80128205],0
u1,1,0.41996,0.650428,[ 99 434] ; [21 74],[101.84713376 431.15286624] ; [18.15286624 76.84713376],0
d2,1,0.436377,0.60579,[273 255] ; [45 50],[269.50882825 258.49117175] ; [48.49117175 46.50882825],0
v4,1,0.441534,0.592292,[490  40] ; [89  5],[491.77884615  38.22115385] ; [87.22115385  6.77884615],0
p8,1,0.4557,0.556435,[248 275] ; [48 45],[251.31168831 271.68831169] ; [44.68831169 48.31168831],0
r4,1,0.457435,0.552163,[469  64] ; [81 14],[466.79936306  66.20063694] ; [83.20063694 11.79936306],0
u2,1,0.458554,0.549422,[80 68] ; [13 15],[78.20454545 69.79545455] ; [14.79545455 13.20454545],0
d5,1,0.492084,0.471966,[435  96] ; [75 20],[432.60383387  98.39616613] ; [77.39616613 17.60383387],0
u3,1,0.529007,0.396298,[76 74] ; [16 12],[77.52808989 72.47191011] ; [14.47191011 13.52808989],0
p9,1,0.554057,0.350098,[428  96] ; [80 15],[430.0355412  93.9644588] ; [77.9644588 17.0355412],0
b5,1,0.571443,0.320275,[325 208] ; [55 40],[322.51592357 210.48407643] ; [57.48407643 37.51592357],0
p12,1,0.573613,0.316674,[ 36 492] ; [ 5 90],[ 34.74799358 493.25200642] ; [ 6.25200642 88.74799358],0
d1,1,0.606318,0.265572,[318 215] ; [54 41],[315.72611465 217.27388535] ; [56.27388535 38.72611465],0
b4,1,0.617085,0.249985,[312 221] ; [53 42],[309.78503185 223.21496815] ; [55.21496815 39.78503185],0
p11,1,0.6383,0.220972,[421 112] ; [73 22],[419.27070064 113.72929936] ; [74.72929936 20.27070064],0
n5,1,0.65754,0.196526,[444  85] ; [78 17],[442.52884615  86.47115385] ; [79.47115385 15.52884615],0
p10,1,0.669158,0.182588,[417 110] ; [77 18],[418.54983923 108.45016077] ; [75.45016077 19.54983923],0
r1,1,0.669911,0.181706,[423 107] ; [74 21],[421.456 108.544] ; [75.544 19.456],0
a4,1,0.7159,0.132455,[251 278] ; [47 48],[252.63141026 276.36858974] ; [45.36858974 49.63141026],0
a3,1,0.736343,0.113367,[382 147] ; [67 28],[380.64262821 148.35737179] ; [68.35737179 26.64262821],0
a2,1,0.758329,0.094664,[137 396] ; [23 72],[135.79617834 397.20382166] ; [24.20382166 70.79617834],0
a5,1,0.762899,0.091009,[406 127] ; [71 24],[404.84235669 128.15764331] ; [72.15764331 22.84235669],0
n6,1,0.792692,0.069072,[452  78] ; [82 13],[452.832  77.168] ; [81.168 13.832],0
p7,1,0.804242,0.061435,[315 207] ; [58 36],[316.08116883 205.91883117] ; [56.91883117 37.08116883],0
n2,1,0.858704,0.031693,[82 28] ; [16  6],[81.66666667 28.33333333] ; [16.33333333  5.66666667],0
b1,1,0.923431,0.009238,[216 317] ; [38 57],[215.57643312 317.42356688] ; [38.42356688 56.57643312],0
