Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,107.096885,[117  24] ; [23 98],[75.34351145 65.65648855] ; [64.65648855 56.34351145],1
d5,1,0.0,83.677915,[140   4] ; [59 63],[107.72932331  36.27067669] ; [91.27067669 30.72932331],1
d4,1,0.0,72.986887,[140   3] ; [66 56],[111.16226415  31.83773585] ; [94.83773585 27.16226415],1
d3,1,0.0,60.497066,[120  24] ; [45 77],[89.32330827 54.67669173] ; [75.67669173 46.32330827],1
a4,1,0.0,39.953652,[96 47] ; [34 87],[70.41666667 72.58333333] ; [59.58333333 61.41666667],1
u1,1,0.0,39.806871,[45 99] ; [  2 120],[ 25.44360902 118.55639098] ; [ 21.55639098 100.44360902],1
a2,1,0.0,36.487457,[51 93] ; [  6 116],[ 30.85714286 113.14285714] ; [26.14285714 95.85714286],1
a5,1,4e-06,21.271883,[124  20] ; [75 47],[107.72932331  36.27067669] ; [91.27067669 30.72932331],1
s8,1,1.4e-05,18.89751,[68 74] ; [27 95],[51.09848485 90.90151515] ; [43.90151515 78.09848485],1
a3,1,8.4e-05,15.474886,[114  30] ; [68 52],[99.27272727 44.72727273] ; [82.72727273 37.27272727],1
p4,1,0.000379,12.633881,[79 65] ; [40 81],[64.66415094 79.33584906] ; [54.33584906 66.66415094],1
v2,1,0.000455,12.29019,[79 60] ; [40 75],[65.12204724 73.87795276] ; [53.87795276 61.12204724],1
s2,1,0.000937,10.947763,[76 66] ; [39 79],[62.80769231 79.19230769] ; [52.19230769 65.80769231],1
n6,1,0.00207,9.486321,[128  16] ; [90 31],[118.46037736  25.53962264] ; [99.53962264 21.46037736],0
s7,1,0.00253,9.118737,[69 66] ; [37 78],[57.24 77.76] ; [48.76 66.24],0
s3,1,0.003153,8.716752,[82 60] ; [46 71],[70.17760618 71.82239382] ; [57.82239382 59.17760618],0
a7,1,0.006151,7.505628,[107  36] ; [72 50],[96.59245283 46.40754717] ; [82.40754717 39.59245283],0
p6,1,0.011383,6.404598,[ 32 110] ; [ 13 108],[ 24.29657795 117.70342205] ; [ 20.70342205 100.29657795],0
