Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.784595,[39  5] ; [27 60],[22.16793893 21.83206107] ; [43.83206107 43.16793893],1
s7,1,0.0,36.288159,[33 10] ; [17 64],[17.33870968 25.66129032] ; [32.66129032 48.33870968],1
s6,1,1e-06,23.319049,[37  6] ; [36 51],[24.14615385 18.85384615] ; [48.85384615 38.14615385],1
s5,1,3.5e-05,17.101424,[20 24] ; [11 75],[10.49230769 33.50769231] ; [20.50769231 65.49230769],1
s8,1,4.2e-05,16.767762,[25 20] ; [18 70],[14.54887218 30.45112782] ; [28.45112782 59.54887218],1
s4,1,0.000856,11.115739,[14 30] ; [ 8 81],[ 7.27819549 36.72180451] ; [14.72180451 74.27819549],1
p10,1,0.001987,9.561694,[39  6] ; [52 34],[31.25954198 13.74045802] ; [59.74045802 26.25954198],0
n6,1,0.005662,7.654835,[42  3] ; [65 24],[35.93283582  9.06716418] ; [71.06716418 17.93283582],0
s1,1,0.011784,6.343048,[ 6 39] ; [ 2 85],[ 2.72727273 42.27272727] ; [ 5.27272727 81.72727273],0
u1,1,0.025096,5.017222,[ 4 41] ; [ 1 88],[ 1.67910448 43.32089552] ; [ 3.32089552 85.67910448],0
p6,1,0.071459,3.249187,[19 26] ; [23 63],[14.42748092 30.57251908] ; [27.57251908 58.42748092],0
d1,1,0.074099,3.189812,[ 5 40] ; [ 3 86],[ 2.68656716 42.31343284] ; [ 5.31343284 83.68656716],0
r2,1,0.084367,2.978709,[42  2] ; [76 13],[39.03759398  4.96240602] ; [78.96240602 10.03759398],0
a3,1,0.126621,2.333451,[27 18] ; [40 47],[22.84090909 22.15909091] ; [44.15909091 42.84090909],0
n2,1,0.143672,2.138182,[10  1] ; [17  8],[8.25 2.75] ; [18.75  6.25],0
p9,1,0.195376,1.676603,[36  9] ; [59 26],[32.88461538 12.11538462] ; [62.11538462 22.88461538],0
d5,1,0.196684,1.66683,[24 21] ; [37 52],[20.48507463 24.51492537] ; [40.51492537 48.48507463],0
d3,1,0.199617,1.645172,[17 28] ; [24 65],[13.76865672 31.23134328] ; [27.23134328 61.76865672],0
r1,1,0.205589,1.602218,[34 11] ; [57 31],[30.78947368 14.21052632] ; [60.21052632 27.78947368],0
r4,1,0.223782,1.47995,[38  7] ; [67 22],[35.26119403  9.73880597] ; [69.73880597 19.26119403],0
