Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,37.523314,[151 122] ; [104  15],[177.58928571  95.41071429] ; [77.41071429 41.58928571],1
s2,1,0.0,29.872372,[ 97 176] ; [80 43],[122.02272727 150.97727273] ; [54.97727273 68.02272727],1
p6,1,4e-06,21.396432,[ 76 193] ; [64 58],[ 96.31713555 172.68286445] ; [43.68286445 78.31713555],1
s7,1,8e-06,20.021844,[ 99 164] ; [73 44],[119.04210526 143.95789474] ; [52.95789474 64.04210526],1
p7,1,0.00035,12.780317,[148 121] ; [89 31],[163.88946015 105.11053985] ; [73.11053985 46.88946015],1
s8,1,0.000534,11.992796,[ 85 189] ; [60 62],[100.32828283 173.67171717] ; [44.67171717 77.32828283],1
p5,1,0.000814,11.208175,[ 16 256] ; [ 20 102],[ 24.85279188 247.14720812] ; [ 11.14720812 110.85279188],1
s4,1,0.000984,10.857453,[ 34 237] ; [31 88],[ 45.16666667 225.83333333] ; [19.83333333 99.16666667],1
s3,1,0.001649,9.903968,[130 141] ; [80 43],[144.44162437 126.55837563] ; [65.55837563 57.44162437],0
p10,1,0.002039,9.514273,[200  71] ; [107  15],[211.69720102  59.30279898] ; [95.30279898 26.69720102],0
p3,1,0.002146,9.420146,[109 164] ; [69 53],[123.02278481 149.97721519] ; [54.97721519 67.02278481],0
p9,1,0.002584,9.080283,[208  62] ; [108  12],[218.76923077  51.23076923] ; [97.23076923 22.76923077],0
a3,1,0.005909,7.57799,[177  95] ; [97 26],[188.67848101  83.32151899] ; [85.32151899 37.67848101],0
r4,1,0.007397,7.173862,[223  51] ; [113  10],[231.89924433  42.10075567] ; [104.10075567  18.89924433],0
n5,1,0.009988,6.63695,[219  53] ; [110  11],[227.70483461  44.29516539] ; [101.29516539  19.70483461],0
p12,1,0.013338,6.123764,[ 10 261] ; [ 12 109],[ 15.20918367 255.79081633] ; [  6.79081633 114.20918367],0
v1,1,0.014218,6.010861,[108 157] ; [66 56],[119.14728682 145.85271318] ; [54.85271318 67.14728682],0
n2,1,0.016848,5.712091,[45 26] ; [23  3],[49.77319588 21.22680412] ; [18.22680412  7.77319588],0
r1,1,0.023433,5.136099,[202  70] ; [104  19],[210.71392405  61.28607595] ; [95.28607595 27.71392405],0
p2,1,0.023595,5.124176,[215  57] ; [108  14],[222.98477157  49.01522843] ; [100.01522843  21.98477157],0
d4,1,0.029231,4.753949,[210  64] ; [106  17],[218.09571788  55.90428212] ; [97.90428212 25.09571788],0
