Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.6e-05,17.069022,[52 12] ; [ 8 15],[44.13793103 19.86206897] ; [15.86206897  7.13793103],1
n6,1,0.001657,9.895085,[56  8] ; [13 10],[50.75862069 13.24137931] ; [18.24137931  4.75862069],0
p9,1,0.021387,5.294945,[53 10] ; [14  9],[49.08139535 13.91860465] ; [17.91860465  5.08139535],0
p2,1,0.021542,5.282432,[51 12] ; [13 10],[46.88372093 16.11627907] ; [17.11627907  5.88372093],0
n3,1,0.023886,5.102922,[18  2] ; [6 5],[15.48387097  4.51612903] ; [8.51612903 2.48387097],0
v3,1,0.035976,4.398258,[34 30] ; [ 6 16],[29.76744186 34.23255814] ; [10.23255814 11.76744186],0
p11,1,0.050107,3.837874,[52 12] ; [14  9],[48.55172414 15.44827586] ; [17.44827586  5.55172414],0
u2,1,0.077121,3.124546,[11  8] ; [2 7],[ 8.82142857 10.17857143] ; [4.17857143 4.82142857],0
p10,1,0.082998,3.005201,[47 15] ; [13 10],[43.76470588 18.23529412] ; [16.23529412  6.76470588],0
r4,1,0.085588,2.955453,[41 23] ; [10 13],[37.51724138 26.48275862] ; [13.48275862  9.51724138],0
d4,1,0.124454,2.360356,[54 10] ; [16  7],[51.49425287 12.50574713] ; [18.50574713  4.49425287],0
u3,1,0.183677,1.767619,[ 8 12] ; [6 3],[ 9.65517241 10.34482759] ; [4.34482759 4.65517241],0
s4,1,0.190404,1.714487,[ 9 55] ; [ 6 17],[11.03448276 52.96551724] ; [ 3.96551724 19.03448276],0
v1,1,0.202762,1.622366,[41 20] ; [12 11],[38.48809524 22.51190476] ; [14.51190476  8.48809524],0
p5,1,0.210263,1.569614,[ 9 55] ; [ 1 22],[ 7.35632184 56.64367816] ; [ 2.64367816 20.35632184],0
p3,1,0.243047,1.362835,[32 31] ; [ 8 14],[29.64705882 33.35294118] ; [10.35294118 11.64705882],0
s5,1,0.315567,1.007231,[14 42] ; [ 8 14],[15.79487179 40.20512821] ; [ 6.20512821 15.79487179],0
n2,1,0.319135,0.99249,[16  4] ; [7 4],[14.83870968  5.16129032] ; [8.16129032 2.83870968],0
s7,1,0.334963,0.929614,[27 31] ; [ 8 15],[25.0617284 32.9382716] ; [ 9.9382716 13.0617284],0
d1,1,0.338175,0.917338,[38 26] ; [11 12],[36.04597701 27.95402299] ; [12.95402299 10.04597701],0
p7,1,0.342008,0.902891,[40 23] ; [12 11],[38.09302326 24.90697674] ; [13.90697674  9.09302326],0
p8,1,0.365879,0.817614,[29 32] ; [ 8 14],[27.19277108 33.80722892] ; [ 9.80722892 12.19277108],0
d3,1,0.405742,0.691243,[45 19] ; [14  9],[43.40229885 20.59770115] ; [15.59770115  7.40229885],0
a6,1,0.408815,0.682245,[37 27] ; [11 12],[35.31034483 28.68965517] ; [12.68965517 10.31034483],0
b3,1,0.424143,0.638808,[14 29] ; [5 6],[15.12962963 27.87037037] ; [3.87037037 7.12962963],0
b2,1,0.424143,0.638808,[14 29] ; [5 6],[15.12962963 27.87037037] ; [3.87037037 7.12962963],0
a1,1,0.447119,0.577945,[ 6 58] ; [ 1 22],[ 5.14942529 58.85057471] ; [ 1.85057471 21.14942529],0
p6,1,0.447528,0.576905,[27 32] ; [ 8 14],[25.49382716 33.50617284] ; [ 9.50617284 12.49382716],0
r3,1,0.456498,0.554467,[59  5] ; [20  3],[58.11494253  5.88505747] ; [20.88505747  2.11494253],0
s8,1,0.461756,0.541634,[25 39] ; [ 7 16],[23.54022989 40.45977011] ; [ 8.45977011 14.54022989],0
b4,1,0.461756,0.541634,[39 25] ; [16  7],[40.45977011 23.54022989] ; [14.54022989  8.45977011],0
b1,1,0.486891,0.483389,[28 36] ; [12 11],[29.42528736 34.57471264] ; [10.57471264 12.42528736],0
a3,1,0.49169,0.472826,[44 20] ; [14  9],[42.66666667 21.33333333] ; [15.33333333  7.66666667],0
d5,1,0.505546,0.443274,[54 10] ; [18  5],[52.96551724 11.03448276] ; [19.03448276  3.96551724],0
n1,1,0.507256,0.439724,[ 6 13] ; [2 8],[ 5.24137931 13.75862069] ; [2.75862069 7.24137931],0
