Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.036566,4.370495,[22 16] ; [17  3],[25.55172414 12.44827586] ; [13.44827586  6.55172414],0
p7,1,0.054472,3.698173,[18 19] ; [15  5],[21.42105263 15.57894737] ; [11.57894737  8.42105263],0
n2,1,0.073638,3.2,[8 7] ; [8 1],[10.  5.] ; [6. 3.],0
p11,1,0.106309,2.608258,[23 16] ; [16  4],[25.77966102 13.22033898] ; [13.22033898  6.77966102],0
a7,1,0.108745,2.572368,[34  5] ; [14  6],[31.72881356  7.27118644] ; [16.27118644  3.72881356],0
u2,1,0.110149,2.552083,[11  1] ; [5 3],[9.6 2.4] ; [6.4 1.6],0
d1,1,0.119431,2.424773,[22 17] ; [ 7 13],[19.16949153 19.83050847] ; [ 9.83050847 10.16949153],0
d3,1,0.145023,2.123832,[32  7] ; [13  7],[29.74576271  9.25423729] ; [15.25423729  4.74576271],0
r1,1,0.157697,1.996172,[29 10] ; [18  2],[31.06779661  7.93220339] ; [15.93220339  4.06779661],0
v2,1,0.168078,1.9,[28 10] ; [17  2],[30.  8.] ; [15.  4.],0
s7,1,0.183578,1.768421,[12 26] ; [9 9],[14.25 23.75] ; [ 6.75 11.25],0
p9,1,0.19093,1.710426,[28  9] ; [18  2],[29.85964912  7.14035088] ; [16.14035088  3.85964912],0
s8,1,0.197037,1.6642,[11 28] ; [ 9 11],[13.22033898 25.77966102] ; [ 6.77966102 13.22033898],0
b4,1,0.197037,1.6642,[28 11] ; [11  9],[25.77966102 13.22033898] ; [13.22033898  6.77966102],0
d5,1,0.226386,1.463425,[31  8] ; [13  7],[29.08474576  9.91525424] ; [14.91525424  5.08474576],0
v1,1,0.231827,1.429615,[21 18] ; [14  6],[23.13559322 15.86440678] ; [11.86440678  8.13559322],0
p2,1,0.258437,1.277112,[25 13] ; [16  4],[26.86206897 11.13793103] ; [14.13793103  5.86206897],0
d4,1,0.300756,1.07084,[35  4] ; [16  4],[33.71186441  5.28813559] ; [17.28813559  2.71186441],0
d2,1,0.301136,1.069157,[15 24] ; [ 5 15],[13.22033898 25.77966102] ; [ 6.77966102 13.22033898],0
p10,1,0.32597,0.96484,[28 10] ; [17  3],[29.48275862  8.51724138] ; [15.51724138  4.48275862],0
p12,1,0.332214,0.94025,[ 5 33] ; [ 1 19],[ 3.93103448 34.06896552] ; [ 2.06896552 17.93103448],0
r4,1,0.421495,0.646142,[32  7] ; [18  2],[33.05084746  5.94915254] ; [16.94915254  3.05084746],0
p5,1,0.476004,0.508004,[ 4 34] ; [ 1 19],[ 3.27586207 34.72413793] ; [ 1.72413793 18.27586207],0
a3,1,0.478307,0.502722,[27 12] ; [12  8],[25.77966102 13.22033898] ; [13.22033898  6.77966102],0
b5,1,0.511018,0.431983,[23 16] ; [10 10],[21.81355932 17.18644068] ; [11.18644068  8.81355932],0
a2,1,0.524161,0.405699,[ 7 32] ; [ 5 15],[ 7.93220339 31.06779661] ; [ 4.06779661 15.93220339],0
p8,1,0.580602,0.305263,[18 20] ; [11  9],[19. 19.] ; [10. 10.],0
s5,1,0.602312,0.271524,[14 24] ; [ 6 14],[13.10344828 24.89655172] ; [ 6.89655172 13.10344828],0
a5,1,0.612668,0.256307,[26 13] ; [12  8],[25.11864407 13.88135593] ; [12.88135593  7.11864407],0
s4,1,0.629716,0.232446,[10 29] ; [ 4 16],[ 9.25423729 29.74576271] ; [ 4.74576271 15.25423729],0
p4,1,0.7025,0.145884,[17 21] ; [10 10],[17.68965517 20.31034483] ; [ 9.31034483 10.68965517],0
n1,1,0.702918,0.145455,[ 1 14] ; [1 8],[ 1.25 13.75] ; [0.75 8.25],0
a6,1,0.74199,0.108386,[27 12] ; [13  7],[26.44067797 12.55932203] ; [13.55932203  6.44067797],0
r2,1,0.763202,0.090769,[36  3] ; [18  2],[35.69491525  3.30508475] ; [18.30508475  1.69491525],0
b2,1,0.781814,0.076705,[ 7 11] ; [4 5],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
b3,1,0.781814,0.076705,[ 7 11] ; [4 5],[ 7.33333333 10.66666667] ; [3.66666667 5.33333333],0
s2,1,0.791675,0.069768,[17 22] ; [ 8 12],[16.52542373 22.47457627] ; [ 8.47457627 11.52542373],0
n3,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
b1,1,0.848129,0.036674,[ 7 32] ; [ 4 16],[ 7.27118644 31.72881356] ; [ 3.72881356 16.27118644],0
a4,1,0.885423,0.020764,[11 28] ; [ 6 14],[11.23728814 27.76271186] ; [ 5.76271186 14.23728814],0
p3,1,0.88965,0.019251,[14 24] ; [ 7 13],[13.75862069 24.24137931] ; [ 7.24137931 12.75862069],0
s6,1,0.901676,0.015263,[26 12] ; [14  6],[26.20689655 11.79310345] ; [13.79310345  6.20689655],0
p6,1,0.904343,0.014443,[ 6 31] ; [ 3 17],[ 5.84210526 31.15789474] ; [ 3.15789474 16.84210526],0
s3,1,0.92571,0.008694,[20 19] ; [10 10],[19.83050847 19.16949153] ; [10.16949153  9.83050847],0
u3,1,0.959566,0.00257,[7 4] ; [5 3],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
p1,1,0.965692,0.00185,[ 2 36] ; [ 1 19],[ 1.96551724 36.03448276] ; [ 1.03448276 18.96551724],0
u1,1,0.968974,0.001513,[ 6 33] ; [ 3 17],[ 5.94915254 33.05084746] ; [ 3.05084746 16.94915254],0
r3,1,0.975393,0.000951,[35  4] ; [18  2],[35.03389831  3.96610169] ; [17.96610169  2.03389831],0
s1,1,0.983071,0.00045,[ 2 37] ; [ 1 19],[ 1.98305085 37.01694915] ; [ 1.01694915 18.98305085],0
