Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.01169,6.357307,[89 23] ; [43 26],[81.67955801 30.32044199] ; [50.32044199 18.67955801],0
r3,1,0.01525,5.887336,[104   8] ; [55 13],[98.93333333 13.06666667] ; [60.06666667  7.93333333],0
p9,1,0.016192,5.78195,[83 27] ; [39 28],[75.81920904 34.18079096] ; [46.18079096 20.81920904],0
b1,1,0.017327,5.662897,[43 69] ; [39 30],[50.74033149 61.25966851] ; [31.25966851 37.74033149],0
s1,1,0.019236,5.479933,[  1 111] ; [ 5 63],[  3.73333333 108.26666667] ; [ 2.26666667 65.73333333],0
s3,1,0.02367,5.118684,[42 69] ; [38 31],[49.33333333 61.66666667] ; [30.66666667 38.33333333],0
v4,1,0.031405,4.630698,[103   8] ; [56 12],[98.59776536 12.40223464] ; [60.40223464  7.59776536],0
p11,1,0.0548,3.688158,[76 36] ; [37 32],[69.92265193 42.07734807] ; [43.07734807 25.92265193],0
r2,1,0.071118,3.257026,[98 13] ; [54 15],[93.73333333 17.26666667] ; [58.26666667 10.73333333],0
p2,1,0.079972,3.065474,[85 27] ; [44 25],[79.82320442 32.17679558] ; [49.17679558 19.82320442],0
a5,1,0.086124,2.945372,[65 47] ; [31 38],[59.40331492 52.59668508] ; [36.59668508 32.40331492],0
n2,1,0.101934,2.675028,[32 11] ; [15 12],[28.87142857 14.12857143] ; [18.12857143  8.87142857],0
u2,1,0.154344,2.028787,[20 28] ; [18 13],[23.08860759 24.91139241] ; [14.91139241 16.08860759],0
n5,1,0.164375,1.933505,[45 67] ; [20 47],[40.67039106 71.32960894] ; [24.32960894 42.67039106],0
u3,1,0.16822,1.898734,[25 23] ; [21 10],[27.94936709 20.05063291] ; [18.05063291 12.94936709],0
s5,1,0.172036,1.865112,[33 76] ; [14 53],[29.10795455 79.89204545] ; [17.89204545 49.10795455],0
p10,1,0.183004,1.773061,[74 37] ; [38 29],[69.84269663 41.15730337] ; [42.15730337 24.84269663],0
n1,1,0.235014,1.410256,[11 33] ; [10 16],[13.2 30.8] ; [ 7.8 18.2],0
d5,1,0.269174,1.220949,[78 33] ; [43 26],[74.61666667 36.38333333] ; [46.38333333 22.61666667],0
a8,1,0.326381,0.963205,[ 7 99] ; [ 2 62],[  5.61176471 100.38823529] ; [ 3.38823529 60.61176471],0
n3,1,0.327904,0.957156,[27 16] ; [20  7],[28.87142857 14.12857143] ; [18.12857143  8.87142857],0
b4,1,0.360802,0.835099,[63 49] ; [34 35],[60.02209945 51.97790055] ; [36.97790055 32.02209945],0
s2,1,0.411951,0.673162,[43 68] ; [31 38],[45.63333333 65.36666667] ; [28.36666667 40.63333333],0
a6,1,0.420821,0.648022,[63 49] ; [43 26],[65.59116022 46.40883978] ; [40.40883978 28.59116022],0
p1,1,0.42621,0.633129,[  5 107] ; [ 5 64],[  6.1878453 105.8121547] ; [ 3.8121547 65.1878453],0
s6,1,0.428593,0.626632,[59 52] ; [32 36],[56.4301676 54.5698324] ; [34.5698324 33.4301676],0
s8,1,0.445186,0.58288,[28 83] ; [21 48],[30.21666667 80.78333333] ; [18.78333333 50.21666667],0
p6,1,0.453719,0.561346,[27 85] ; [19 46],[29.10734463 82.89265537] ; [16.89265537 48.10734463],0
a2,1,0.501871,0.450977,[ 11 101] ; [ 9 60],[12.37569061 99.62430939] ; [ 7.62430939 61.37569061],0
d3,1,0.523229,0.407523,[69 42] ; [39 29],[66.97206704 44.02793296] ; [41.02793296 26.97206704],0
s4,1,0.526905,0.400358,[29 83] ; [15 54],[27.22651934 84.77348066] ; [16.77348066 52.22651934],0
u1,1,0.535963,0.383074,[  7 105] ; [ 6 63],[  8.0441989 103.9558011] ; [ 4.9558011 64.0441989],0
r1,1,0.54099,0.373708,[71 41] ; [40 28],[69.06666667 42.93333333] ; [41.93333333 26.06666667],0
p4,1,0.541195,0.37333,[48 64] ; [26 42],[46.04444444 65.95555556] ; [27.95555556 40.04444444],0
v2,1,0.5864,0.296001,[40 70] ; [21 44],[38.34285714 71.65714286] ; [22.65714286 42.34285714],0
v1,1,0.639572,0.219302,[37 74] ; [25 43],[38.44692737 72.55307263] ; [23.55307263 44.44692737],0
s7,1,0.666074,0.186228,[31 78] ; [16 47],[29.78488372 79.21511628] ; [17.21511628 45.78488372],0
a7,1,0.690709,0.158319,[74 37] ; [44 25],[72.76666667 38.23333333] ; [45.23333333 23.76666667],0
d2,1,0.696903,0.151714,[39 73] ; [26 43],[40.22099448 71.77900552] ; [24.77900552 44.22099448],0
d4,1,0.702929,0.145443,[82 30] ; [48 20],[80.88888889 31.11111111] ; [49.11111111 18.88888889],0
a1,1,0.792468,0.069226,[  4 108] ; [ 3 66],[  4.33149171 107.66850829] ; [ 2.66850829 66.33149171],0
p5,1,0.819349,0.052159,[  4 108] ; [ 2 66],[  3.73333333 108.26666667] ; [ 2.26666667 65.73333333],0
a3,1,0.824786,0.049015,[63 48] ; [38 31],[62.28333333 48.71666667] ; [38.71666667 30.28333333],0
a4,1,0.82911,0.046588,[34 78] ; [22 47],[34.6519337 77.3480663] ; [21.3480663 47.6519337],0
p8,1,0.830825,0.045643,[44 68] ; [27 39],[44.6741573 67.3258427] ; [26.3258427 39.6741573],0
p3,1,0.86009,0.031068,[36 76] ; [21 47],[35.46666667 76.53333333] ; [21.53333333 46.46666667],0
b3,1,0.860445,0.030909,[13 37] ; [10 31],[12.63736264 37.36263736] ; [10.36263736 30.63736264],0
b2,1,0.860445,0.030909,[13 37] ; [10 31],[12.63736264 37.36263736] ; [10.36263736 30.63736264],0
b5,1,0.863744,0.02945,[70 42] ; [44 25],[70.54143646 41.45856354] ; [43.45856354 25.54143646],0
p7,1,0.867823,0.027697,[57 53] ; [34 30],[57.52873563 52.47126437] ; [33.47126437 30.52873563],0
d1,1,0.993165,7.3e-05,[47 65] ; [29 40],[47.02762431 64.97237569] ; [28.97237569 40.02762431],0
