Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000102,15.093186,[40 52] ; [57 21],[52.49411765 39.50588235] ; [44.50588235 33.49411765],1
p4,1,0.000903,11.017163,[31 63] ; [48 35],[41.95480226 52.04519774] ; [37.04519774 45.95480226],1
p6,1,0.003015,8.798478,[15 79] ; [29 53],[23.5 70.5] ; [20.5 61.5],0
p11,1,0.003732,8.409733,[62 33] ; [70 13],[70.4494382 24.5505618] ; [61.5505618 21.4494382],0
p3,1,0.010515,6.545435,[27 68] ; [39 44],[35.2247191 59.7752809] ; [30.7752809 52.2247191],0
b1,1,0.014664,5.956374,[38 57] ; [19 64],[30.42134831 64.57865169] ; [26.57865169 56.42134831],0
p12,1,0.017732,5.622447,[ 1 94] ; [ 7 76],[ 4.26966292 90.73033708] ; [ 3.73033708 79.26966292],0
s8,1,0.025361,4.999048,[26 69] ; [36 47],[33.08988764 61.91011236] ; [28.91011236 54.08988764],0
p10,1,0.03169,4.615178,[76 19] ; [75  7],[81.04519774 13.95480226] ; [69.95480226 12.04519774],0
a7,1,0.049643,3.853482,[65 29] ; [68 15],[70.63276836 23.36723164] ; [62.36723164 20.63276836],0
p2,1,0.075008,3.169884,[72 23] ; [70 11],[76.64772727 18.35227273] ; [65.35227273 15.64772727],0
a5,1,0.082753,3.009982,[52 43] ; [56 27],[57.64044944 37.35955056] ; [50.35955056 32.64044944],0
a3,1,0.144572,2.12861,[60 34] ; [44 39],[55.23163842 38.76836158] ; [48.76836158 34.23163842],0
p5,1,0.148672,2.085824,[ 4 90] ; [ 8 74],[ 6.40909091 87.59090909] ; [ 5.59090909 76.40909091],0
s7,1,0.193271,1.692505,[27 65] ; [31 49],[31.02325581 60.97674419] ; [26.97674419 53.02325581],0
s4,1,0.204677,1.608687,[26 69] ; [16 67],[22.41573034 72.58426966] ; [19.58426966 63.41573034],0
r1,1,0.205111,1.605604,[62 32] ; [62 21],[65.85310734 28.14689266] ; [58.14689266 24.85310734],0
d1,1,0.208061,1.584866,[38 57] ; [41 42],[42.16292135 52.83707865] ; [36.83707865 46.16292135],0
v3,1,0.222334,1.489241,[21 68] ; [25 53],[24.51497006 64.48502994] ; [21.48502994 56.51497006],0
r4,1,0.230302,1.438993,[76 19] ; [72 11],[78.98876404 16.01123596] ; [69.01123596 13.98876404],0
a2,1,0.250518,1.320411,[16 79] ; [ 9 74],[13.34269663 81.65730337] ; [11.65730337 71.34269663],0
a8,1,0.261277,1.261976,[ 6 86] ; [ 2 71],[ 4.46060606 87.53939394] ; [ 3.53939394 69.46060606],0
d5,1,0.263114,1.252298,[63 31] ; [62 21],[66.38418079 27.61581921] ; [58.61581921 24.38418079],0
s6,1,0.290411,1.117716,[54 41] ; [53 29],[57.42937853 37.57062147] ; [49.57062147 32.42937853],0
d3,1,0.324335,0.971386,[62 31] ; [61 22],[64.99431818 28.00568182] ; [58.00568182 24.99431818],0
a6,1,0.329847,0.949498,[65 30] ; [51 32],[61.91011236 33.08988764] ; [54.08988764 28.91011236],0
p1,1,0.363229,0.826699,[ 5 90] ; [ 7 73],[ 6.51428571 88.48571429] ; [ 5.48571429 74.51428571],0
n6,1,0.367961,0.81054,[62 33] ; [58 23],[64.77272727 30.22727273] ; [55.22727273 25.77272727],0
b3,1,0.389809,0.739538,[12 30] ; [15 25],[13.82926829 28.17073171] ; [13.17073171 26.82926829],0
b2,1,0.389809,0.739538,[12 30] ; [15 25],[13.82926829 28.17073171] ; [13.17073171 26.82926829],0
s5,1,0.433405,0.613683,[27 66] ; [28 53],[29.39655172 63.60344828] ; [25.60344828 55.39655172],0
u3,1,0.434598,0.610504,[21 13] ; [20 18],[19.36111111 14.63888889] ; [21.63888889 16.36111111],0
d2,1,0.476208,0.507535,[31 64] ; [23 60],[28.82022472 66.17977528] ; [25.17977528 57.82022472],0
s1,1,0.482905,0.492296,[ 1 94] ; [ 2 81],[ 1.6011236 93.3988764] ; [ 1.3988764 81.6011236],0
v2,1,0.493321,0.469274,[41 47] ; [41 38],[43.20958084 44.79041916] ; [38.79041916 40.20958084],0
a4,1,0.494306,0.467139,[32 63] ; [24 59],[29.88764045 65.11235955] ; [26.11235955 56.88764045],0
n1,1,0.522436,0.409081,[ 9 30] ; [ 7 16],[10.06451613 28.93548387] ; [ 5.93548387 17.06451613],0
s3,1,0.545558,0.365335,[49 45] ; [39 43],[47. 47.] ; [41. 41.],0
n5,1,0.549116,0.358903,[34 59] ; [34 49],[35.93181818 57.06818182] ; [32.06818182 50.93181818],0
n2,1,0.57407,0.31592,[28 11] ; [18  5],[28.93548387 10.06451613] ; [17.06451613  5.93548387],0
r3,1,0.58798,0.293511,[89  6] ; [76  7],[88.06179775  6.93820225] ; [76.93820225  6.06179775],0
s2,1,0.593384,0.28509,[45 50] ; [36 47],[43.23033708 51.76966292] ; [37.76966292 45.23033708],0
r2,1,0.599153,0.276275,[86  8] ; [74  9],[84.97175141  9.02824859] ; [75.02824859  7.97175141],0
u1,1,0.635595,0.224549,[10 85] ; [ 7 76],[ 9.07303371 85.92696629] ; [ 7.92696629 75.07303371],0
u2,1,0.705309,0.143007,[18 15] ; [23 16],[18.79166667 14.20833333] ; [22.20833333 16.79166667],0
n3,1,0.744001,0.106641,[27 12] ; [15  8],[26.41935484 12.58064516] ; [15.58064516  7.41935484],0
b5,1,0.80943,0.058159,[59 36] ; [53 30],[59.7752809 35.2247191] ; [52.2247191 30.7752809],0
d4,1,0.814532,0.055029,[73 22] ; [65 18],[73.65168539 21.34831461] ; [64.34831461 18.65168539],0
v4,1,0.823904,0.049518,[89  5] ; [77  5],[88.65909091  5.34090909] ; [77.34090909  4.65909091],0
a1,1,0.838269,0.04166,[ 4 91] ; [ 3 80],[ 3.73595506 91.26404494] ; [ 3.26404494 79.73595506],0
b4,1,0.8645,0.029121,[55 40] ; [47 36],[54.43820225 40.56179775] ; [47.56179775 35.43820225],0
u4,1,0.923442,0.009235,[ 1 94] ; [ 1 82],[ 1.06741573 93.93258427] ; [ 0.93258427 82.06741573],0
v1,1,0.997179,1.3e-05,[44 50] ; [37 42],[44.01156069 49.98843931] ; [36.98843931 42.01156069],0
