Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,46.755891,[14 24] ; [156  23],[29.76958525  8.23041475] ; [140.23041475  38.76958525],1
n6,1,5.2e-05,16.376561,[23 15] ; [157  22],[31.52073733  6.47926267] ; [148.47926267  30.52073733],1
p3,1,0.000242,13.47578,[ 9 29] ; [100  77],[19.26511628 18.73488372] ; [89.73488372 87.26511628],1
s8,1,0.000365,12.704165,[ 6 32] ; [84 94],[15.83333333 22.16666667] ; [ 74.16666667 103.83333333],1
p6,1,0.000515,12.059728,[ 3 34] ; [ 66 110],[11.98591549 25.01408451] ; [ 57.01408451 118.98591549],1
p11,1,0.002406,9.210764,[23 15] ; [148  31],[29.94470046  8.05529954] ; [141.05529954  37.94470046],0
b1,1,0.003025,8.792494,[ 6 32] ; [ 74 105],[14.00921659 23.99078341] ; [ 65.99078341 113.00921659],0
n1,1,0.005913,7.576531,[ 1 15] ; [13 15],[ 5.09090909 10.90909091] ; [ 8.90909091 19.09090909],0
p4,1,0.006373,7.441741,[13 25] ; [103  73],[20.59813084 17.40186916] ; [95.40186916 80.59813084],0
d2,1,0.011345,6.410406,[12 26] ; [97 82],[19.0875576 18.9124424] ; [89.9124424 89.0875576],0
s4,1,0.012705,6.209698,[ 7 31] ; [ 11 168],[ 3.15207373 34.84792627] ; [ 14.84792627 164.15207373],0
s7,1,0.019659,5.44196,[11 26] ; [84 81],[17.4009901 19.5990099] ; [77.5990099 87.4009901],0
a8,1,0.023248,5.149891,[ 1 35] ; [ 28 130],[ 5.3814433 30.6185567] ; [ 23.6185567 134.3814433],0
p2,1,0.033748,4.507445,[25 13] ; [144  33],[29.86976744  8.13023256] ; [139.13023256  37.86976744],0
d1,1,0.042006,4.13497,[17 21] ; [112  67],[22.58986175 15.41013825] ; [106.41013825  72.58986175],0
s2,1,0.057729,3.601447,[10 28] ; [ 76 101],[15.2 22.8] ; [ 70.8 106.2],0
r3,1,0.063913,3.432806,[33  5] ; [170   9],[35.5483871  2.4516129] ; [167.4516129  11.5483871],0
u2,1,0.069385,3.2975,[11  3] ; [23 22],[8.06779661 5.93220339] ; [25.93220339 19.06779661],0
a4,1,0.069845,3.286649,[11 27] ; [80 98],[16.00925926 21.99074074] ; [ 74.99074074 103.00925926],0
r4,1,0.098953,2.722337,[30  8] ; [159  20],[33.09677419  4.90322581] ; [155.90322581  23.09677419],0
a5,1,0.101425,2.68299,[23 15] ; [132  47],[27.14285714 10.85714286] ; [127.85714286  51.14285714],0
n3,1,0.118497,2.437079,[9 7] ; [22  6],[11.27272727  4.72727273] ; [19.72727273  8.27272727],0
p7,1,0.138358,2.196131,[19 18] ; [112  62],[22.97156398 14.02843602] ; [108.02843602  65.97156398],0
a3,1,0.146511,2.108201,[24 14] ; [133  45],[27.62037037 10.37962963] ; [129.37962963  48.62037037],0
s3,1,0.149754,2.074752,[14 24] ; [87 88],[18.01877934 19.98122066] ; [82.98122066 92.01877934],0
p12,1,0.159091,1.982844,[ 1 37] ; [ 17 160],[ 3.18139535 34.81860465] ; [ 14.81860465 162.18139535],0
u1,1,0.166918,1.910407,[ 3 35] ; [ 30 149],[ 5.77880184 32.22119816] ; [ 27.22119816 151.77880184],0
p8,1,0.192118,1.701299,[15 23] ; [89 85],[18.64150943 19.35849057] ; [85.35849057 88.64150943],0
r2,1,0.205238,1.604705,[34  4] ; [167   9],[35.69158879  2.30841121] ; [165.30841121  10.69158879],0
p1,1,0.21814,1.516563,[ 1 37] ; [ 15 164],[ 2.80184332 35.19815668] ; [ 13.19815668 165.80184332],0
a2,1,0.242452,1.366278,[ 6 32] ; [ 44 135],[ 8.75576037 29.24423963] ; [ 41.24423963 137.75576037],0
p10,1,0.252249,1.310803,[28 10] ; [144  32],[30.54205607  7.45794393] ; [141.45794393  34.54205607],0
v4,1,0.260275,1.267295,[34  4] ; [169  10],[35.5483871  2.4516129] ; [167.4516129  11.5483871],0
d5,1,0.268382,1.224997,[28 10] ; [146  33],[30.47004608  7.52995392] ; [143.52995392  35.47004608],0
v2,1,0.362324,0.829823,[29  7] ; [129  47],[26.83018868  9.16981132] ; [131.16981132  44.83018868],0
d4,1,0.394736,0.724302,[33  5] ; [145  34],[31.17050691  6.82949309] ; [146.82949309  32.17050691],0
a7,1,0.412746,0.670877,[29  9] ; [124  54],[26.91666667 11.08333333] ; [126.08333333  51.91666667],0
p9,1,0.424857,0.636841,[29  9] ; [145  32],[30.75348837  7.24651163] ; [143.24651163  33.75348837],0
n2,1,0.49168,0.472847,[10  6] ; [21  8],[11.02222222  4.97777778] ; [19.97777778  9.02222222],0
d3,1,0.502915,0.448779,[28 10] ; [122  57],[26.26728111 11.73271889] ; [123.73271889  55.26728111],0
r1,1,0.565112,0.330931,[29  9] ; [144  35],[30.29493088  7.70506912] ; [142.70506912  36.29493088],0
s1,1,0.579866,0.306452,[ 2 36] ; [  6 171],[ 1.41395349 36.58604651] ; [  6.58604651 170.41395349],0
a6,1,0.645581,0.211517,[24 14] ; [120  59],[25.21658986 12.78341014] ; [118.78341014  60.21658986],0
v1,1,0.718637,0.129803,[23 15] ; [112  64],[23.97196262 14.02803738] ; [111.02803738  64.97196262],0
p5,1,0.736844,0.11292,[ 2 36] ; [ 12 166],[ 2.46296296 35.53703704] ; [ 11.53703704 166.46296296],0
b3,1,0.779728,0.078217,[ 6 12] ; [47 81],[ 6.53424658 11.46575342] ; [46.46575342 81.53424658],0
b2,1,0.779728,0.078217,[ 6 12] ; [47 81],[ 6.53424658 11.46575342] ; [46.46575342 81.53424658],0
b4,1,0.844249,0.038597,[24 14] ; [110  69],[23.46543779 14.53456221] ; [110.53456221  68.46543779],0
s6,1,0.851362,0.035112,[21 16] ; [104  74],[21.51162791 15.48837209] ; [103.48837209  74.51162791],0
u4,1,0.882246,0.02194,[ 1 37] ; [  4 175],[ 0.87557604 37.12442396] ; [  4.12442396 174.87557604],0
u3,1,0.915095,0.011367,[7 6] ; [24 22],[6.83050847 6.16949153] ; [24.16949153 21.83050847],0
b5,1,0.915217,0.011334,[23 15] ; [110  69],[23.29032258 14.70967742] ; [109.70967742  69.29032258],0
