Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000168,14.157261,[10 29] ; [42 24],[19.31428571 19.68571429] ; [32.68571429 33.31428571],1
a5,1,0.007871,7.062661,[15 24] ; [43 23],[21.54285714 17.45714286] ; [36.45714286 29.54285714],0
p3,1,0.008568,6.910686,[ 4 34] ; [22 43],[ 9.59223301 28.40776699] ; [16.40776699 48.59223301],0
u3,1,0.036128,4.391056,[9 6] ; [ 9 23],[5.74468085 9.25531915] ; [12.25531915 19.74468085],0
d3,1,0.04099,4.176436,[15 24] ; [39 27],[20.05714286 18.94285714] ; [33.94285714 32.05714286],0
b2,1,0.041809,4.142935,[ 4 19] ; [17 23],[ 7.66666667 15.33333333] ; [13.33333333 26.66666667],0
b3,1,0.041809,4.142935,[ 4 19] ; [17 23],[ 7.66666667 15.33333333] ; [13.33333333 26.66666667],0
a6,1,0.048227,3.902046,[19 20] ; [45 21],[23.77142857 15.22857143] ; [40.22857143 25.77142857],0
v3,1,0.057068,3.620619,[ 5 33] ; [19 45],[ 8.94117647 29.05882353] ; [15.05882353 48.94117647],0
s1,1,0.058615,3.57614,[ 6 33] ; [ 3 62],[ 3.375 35.625] ; [ 5.625 59.375],0
d5,1,0.07188,3.239554,[21 18] ; [47 19],[25.25714286 13.74285714] ; [42.74285714 23.25714286],0
r2,1,0.088488,2.901676,[29 10] ; [56  8],[32.18446602  6.81553398] ; [52.81553398 11.18446602],0
u2,1,0.115864,2.472357,[9 6] ; [11 20],[6.52173913 8.47826087] ; [13.47826087 17.52173913],0
v1,1,0.120455,2.411395,[ 7 32] ; [21 45],[10.4 28.6] ; [17.6 48.4],0
p7,1,0.132975,2.257427,[19 20] ; [22 43],[15.375 23.625] ; [25.625 39.375],0
n6,1,0.169578,1.886674,[18 21] ; [39 26],[21.375 17.625] ; [35.625 29.375],0
a2,1,0.19117,1.70858,[ 3 36] ; [11 55],[ 5.2 33.8] ; [ 8.8 57.2],0
n1,1,0.192657,1.697185,[ 6 16] ; [11 13],[ 8.13043478 13.86956522] ; [ 8.86956522 15.13043478],0
a7,1,0.262073,1.257771,[19 20] ; [39 26],[21.75 17.25] ; [36.25 28.75],0
a1,1,0.28506,1.142809,[ 1 38] ; [ 5 61],[ 2.22857143 36.77142857] ; [ 3.77142857 62.22857143],0
n3,1,0.286003,1.13834,[14  8] ; [11 12],[12.22222222  9.77777778] ; [12.77777778 10.22222222],0
d2,1,0.319648,0.990385,[21 18] ; [28 36],[18.55339806 20.44660194] ; [30.44660194 33.55339806],0
p1,1,0.321901,0.981209,[ 2 37] ; [ 7 58],[ 3.375 35.625] ; [ 5.625 59.375],0
r4,1,0.322441,0.979021,[21 18] ; [42 24],[23.4 15.6] ; [39.6 26.4],0
u1,1,0.332624,0.938653,[ 2 37] ; [ 7 59],[ 3.34285714 35.65714286] ; [ 5.65714286 60.34285714],0
r1,1,0.339933,0.910682,[23 16] ; [45 21],[25.25714286 13.74285714] ; [42.74285714 23.25714286],0
a3,1,0.358831,0.841979,[24 15] ; [34 31],[21.75 17.25] ; [36.25 28.75],0
s2,1,0.390734,0.736658,[ 4 34] ; [11 55],[ 5.48076923 32.51923077] ; [ 9.51923077 56.48076923],0
s7,1,0.414379,0.6662,[ 5 32] ; [12 48],[ 6.48453608 30.51546392] ; [10.51546392 49.48453608],0
s5,1,0.458737,0.548974,[ 3 36] ; [ 8 57],[ 4.125 34.875] ; [ 6.875 58.125],0
a4,1,0.496587,0.462222,[13 26] ; [26 39],[14.625 24.375] ; [24.375 40.625],0
p11,1,0.52511,0.403846,[17 22] ; [33 33],[18.57142857 20.42857143] ; [31.42857143 34.57142857],0
d4,1,0.565699,0.329932,[23 15] ; [43 22],[24.34951456 13.65048544] ; [41.65048544 23.34951456],0
r3,1,0.576265,0.312312,[29 10] ; [45 20],[27.75 11.25] ; [46.25 18.75],0
v2,1,0.580438,0.305527,[12 25] ; [25 41],[13.29126214 23.70873786] ; [23.70873786 42.29126214],0
b5,1,0.6271,0.236014,[17 22] ; [32 34],[18.2 20.8] ; [30.8 35.2],0
s4,1,0.635419,0.224784,[ 4 35] ; [ 5 61],[ 3.34285714 35.65714286] ; [ 5.65714286 60.34285714],0
d1,1,0.689902,0.159192,[15 24] ; [28 38],[15.97142857 23.02857143] ; [27.02857143 38.97142857],0
v4,1,0.780706,0.077506,[29  9] ; [48 17],[28.40776699  9.59223301] ; [48.59223301 16.40776699],0
b1,1,0.781778,0.07673,[19 20] ; [34 32],[19.68571429 19.31428571] ; [33.31428571 32.68571429],0
a8,1,0.792966,0.068886,[ 2 36] ; [ 4 57],[ 2.3030303 35.6969697] ; [ 3.6969697 57.3030303],0
s8,1,0.804627,0.061189,[ 3 36] ; [ 6 60],[ 3.34285714 35.65714286] ; [ 5.65714286 60.34285714],0
n2,1,0.861467,0.030453,[12 10] ; [13 12],[11.70212766 10.29787234] ; [13.29787234 11.70212766],0
p2,1,0.862404,0.030038,[20 19] ; [35 31],[20.42857143 18.57142857] ; [34.57142857 31.42857143],0
p8,1,0.911192,0.01244,[ 9 29] ; [15 51],[ 8.76923077 29.23076923] ; [15.23076923 50.76923077],0
p6,1,0.911588,0.012329,[ 6 31] ; [10 55],[ 5.80392157 31.19607843] ; [10.19607843 54.80392157],0
s3,1,0.954975,0.003188,[11 28] ; [18 47],[10.875 28.125] ; [18.125 46.875],0
p4,1,0.954975,0.003188,[11 28] ; [18 47],[10.875 28.125] ; [18.125 46.875],0
p10,1,0.967115,0.0017,[ 9 30] ; [15 51],[ 8.91428571 30.08571429] ; [15.08571429 50.91428571],0
b4,1,0.990637,0.000138,[23 16] ; [39 27],[23.02857143 15.97142857] ; [38.97142857 27.02857143],0
