Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.003505,8.524039,[2 9] ; [46 25],[6.43902439 4.56097561] ; [41.56097561 29.43902439],0
p6,1,0.005474,7.715643,[6 4] ; [13 54],[2.46753247 7.53246753] ; [16.53246753 50.46753247],0
s5,1,0.008604,6.903136,[5 6] ; [ 9 60],[1.925 9.075] ; [12.075 56.925],0
r2,1,0.051523,3.791199,[7 4] ; [60  9],[9.2125 1.7875] ; [57.7875 11.2125],0
p2,1,0.052392,3.763193,[10  1] ; [42 27],[7.15 3.85] ; [44.85 24.15],0
s7,1,0.065257,3.398462,[6 5] ; [18 49],[3.38461538 7.61538462] ; [20.61538462 46.38461538],0
s6,1,0.087715,2.915822,[8 3] ; [32 39],[5.36585366 5.63414634] ; [34.63414634 36.36585366],0
d2,1,0.10142,2.683065,[2 9] ; [31 39],[4.48148148 6.51851852] ; [28.51851852 41.48148148],0
p7,1,0.117395,2.451741,[8 2] ; [36 31],[5.71428571 4.28571429] ; [38.28571429 28.71428571],0
d1,1,0.127777,2.319309,[2 9] ; [30 41],[4.29268293 6.70731707] ; [27.70731707 43.29268293],0
n1,1,0.141645,2.16,[1 4] ; [14 11],[2.5 2.5] ; [12.5 12.5],0
p8,1,0.231141,1.433824,[5 5] ; [21 47],[3.33333333 6.66666667] ; [22.66666667 45.33333333],0
b4,1,0.289449,1.122182,[4 7] ; [38 33],[5.63414634 5.36585366] ; [36.36585366 34.63414634],0
v4,1,0.330072,0.948617,[10  1] ; [54 15],[8.8 2.2] ; [55.2 13.8],0
p3,1,0.334185,0.932612,[4 7] ; [16 54],[2.71604938 8.28395062] ; [17.28395062 52.71604938],0
a8,1,0.347339,0.883154,[ 1 10] ; [14 52],[2.14285714 8.85714286] ; [12.85714286 53.14285714],0
b1,1,0.392643,0.730743,[5 6] ; [42 29],[6.30487805 4.69512195] ; [40.69512195 30.30487805],0
u3,1,0.396465,0.719022,[1 3] ; [11 12],[1.77777778 2.22222222] ; [10.22222222 12.77777778],0
a4,1,0.438827,0.599347,[3 8] ; [28 43],[4.15853659 6.84146341] ; [26.84146341 44.15853659],0
p9,1,0.445053,0.583219,[8 2] ; [47 22],[6.96202532 3.03797468] ; [48.03797468 20.96202532],0
a2,1,0.449572,0.57173,[ 1 10] ; [13 58],[1.87804878 9.12195122] ; [12.12195122 58.87804878],0
d4,1,0.450589,0.56917,[8 3] ; [42 27],[6.875 4.125] ; [43.125 25.875],0
d3,1,0.478869,0.501437,[7 4] ; [36 33],[5.9125 5.0875] ; [37.0875 31.9125],0
s8,1,0.50944,0.435217,[4 7] ; [19 52],[3.08536585 7.91463415] ; [19.91463415 51.08536585],0
n4,1,0.50944,0.435217,[7 4] ; [52 19],[7.91463415 3.08536585] ; [51.08536585 19.91463415],0
s2,1,0.534015,0.386746,[5 6] ; [25 45],[4.07407407 6.92592593] ; [25.92592593 44.07407407],0
p10,1,0.536624,0.381833,[5 5] ; [41 27],[5.8974359 4.1025641] ; [40.1025641 27.8974359],0
v3,1,0.572281,0.318881,[2 9] ; [17 48],[2.75 8.25] ; [16.25 48.75],0
s3,1,0.614368,0.253863,[5 6] ; [37 32],[5.775 5.225] ; [36.225 32.775],0
p11,1,0.648836,0.20737,[7 4] ; [40 31],[6.30487805 4.69512195] ; [40.69512195 30.30487805],0
b5,1,0.648836,0.20737,[7 4] ; [40 31],[6.30487805 4.69512195] ; [40.69512195 30.30487805],0
p4,1,0.664208,0.188452,[5 6] ; [27 43],[4.34567901 6.65432099] ; [27.65432099 42.34567901],0
a6,1,0.671022,0.180409,[7 4] ; [49 21],[7.60493827 3.39506173] ; [48.39506173 21.60493827],0
p5,1,0.675121,0.17567,[ 1 10] ; [ 4 65],[ 0.6875 10.3125] ; [ 4.3125 64.6875],0
u2,1,0.683017,0.166749,[2 2] ; [14  9],[2.37037037 1.62962963] ; [13.62962963  9.37037037],0
r3,1,0.713272,0.135031,[8 2] ; [53 18],[7.5308642 2.4691358] ; [53.4691358 17.5308642],0
a3,1,0.744484,0.106225,[7 4] ; [48 22],[7.4691358 3.5308642] ; [47.5308642 22.4691358],0
n2,1,0.77864,0.079012,[4 1] ; [20  7],[3.75 1.25] ; [20.25  6.75],0
u1,1,0.808173,0.058944,[ 1 10] ; [ 5 66],[ 0.80487805 10.19512195] ; [ 5.19512195 65.80487805],0
d5,1,0.818604,0.052597,[7 4] ; [47 23],[7.33333333 3.66666667] ; [46.66666667 23.33333333],0
r1,1,0.84585,0.037798,[7 4] ; [43 28],[6.70731707 4.29268293] ; [43.29268293 27.70731707],0
v1,1,0.861491,0.030442,[5 6] ; [29 39],[4.73417722 6.26582278] ; [29.26582278 38.73417722],0
r4,1,0.91563,0.011223,[7 4] ; [44 27],[6.84146341 4.15853659] ; [44.15853659 26.84146341],0
n3,1,0.948429,0.004184,[3 2] ; [16 10],[3.06451613 1.93548387] ; [15.93548387 10.06451613],0
b2,1,0.95338,0.003418,[2 5] ; [11 29],[1.93617021 5.06382979] ; [11.06382979 28.93617021],0
b3,1,0.95338,0.003418,[2 5] ; [11 29],[1.93617021 5.06382979] ; [11.06382979 28.93617021],0
v2,1,0.965676,0.001852,[5 6] ; [30 35],[5.06578947 5.93421053] ; [29.93421053 35.06578947],0
a7,1,0.986909,0.000269,[7 4] ; [45 26],[6.97560976 4.02439024] ; [45.02439024 25.97560976],0
