Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,121.889396,[415  47] ; [66 74],[369.13953488  92.86046512] ; [111.86046512  28.13953488],1
n6,1,0.0,56.446241,[427  33] ; [96 44],[400.96666667  59.03333333] ; [122.03333333  17.96666667],1
p10,1,0.0,31.523713,[418  41] ; [101  38],[398.36287625  60.63712375] ; [120.63712375  18.36287625],1
p4,1,1e-06,24.922838,[317 143] ; [64 76],[292.1 167.9] ; [88.9 51.1],1
v1,1,1.3e-05,19.067856,[277 170] ; [55 80],[254.98969072 192.01030928] ; [77.01030928 57.98969072],1
v3,1,9.5e-05,15.239352,[203 240] ; [36 98],[183.49566724 259.50433276] ; [55.50433276 78.49566724],1
a2,1,9.8e-05,15.177085,[135 327] ; [ 18 122],[117.41860465 344.58139535] ; [ 35.58139535 104.41860465],1
s2,1,0.000119,14.815321,[260 195] ; [54 86],[240.11764706 214.88235294] ; [73.88235294 66.11764706],1
s6,1,0.000324,12.925797,[324 128] ; [77 62],[306.68697124 145.31302876] ; [94.31302876 44.68697124],1
s7,1,0.000479,12.194961,[243 202] ; [51 85],[225.18072289 219.81927711] ; [68.81927711 67.18072289],1
p9,1,0.000531,12.0036,[419  38] ; [113  26],[407.9261745  49.0738255] ; [124.0738255  14.9261745],1
d2,1,0.001373,10.241886,[255 205] ; [56 84],[238.43333333 221.56666667] ; [72.56666667 67.43333333],0
d1,1,0.001421,10.177933,[339 123] ; [83 57],[323.86046512 138.13953488] ; [98.13953488 41.86046512],0
a5,1,0.001924,9.620615,[374  88] ; [96 44],[360.69767442 101.30232558] ; [109.30232558  30.69767442],0
s8,1,0.002423,9.197798,[231 228] ; [50 90],[215.32387312 243.67612688] ; [65.67612688 74.32387312],0
p8,1,0.002617,9.056663,[274 179] ; [64 75],[258.63851351 194.36148649] ; [79.36148649 59.63851351],0
p6,1,0.004982,7.885808,[189 266] ; [38 97],[175.05932203 279.94067797] ; [51.94067797 83.05932203],0
p3,1,0.005275,7.782635,[253 208] ; [58 82],[238.55407654 222.44592346] ; [72.44592346 67.55407654],0
u1,1,0.007325,7.19156,[104 358] ; [ 17 123],[ 92.86046512 369.13953488] ; [ 28.13953488 111.86046512],0
s3,1,0.009155,6.792432,[274 180] ; [66 72],[260.74324324 193.25675676] ; [79.25675676 58.74324324],0
a3,1,0.0096,6.707717,[362  99] ; [95 45],[350.54409318 110.45590682] ; [106.45590682  33.54409318],0
a4,1,0.013008,6.167986,[233 228] ; [54 86],[220.14475874 240.85524126] ; [66.85524126 73.14475874],0
p5,1,0.02199,5.24654,[ 67 391] ; [ 10 129],[ 59.0720268 398.9279732] ; [ 17.9279732 121.0720268],0
a8,1,0.040125,4.212582,[ 70 350] ; [ 12 117],[ 62.73224044 357.26775956] ; [ 19.26775956 109.73224044],0
p12,1,0.051151,3.803338,[ 48 409] ; [  7 132],[ 42.17281879 414.82718121] ; [ 12.82718121 126.17281879],0
p7,1,0.051628,3.787789,[312 137] ; [83 54],[302.65358362 146.34641638] ; [92.34641638 44.65358362],0
v4,1,0.05414,3.708365,[442  18] ; [128  11],[437.72954925  22.27045075] ; [132.27045075   6.72954925],0
s5,1,0.054594,3.694434,[165 279] ; [38 97],[155.66839378 288.33160622] ; [47.33160622 87.66839378],0
d5,1,0.055388,3.670362,[411  51] ; [116  24],[404.44186047  57.55813953] ; [122.55813953  17.44186047],0
a6,1,0.056027,3.651264,[332 129] ; [89 51],[322.93011647 138.06988353] ; [98.06988353 41.93011647],0
v2,1,0.089206,2.888645,[275 169] ; [72 62],[266.55363322 177.44636678] ; [80.44636678 53.55363322],0
u4,1,0.102092,2.672561,[ 15 446] ; [  1 139],[ 12.27287854 448.72712146] ; [  3.72712146 136.27287854],0
p2,1,0.107016,2.597746,[404  55] ; [115  24],[398.36287625  60.63712375] ; [120.63712375  18.36287625],0
r1,1,0.132763,2.259901,[381  80] ; [107  32],[374.94666667  86.05333333] ; [113.05333333  25.94666667],0
b1,1,0.145745,2.116227,[173 289] ; [43 97],[165.76744186 296.23255814] ; [50.23255814 89.76744186],0
u3,1,0.162839,1.947661,[59 41] ; [32 13],[62.75862069 37.24137931] ; [28.24137931 16.75862069],0
a7,1,0.162889,1.947201,[335 126] ; [110  30],[341.33943428 119.66056572] ; [103.66056572  36.33943428],0
r4,1,0.179681,1.800259,[426  36] ; [124  16],[422.09302326  39.90697674] ; [127.90697674  12.09302326],0
p1,1,0.187886,1.734118,[ 39 421] ; [  7 131],[ 35.38461538 424.61538462] ; [ 10.61538462 127.38461538],0
s1,1,0.276735,1.183056,[  9 446] ; [  5 135],[ 10.70588235 444.29411765] ; [  3.29411765 136.70588235],0
r2,1,0.297354,1.086022,[435  23] ; [126  10],[432.55555556  25.44444444] ; [128.44444444   7.55555556],0
n2,1,0.303928,1.056879,[63 19] ; [23 11],[60.79310345 21.20689655] ; [25.20689655  8.79310345],0
b2,1,0.364189,0.823397,[126 171] ; [31 53],[122.38582677 174.61417323] ; [34.61417323 49.38582677],0
b3,1,0.364189,0.823397,[126 171] ; [31 53],[122.38582677 174.61417323] ; [34.61417323 49.38582677],0
n1,1,0.378591,0.775272,[30 51] ; [10 25],[27.93103448 53.06896552] ; [12.06896552 22.93103448],0
d3,1,0.402616,0.700498,[354 108] ; [112  28],[357.62790698 104.37209302] ; [108.37209302  31.62790698],0
s4,1,0.505146,0.444108,[ 72 381] ; [ 19 121],[ 69.51602024 383.48397976] ; [ 21.48397976 118.51602024],0
b4,1,0.508746,0.436646,[276 186] ; [88 52],[279.34883721 182.65116279] ; [84.65116279 55.34883721],0
u2,1,0.560243,0.339283,[61 38] ; [30 15],[62.5625 36.4375] ; [28.4375 16.5625],0
r3,1,0.873065,0.025525,[448  12] ; [136   4],[447.73333333  12.26666667] ; [136.26666667   3.73333333],0
a1,1,0.890246,0.019042,[ 25 437] ; [  8 132],[ 25.3255814 436.6744186] ; [  7.6744186 132.3255814],0
b5,1,0.894831,0.017475,[271 191] ; [83 57],[271.6744186 190.3255814] ; [82.3255814 57.6744186],0
n3,1,0.908502,0.013209,[57 25] ; [24 10],[57.25862069 24.74137931] ; [23.74137931 10.25862069],0
