Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001078,10.688506,[ 9 19] ; [44 20],[16.13043478 11.86956522] ; [36.86956522 27.13043478],0
v3,1,0.001078,10.688506,[ 9 19] ; [44 20],[16.13043478 11.86956522] ; [36.86956522 27.13043478],0
s8,1,0.004964,7.89242,[10 16] ; [45 19],[15.88888889 10.11111111] ; [39.11111111 24.88888889],0
p10,1,0.024149,5.083877,[21  6] ; [61  4],[24.06521739  2.93478261] ; [57.93478261  7.06521739],0
s2,1,0.024181,5.08163,[11 16] ; [43 22],[15.84782609 11.15217391] ; [38.15217391 26.84782609],0
d1,1,0.025361,4.999057,[13 15] ; [46 19],[17.76344086 10.23655914] ; [41.23655914 23.76344086],0
u3,1,0.05621,3.645833,[3 6] ; [9 3],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
u2,1,0.05621,3.645833,[3 6] ; [9 3],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
r4,1,0.079919,3.066542,[23  5] ; [61  4],[25.29032258  2.70967742] ; [58.70967742  6.29032258],0
p9,1,0.092927,2.822928,[23  4] ; [62  3],[24.94565217  2.05434783] ; [60.05434783  4.94565217],0
p12,1,0.09562,2.777114,[ 4 24] ; [20 45],[ 7.22580645 20.77419355] ; [16.77419355 48.22580645],0
d4,1,0.098975,2.721989,[20  8] ; [55  9],[22.82608696  5.17391304] ; [52.17391304 11.82608696],0
p1,1,0.110688,2.544373,[12 16] ; [17 48],[ 8.7311828 19.2688172] ; [20.2688172 44.7311828],0
n2,1,0.121335,2.4,[6 4] ; [9 1],[7.5 2.5] ; [7.5 2.5],0
v4,1,0.121658,2.39585,[24  3] ; [63  2],[25.5326087  1.4673913] ; [61.4673913  3.5326087],0
a3,1,0.147747,2.095359,[19  9] ; [53 12],[21.67741935  6.32258065] ; [50.32258065 14.67741935],0
s4,1,0.255946,1.290553,[ 2 26] ; [10 53],[ 3.69230769 24.30769231] ; [ 8.30769231 54.69230769],0
p7,1,0.264186,1.24669,[20  7] ; [53 10],[21.9  5.1] ; [51.1 11.9],0
s5,1,0.267518,1.229429,[15 11] ; [42 18],[17.23255814  8.76744186] ; [39.76744186 20.23255814],0
s7,1,0.284089,1.147425,[16  9] ; [46 15],[18.02325581  6.97674419] ; [43.97674419 17.02325581],0
d3,1,0.289056,1.124013,[17 11] ; [46 18],[19.17391304  8.82608696] ; [43.82608696 20.17391304],0
r3,1,0.295035,1.096504,[23  4] ; [60  5],[24.35869565  2.64130435] ; [58.64130435  6.35869565],0
p4,1,0.30672,1.044749,[23  4] ; [59  5],[24.32967033  2.67032967] ; [57.67032967  6.32967033],0
b5,1,0.308923,1.035274,[11 17] ; [33 32],[13.24731183 14.75268817] ; [30.75268817 34.24731183],0
a7,1,0.341332,0.905424,[17 11] ; [46 19],[18.96774194  9.03225806] ; [44.03225806 20.96774194],0
p11,1,0.361772,0.831733,[22  6] ; [56  9],[23.48387097  4.51612903] ; [54.51612903 10.48387097],0
n3,1,0.371093,0.8,[6 4] ; [4 6],[5. 5.] ; [5. 5.],0
p8,1,0.420614,0.6486,[20  7] ; [53 12],[21.42391304  5.57608696] ; [51.57608696 13.42391304],0
p2,1,0.436129,0.606448,[22  5] ; [57  8],[23.18478261  3.81521739] ; [55.81521739  9.18478261],0
r1,1,0.478682,0.501864,[22  6] ; [55 10],[23.1827957  4.8172043] ; [53.8172043 11.1827957],0
