Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,34.112656,[ 22 116] ; [59 59],[43.6640625 94.3359375] ; [37.3359375 80.6640625],1
p3,1,1e-06,23.821034,[ 15 123] ; [44 77],[ 31.43629344 106.56370656] ; [27.56370656 93.43629344],1
p2,1,6e-06,20.635527,[75 63] ; [98 23],[92.17760618 45.82239382] ; [80.82239382 40.17760618],1
r3,1,9e-06,19.616292,[106  30] ; [117   4],[118.0077821  17.9922179] ; [104.9922179  16.0077821],1
p6,1,1.2e-05,19.150311,[ 11 126] ; [35 86],[ 24.42635659 112.57364341] ; [21.57364341 99.42635659],1
r4,1,2.2e-05,18.045445,[96 42] ; [110  11],[109.76061776  28.23938224] ; [96.23938224 24.76061776],1
v2,1,0.000143,14.456718,[46 83] ; [69 46],[60.79918033 68.20081967] ; [54.20081967 60.79918033],1
v4,1,0.00049,12.154224,[113  25] ; [115   5],[121.95348837  16.04651163] ; [106.04651163  13.95348837],1
a8,1,0.000938,10.945273,[ 13 119] ; [29 83],[ 22.72131148 109.27868852] ; [19.27868852 92.72131148],1
v1,1,0.005224,7.800071,[47 87] ; [62 56],[57.96031746 76.03968254] ; [51.03968254 66.96031746],0
s8,1,0.00536,7.753805,[ 37 101] ; [52 68],[47.60465116 90.39534884] ; [41.39534884 78.60465116],0
s6,1,0.007581,7.129867,[63 73] ; [75 44],[73.6 62.4] ; [64.4 54.6],0
s7,1,0.01056,6.53786,[41 94] ; [53 62],[50.76 84.24] ; [43.24 71.76],0
b4,1,0.010692,6.515845,[89 49] ; [59 62],[78.85714286 59.14285714] ; [69.14285714 51.85714286],0
a1,1,0.020617,5.358903,[ 13 125] ; [  3 118],[  8.52509653 129.47490347] ; [  7.47490347 113.52509653],0
s5,1,0.022,5.245774,[ 25 107] ; [38 83],[32.86956522 99.13043478] ; [30.13043478 90.86956522],0
r1,1,0.022412,5.213547,[90 48] ; [93 26],[98.26459144 39.73540856] ; [84.73540856 34.26459144],0
s2,1,0.023722,5.114829,[47 88] ; [59 62],[55.8984375 79.1015625] ; [50.1015625 70.8984375],0
s3,1,0.023803,5.108899,[59 76] ; [70 51],[68.02734375 66.97265625] ; [60.97265625 60.02734375],0
r2,1,0.027936,4.832041,[120  18] ; [113   6],[125.11284047  12.88715953] ; [107.88715953  11.11284047],0
d5,1,0.030229,4.696225,[90 48] ; [93 27],[97.88372093 40.11627907] ; [85.11627907 34.88372093],0
p10,1,0.033907,4.499378,[91 46] ; [94 26],[98.61867704 38.38132296] ; [86.38132296 33.61867704],0
n4,1,0.041557,4.153139,[109  29] ; [107  14],[115.08880309  22.91119691] ; [100.91119691  20.08880309],0
p9,1,0.089738,2.87906,[96 39] ; [94 23],[101.78571429  33.21428571] ; [88.21428571 28.78571429],0
n3,1,0.100877,2.691622,[33 22] ; [24  7],[36.45348837 18.54651163] ; [20.54651163 10.45348837],0
p11,1,0.132085,2.267826,[92 46] ; [91 30],[97.50579151 40.49420849] ; [85.49420849 35.50579151],0
u2,1,0.138137,2.198585,[18 31] ; [20 18],[21.40229885 27.59770115] ; [16.59770115 21.40229885],0
v3,1,0.194594,1.682491,[41 93] ; [46 74],[45.8976378 88.1023622] ; [41.1023622 78.8976378],0
n2,1,0.237425,1.395819,[41 16] ; [25  5],[43.24137931 13.75862069] ; [22.75862069  7.24137931],0
b1,1,0.256615,1.286927,[52 86] ; [54 67],[56.47876448 81.52123552] ; [49.52123552 71.47876448],0
d4,1,0.262409,1.256001,[95 42] ; [90 29],[99.00390625 37.99609375] ; [85.99609375 33.00390625],0
d3,1,0.413687,0.668181,[73 65] ; [69 50],[76.24902724 61.75097276] ; [65.75097276 53.24902724],0
p1,1,0.419787,0.650911,[ 13 125] ; [  8 112],[ 11.23255814 126.76744186] ; [  9.76744186 110.23255814],0
n6,1,0.488983,0.478764,[111  26] ; [102  19],[113.10465116  23.89534884] ; [99.89534884 21.10465116],0
a6,1,0.541727,0.372349,[92 46] ; [75 44],[89.67315175 48.32684825] ; [77.32684825 41.67315175],0
d1,1,0.547754,0.361357,[61 77] ; [58 63],[63.40540541 74.59459459] ; [55.59459459 65.40540541],0
d2,1,0.560697,0.338499,[60 75] ; [49 71],[57.70588235 77.29411765] ; [51.29411765 68.70588235],0
b5,1,0.564,0.332826,[83 55] ; [77 44],[85.25096525 52.74903475] ; [74.74903475 46.25096525],0
p5,1,0.595525,0.281798,[  5 133] ; [  3 118],[  4.26254826 133.73745174] ; [  3.73745174 117.26254826],0
a4,1,0.60528,0.267106,[56 80] ; [46 75],[53.9766537 82.0233463] ; [48.0233463 72.9766537],0
s4,1,0.608187,0.262824,[ 20 116] ; [ 15 105],[ 18.59375 117.40625] ; [ 16.40625 103.59375],0
