Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.004294,8.155203,[ 1 20] ; [11 16],[ 5.25 15.75] ; [ 6.75 20.25],0
p4,1,0.008829,6.857143,[ 6 15] ; [18  9],[10.5 10.5] ; [13.5 13.5],0
d3,1,0.010294,6.583355,[ 4 17] ; [15 12],[ 8.3125 12.6875] ; [10.6875 16.3125],0
d4,1,0.012134,6.291156,[ 8 13] ; [20  7],[12.25  8.75] ; [15.75 11.25],0
p3,1,0.013555,6.095238,[ 3 18] ; [13 14],[ 7. 14.] ; [ 9. 18.],0
v2,1,0.013651,6.082784,[ 5 15] ; [16 10],[ 9.13043478 10.86956522] ; [11.86956522 14.13043478],0
a7,1,0.014048,6.032082,[ 5 16] ; [16 11],[ 9.1875 11.8125] ; [11.8125 15.1875],0
n6,1,0.022177,5.231871,[11  9] ; [23  4],[14.46808511  5.53191489] ; [19.53191489  7.46808511],0
v3,1,0.028977,4.768959,[ 2 19] ; [10 17],[ 5.25 15.75] ; [ 6.75 20.25],0
a4,1,0.045457,4.001601,[ 3 18] ; [11 16],[ 6.125 14.875] ; [ 7.875 19.125],0
p2,1,0.060365,3.527337,[10 11] ; [20  7],[13.125  7.875] ; [16.875 10.125],0
p6,1,0.061763,3.489394,[ 2 18] ; [ 9 18],[ 4.68085106 15.31914894] ; [ 6.31914894 20.68085106],0
u2,1,0.061883,3.486189,[3 7] ; [9 4],[5.2173913 4.7826087] ; [6.7826087 6.2173913],0
p11,1,0.065714,3.386955,[12  9] ; [22  5],[14.875  6.125] ; [19.125  7.875],0
p9,1,0.07044,3.272727,[12  8] ; [21  4],[14.66666667  5.33333333] ; [18.33333333  6.66666667],0
r4,1,0.078476,3.09618,[ 3 18] ; [10 17],[ 5.6875 15.3125] ; [ 7.3125 19.6875],0
b5,1,0.087107,2.927039,[ 8 13] ; [17 10],[10.9375 10.0625] ; [14.0625 12.9375],0
v4,1,0.09903,2.721088,[ 9 12] ; [18  9],[11.8125  9.1875] ; [15.1875 11.8125],0
u3,1,0.123324,2.374585,[1 9] ; [5 8],[2.60869565 7.39130435] ; [3.39130435 9.60869565],0
a6,1,0.125311,2.34965,[ 7 14] ; [15 12],[ 9.625 11.375] ; [12.375 14.625],0
