Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.4e-05,17.818182,[65 16] ; [10 17],[56.25 24.75] ; [18.75  8.25],1
n6,1,0.001244,10.423645,[71 10] ; [16 11],[65.25 15.75] ; [21.75  5.25],0
s7,1,0.005202,7.80767,[48 29] ; [ 8 18],[41.86407767 35.13592233] ; [14.13592233 11.86407767],0
d2,1,0.007526,7.142857,[23 58] ; [ 1 26],[18. 63.] ; [ 6. 21.],0
a1,1,0.090969,2.857143,[ 1 80] ; [ 2 25],[ 2.25 78.75] ; [ 0.75 26.25],0
v2,1,0.099387,2.715353,[38 39] ; [ 8 18],[34.38834951 42.61165049] ; [11.61165049 14.38834951],0
p6,1,0.105193,2.625,[30 50] ; [ 5 20],[26.66666667 53.33333333] ; [ 8.33333333 16.66666667],0
p5,1,0.1304,2.287733,[16 64] ; [ 2 25],[13.45794393 66.54205607] ; [ 4.54205607 22.45794393],0
p10,1,0.146676,2.106481,[65 13] ; [19  8],[62.4 15.6] ; [21.6  5.4],0
p8,1,0.159057,1.983168,[48 32] ; [12 15],[44.85981308 35.14018692] ; [15.14018692 11.85981308],0
u2,1,0.159969,1.974517,[23 17] ; [11  3],[25.18518519 14.81481481] ; [8.81481481 5.18518519],0
b1,1,0.174844,1.840909,[36 45] ; [ 8 19],[33. 48.] ; [11. 16.],0
p3,1,0.233075,1.421997,[31 49] ; [14 13],[33.64485981 46.35514019] ; [11.35514019 15.64485981],0
a4,1,0.236001,1.404321,[13 65] ; [ 2 25],[11.14285714 66.85714286] ; [ 3.85714286 23.14285714],0
p1,1,0.252479,1.309537,[13 67] ; [ 2 25],[11.21495327 68.78504673] ; [ 3.78504673 23.21495327],0
b5,1,0.261221,1.262272,[44 37] ; [18  9],[46.5 34.5] ; [15.5 11.5],0
s4,1,0.285049,1.142857,[20 61] ; [ 4 23],[18. 63.] ; [ 6. 21.],0
a2,1,0.314879,1.010101,[ 8 73] ; [ 1 26],[ 6.75 74.25] ; [ 2.25 24.75],0
p7,1,0.315993,1.005461,[49 29] ; [14 13],[46.8 31.2] ; [16.2 10.8],0
s2,1,0.352671,0.863824,[49 30] ; [14 13],[46.95283019 32.04716981] ; [16.04716981 10.95283019],0
a6,1,0.394535,0.724918,[49 31] ; [19  8],[50.8411215 29.1588785] ; [17.1588785  9.8411215],0
s3,1,0.412166,0.672546,[55 22] ; [17 10],[53.30769231 23.69230769] ; [18.69230769  8.30769231],0
p12,1,0.468383,0.525788,[10 70] ; [ 2 25],[ 8.97196262 71.02803738] ; [ 3.02803738 23.97196262],0
r2,1,0.49299,0.469994,[72  8] ; [23  4],[71.02803738  8.97196262] ; [23.97196262  3.02803738],0
v1,1,0.495248,0.465104,[40 40] ; [11 15],[38.49056604 41.50943396] ; [12.50943396 13.49056604],0
d1,1,0.498432,0.458274,[ 6 75] ; [ 1 26],[ 5.25 75.75] ; [ 1.75 25.25],0
b4,1,0.500244,0.454418,[48 33] ; [14 13],[46.5 34.5] ; [15.5 11.5],0
p2,1,0.543059,0.369899,[61 19] ; [19  8],[59.81308411 20.18691589] ; [20.18691589  6.81308411],0
s5,1,0.562422,0.335527,[32 46] ; [ 9 17],[30.75 47.25] ; [10.25 15.75],0
s8,1,0.573138,0.31746,[35 46] ; [10 17],[33.75 47.25] ; [11.25 15.75],0
a3,1,0.578685,0.308365,[40 39] ; [12 15],[38.75471698 40.24528302] ; [13.24528302 13.75471698],0
n3,1,0.617017,0.250083,[13  8] ; [3 1],[13.44  7.56] ; [2.56 1.44],0
d4,1,0.618697,0.247703,[43 37] ; [16 11],[44.11214953 35.88785047] ; [14.88785047 12.11214953],0
p4,1,0.65244,0.202838,[42 37] ; [13 14],[40.99056604 38.00943396] ; [14.00943396 12.99056604],0
d3,1,0.69113,0.157864,[35 45] ; [13 14],[35.88785047 44.11214953] ; [12.11214953 14.88785047],0
b3,1,0.693849,0.15495,[15 31] ; [5 8],[15.59322034 30.40677966] ; [4.40677966 8.59322034],0
b2,1,0.693849,0.15495,[15 31] ; [5 8],[15.59322034 30.40677966] ; [4.40677966 8.59322034],0
r1,1,0.712558,0.135735,[57 24] ; [20  7],[57.75 23.25] ; [19.25  7.75],0
a8,1,0.739301,0.110742,[11 64] ; [ 3 22],[10.5 64.5] ; [ 3.5 21.5],0
r4,1,0.740803,0.109422,[70 11] ; [24  3],[70.5 10.5] ; [23.5  3.5],0
u3,1,0.821154,0.051103,[22 19] ; [8 6],[22.36363636 18.63636364] ; [7.63636364 6.36363636],0
v4,1,0.833427,0.044229,[75  5] ; [25  2],[74.76635514  5.23364486] ; [25.23364486  1.76635514],0
r3,1,0.840693,0.040404,[74  7] ; [25  2],[74.25  6.75] ; [24.75  2.25],0
a5,1,0.864276,0.029218,[43 37] ; [14 13],[42.61682243 37.38317757] ; [14.38317757 12.61682243],0
v3,1,0.881471,0.022232,[28 51] ; [10 17],[28.32075472 50.67924528] ; [ 9.67924528 17.32075472],0
n2,1,0.884077,0.021259,[15  6] ; [3 1],[15.12  5.88] ; [2.88 1.12],0
p11,1,0.892059,0.018414,[64 17] ; [21  6],[63.75 17.25] ; [21.25  5.75],0
a7,1,0.94143,0.005398,[51 29] ; [17 10],[50.8411215 29.1588785] ; [17.1588785  9.8411215],0
p9,1,0.978716,0.000712,[65 15] ; [22  5],[65.04672897 14.95327103] ; [21.95327103  5.04672897],0
