Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,65.572514,[190  88] ; [23 81],[155.0104712 122.9895288] ; [57.9895288 46.0104712],1
s3,1,0.0,58.420026,[191  84] ; [27 77],[158.17941953 116.82058047] ; [59.82058047 44.17941953],1
s7,1,0.0,39.75826,[173  94] ; [28 72],[146.23160763 120.76839237] ; [54.76839237 45.23160763],1
s8,1,0.0,37.428808,[173 105] ; [29 77],[146.23958333 131.76041667] ; [55.76041667 50.23958333],1
s5,1,0.0,32.256829,[132 143] ; [17 88],[107.82894737 167.17105263] ; [41.17105263 63.82894737],1
r4,1,0.001258,10.403153,[268  13] ; [91 15],[260.66925065  20.33074935] ; [98.33074935  7.66925065],0
r2,1,0.003796,8.379106,[273   6] ; [96  9],[268.1015625  10.8984375] ; [100.8984375   4.1015625],0
d3,1,0.005568,7.684975,[207  73] ; [63 43],[195.85492228  84.14507772] ; [74.14507772 31.85492228],0
d4,1,0.005572,7.683661,[243  36] ; [80 26],[234.07012987  44.92987013] ; [88.92987013 17.07012987],0
v4,1,0.011254,6.424823,[274   6] ; [98  8],[269.84455959  10.15544041] ; [102.15544041   3.84455959],0
p6,1,0.016275,5.772902,[133 142] ; [36 68],[122.62532982 152.37467018] ; [46.37467018 57.62532982],0
d5,1,0.017787,5.616976,[239  40] ; [80 26],[231.17142857  47.82857143] ; [87.82857143 18.17142857],0
p5,1,0.028527,4.795939,[ 53 227] ; [10 94],[ 45.9375 234.0625] ; [17.0625 86.9375],0
p12,1,0.031811,4.608637,[ 34 245] ; [  5 100],[ 28.3359375 250.6640625] ; [10.6640625 94.3359375],0
s4,1,0.035668,4.412931,[ 47 230] ; [ 9 97],[ 40.50130548 236.49869452] ; [15.49869452 90.50130548],0
p4,1,0.046383,3.967627,[202  77] ; [65 40],[193.9921875  85.0078125] ; [73.0078125 31.9921875],0
b4,1,0.050273,3.832325,[174 107] ; [54 52],[165.5503876 115.4496124] ; [62.4496124 43.5503876],0
u1,1,0.052664,3.754536,[ 68 213] ; [16 90],[ 60.99224806 220.00775194] ; [23.00775194 82.99224806],0
n6,1,0.056586,3.634713,[260  20] ; [91 14],[255.27272727  24.72727273] ; [95.72727273  9.27272727],0
r3,1,0.060985,3.510397,[271   9] ; [97  8],[267.63636364  12.36363636] ; [100.36363636   4.63636364],0
u4,1,0.083565,2.994161,[ 13 268] ; [  1 105],[ 10.16537468 270.83462532] ; [  3.83462532 102.16537468],0
b3,1,0.086882,2.931217,[ 73 115] ; [35 34],[ 79.00389105 108.99610895] ; [28.99610895 40.00389105],0
b2,1,0.086882,2.931217,[ 73 115] ; [35 34],[ 79.00389105 108.99610895] ; [28.99610895 40.00389105],0
b5,1,0.121978,2.391736,[183  98] ; [60 46],[176.44186047 104.55813953] ; [66.55813953 39.44186047],0
d1,1,0.130763,2.283425,[185  96] ; [61 45],[178.62015504 102.37984496] ; [67.37984496 38.62015504],0
a8,1,0.139916,2.178881,[ 43 209] ; [10 84],[ 38.60115607 213.39884393] ; [14.39884393 79.60115607],0
p10,1,0.15756,1.997487,[251  26] ; [89 15],[247.19160105  29.80839895] ; [92.80839895 11.19160105],0
n4,1,0.166172,1.917144,[254  26] ; [91 15],[250.25906736  29.74093264] ; [94.74093264 11.25906736],0
p9,1,0.16665,1.912823,[256  22] ; [91 13],[252.52879581  25.47120419] ; [94.47120419  9.52879581],0
a3,1,0.178628,1.809006,[220  59] ; [76 29],[215.0625  63.9375] ; [80.9375 24.0625],0
a7,1,0.199233,1.647991,[206  74] ; [71 35],[200.93264249  79.06735751] ; [76.06735751 29.93264249],0
p7,1,0.225189,1.470994,[198  70] ; [71 34],[193.27613941  74.72386059] ; [75.72386059 29.27613941],0
u2,1,0.232576,1.425037,[34 26] ; [13 17],[31.33333333 28.66666667] ; [15.66666667 14.33333333],0
a2,1,0.248736,1.330388,[ 80 201] ; [24 82],[ 75.51421189 205.48578811] ; [28.48578811 77.51421189],0
v3,1,0.312042,1.022013,[145 129] ; [48 54],[140.64361702 133.35638298] ; [52.35638298 49.64361702],0
a6,1,0.344278,0.894438,[186  93] ; [76 30],[189.86493506  89.13506494] ; [72.13506494 33.86493506],0
r1,1,0.355411,0.854043,[240  40] ; [86 19],[237.09090909  42.90909091] ; [88.90909091 16.09090909],0
n3,1,0.403892,0.696708,[33 15] ; [15  4],[34.3880597 13.6119403] ; [13.6119403  5.3880597],0
a5,1,0.502727,0.449176,[221  60] ; [80 26],[218.55555556  62.44444444] ; [82.44444444 23.55555556],0
v2,1,0.550446,0.35652,[189  84] ; [68 35],[186.59840426  86.40159574] ; [70.40159574 32.59840426],0
a4,1,0.565313,0.330588,[135 143] ; [48 58],[132.484375 145.515625] ; [50.515625 55.484375],0
n2,1,0.576932,0.311221,[41  8] ; [14  4],[40.2238806  8.7761194] ; [14.7761194  3.2238806],0
s1,1,0.58114,0.304396,[  8 266] ; [  2 103],[  7.22955145 266.77044855] ; [  2.77044855 102.22955145],0
p2,1,0.582614,0.302028,[245  34] ; [90 15],[243.3984375  35.6015625] ; [91.6015625 13.3984375],0
u3,1,0.60573,0.26644,[38 23] ; [17 13],[36.86813187 24.13186813] ; [18.13186813 11.86813187],0
n1,1,0.633193,0.227756,[25 24] ; [ 8 10],[24.13432836 24.86567164] ; [8.86567164 9.13432836],0
p8,1,0.633609,0.227199,[167 107] ; [60 43],[164.98143236 109.01856764] ; [62.01856764 40.98143236],0
p1,1,0.652999,0.20214,[ 28 252] ; [ 9 97],[ 26.83937824 253.16062176] ; [10.16062176 95.83937824],0
d2,1,0.682824,0.166964,[146 133] ; [53 53],[144.21038961 134.78961039] ; [54.78961039 51.21038961],0
p3,1,0.692967,0.155893,[163 116] ; [59 46],[161.296875 117.703125] ; [60.703125 44.296875],0
p11,1,0.698207,0.150344,[234  47] ; [90 16],[235.25581395  45.74418605] ; [88.74418605 17.25581395],0
a1,1,0.705172,0.143148,[ 16 265] ; [  5 101],[ 15.24806202 265.75193798] ; [  5.75193798 100.24806202],0
b1,1,0.83054,0.0458,[108 173] ; [42 64],[108.91472868 172.08527132] ; [41.08527132 64.91472868],0
