Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.014205,6.012494,[18  8] ; [ 7 14],[13.82978723 12.17021277] ; [11.17021277  9.82978723],0
n6,1,0.049124,3.871117,[21  7] ; [10 11],[17.71428571 10.28571429] ; [13.28571429  7.71428571],0
p9,1,0.055105,3.678912,[19  8] ; [ 9 12],[15.75 11.25] ; [12.25  8.75],0
a8,1,0.062692,3.464708,[ 1 26] ; [ 4 15],[ 2.93478261 24.06521739] ; [ 2.06521739 16.93478261],0
r3,1,0.076547,3.136742,[27  1] ; [17  4],[25.14285714  2.85714286] ; [18.85714286  2.14285714],0
b5,1,0.090498,2.865497,[20  8] ; [10 11],[17.14285714 10.85714286] ; [12.85714286  8.14285714],0
p8,1,0.098398,2.731327,[16 12] ; [ 7 14],[13.14285714 14.85714286] ; [ 9.85714286 11.14285714],0
s6,1,0.104597,2.634014,[14 13] ; [ 6 15],[11.25 15.75] ; [ 8.75 12.25],0
d5,1,0.165684,1.921569,[12 16] ; [ 5 16],[ 9.71428571 18.28571429] ; [ 7.28571429 13.71428571],0
s5,1,0.169716,1.885449,[ 5 22] ; [ 1 19],[ 3.44680851 23.55319149] ; [ 2.55319149 17.44680851],0
s7,1,0.176296,1.828571,[ 9 19] ; [ 3 17],[ 7. 21.] ; [ 5. 15.],0
b3,1,0.197213,1.662896,[ 2 15] ; [4 9],[ 3.4 13.6] ; [ 2.6 10.4],0
b2,1,0.197213,1.662896,[ 2 15] ; [4 9],[ 3.4 13.6] ; [ 2.6 10.4],0
r4,1,0.21251,1.554242,[23  5] ; [14  7],[21.14285714  6.85714286] ; [15.85714286  5.14285714],0
a6,1,0.215159,1.536371,[17 11] ; [ 9 12],[14.85714286 13.14285714] ; [11.14285714  9.85714286],0
p11,1,0.252943,1.306976,[17 11] ; [16  5],[18.85714286  9.14285714] ; [14.14285714  6.85714286],0
s4,1,0.264525,1.244919,[ 6 22] ; [ 2 19],[ 4.57142857 23.42857143] ; [ 3.42857143 17.57142857],0
n4,1,0.2985,1.080882,[ 8 20] ; [ 9 12],[ 9.71428571 18.28571429] ; [ 7.28571429 13.71428571],0
v3,1,0.365515,0.818854,[ 7 20] ; [ 3 17],[ 5.74468085 21.25531915] ; [ 4.25531915 15.74468085],0
p3,1,0.370898,0.800654,[10 18] ; [ 5 16],[ 8.57142857 19.42857143] ; [ 6.42857143 14.57142857],0
u2,1,0.381133,0.767045,[ 5 10] ; [6 6],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
a5,1,0.40704,0.68743,[14 14] ; [ 8 13],[12.57142857 15.42857143] ; [ 9.42857143 11.57142857],0
p7,1,0.422018,0.644689,[16 11] ; [10 11],[14.625 12.375] ; [11.375  9.625],0
v4,1,0.457882,0.551066,[24  3] ; [19  1],[24.70212766  2.29787234] ; [18.29787234  1.70212766],0
s3,1,0.46069,0.544218,[11 17] ; [10 10],[12.25 15.75] ; [ 8.75 11.25],0
s8,1,0.522817,0.408333,[ 9 19] ; [ 5 16],[ 8. 20.] ; [ 6. 15.],0
u3,1,0.54659,0.363462,[8 7] ; [5 7],[7.22222222 7.77777778] ; [5.77777778 6.22222222],0
p4,1,0.559669,0.340278,[13 15] ; [ 8 13],[12. 16.] ; [ 9. 12.],0
d3,1,0.597746,0.278409,[10 18] ; [ 6 15],[ 9.14285714 18.85714286] ; [ 6.85714286 14.14285714],0
n3,1,0.59969,0.275463,[7 1] ; [7 2],[6.58823529 1.41176471] ; [7.41176471 1.58823529],0
r1,1,0.61157,0.257895,[18 10] ; [12  9],[17.14285714 10.85714286] ; [12.85714286  8.14285714],0
p2,1,0.614295,0.253968,[21  6] ; [15  6],[20.25  6.75] ; [15.75  5.25],0
d2,1,0.655378,0.199187,[ 4 24] ; [ 4 17],[ 4.57142857 23.42857143] ; [ 3.42857143 17.57142857],0
r2,1,0.705865,0.142442,[25  3] ; [18  3],[24.57142857  3.42857143] ; [18.42857143  2.57142857],0
a2,1,0.730823,0.118357,[ 2 26] ; [ 1 20],[ 1.71428571 26.28571429] ; [ 1.28571429 19.71428571],0
s1,1,0.730823,0.118357,[ 2 26] ; [ 1 20],[ 1.71428571 26.28571429] ; [ 1.28571429 19.71428571],0
s2,1,0.783602,0.075421,[ 8 19] ; [ 7 14],[ 8.4375 18.5625] ; [ 6.5625 14.4375],0
b1,1,0.801259,0.063362,[11 17] ; [ 9 12],[11.42857143 16.57142857] ; [ 8.57142857 12.42857143],0
a3,1,0.803566,0.061869,[13 15] ; [ 9 12],[12.57142857 15.42857143] ; [ 9.42857143 11.57142857],0
n2,1,0.813945,0.055385,[6 2] ; [7 3],[5.77777778 2.22222222] ; [7.22222222 2.77777778],0
n1,1,0.813945,0.055385,[2 6] ; [3 7],[2.22222222 5.77777778] ; [2.77777778 7.22222222],0
p6,1,0.837848,0.04188,[ 6 22] ; [ 4 17],[ 5.71428571 22.28571429] ; [ 4.28571429 16.71428571],0
b4,1,0.934143,0.006828,[15 13] ; [11 10],[14.85714286 13.14285714] ; [11.14285714  9.85714286],0
p1,1,0.958908,0.002655,[ 4 23] ; [ 3 18],[ 3.9375 23.0625] ; [ 3.0625 17.9375],0
v2,1,0.959315,0.002602,[10 18] ; [ 7 13],[ 9.91666667 18.08333333] ; [ 7.08333333 12.91666667],0
a4,1,1.0,0.0,[ 4 24] ; [ 3 18],[ 4. 24.] ; [ 3. 18.],0
v1,1,1.0,0.0,[ 9 18] ; [ 7 14],[ 9. 18.] ; [ 7. 14.],0
