Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.6e-05,17.698444,[13 29] ; [27  7],[22.10526316 19.89473684] ; [17.89473684 16.10526316],1
p10,1,0.030599,4.675325,[20 20] ; [24  8],[24.44444444 15.55555556] ; [19.55555556 12.44444444],0
p9,1,0.033105,4.540327,[25 15] ; [28  5],[29.04109589 10.95890411] ; [23.95890411  9.04109589],0
p7,1,0.037601,4.322985,[15 26] ; [19 12],[19.36111111 21.63888889] ; [14.63888889 16.36111111],0
a8,1,0.057467,3.609013,[ 1 36] ; [ 5 27],[ 3.2173913 33.7826087] ; [ 2.7826087 29.2173913],0
a3,1,0.079887,3.067205,[27 15] ; [28  6],[30.39473684 11.60526316] ; [24.60526316  9.39473684],0
p4,1,0.084509,2.975977,[13 28] ; [17 16],[16.62162162 24.37837838] ; [13.37837838 19.62162162],0
r2,1,0.100518,2.697303,[34  8] ; [31  2],[36.4  5.6] ; [28.6  4.4],0
p5,1,0.113566,2.503887,[ 1 39] ; [ 4 30],[ 2.7027027 37.2972973] ; [ 2.2972973 31.7027027],0
b1,1,0.121304,2.400401,[21 21] ; [23 11],[24.31578947 17.68421053] ; [19.68421053 14.31578947],0
v2,1,0.125385,2.348726,[19 20] ; [22 11],[22.20833333 16.79166667] ; [18.79166667 14.20833333],0
p1,1,0.147956,2.093194,[ 7 35] ; [ 2 32],[ 4.97368421 37.02631579] ; [ 4.02631579 29.97368421],0
b2,1,0.190137,1.716559,[11 12] ; [ 6 15],[ 8.88636364 14.11363636] ; [ 8.11363636 12.88636364],0
b3,1,0.190137,1.716559,[11 12] ; [ 6 15],[ 8.88636364 14.11363636] ; [ 8.11363636 12.88636364],0
a1,1,0.249753,1.324685,[ 4 38] ; [ 1 33],[ 2.76315789 39.23684211] ; [ 2.23684211 31.76315789],0
p6,1,0.291701,1.111755,[ 8 30] ; [10 21],[ 9.91304348 28.08695652] ; [ 8.08695652 22.91304348],0
p2,1,0.312248,1.021144,[28 13] ; [26  7],[29.91891892 11.08108108] ; [24.08108108  8.91891892],0
d2,1,0.335893,0.926043,[14 28] ; [15 19],[16.02631579 25.97368421] ; [12.97368421 21.02631579],0
b5,1,0.348596,0.878561,[24 18] ; [23 11],[25.97368421 16.02631579] ; [21.02631579 12.97368421],0
d1,1,0.381337,0.766387,[18 24] ; [18 16],[19.89473684 22.10526316] ; [16.10526316 17.89473684],0
n3,1,0.400659,0.706347,[11  6] ; [8 2],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
p8,1,0.402425,0.701067,[14 27] ; [14 18],[15.7260274 25.2739726] ; [12.2739726 19.7260274],0
b4,1,0.406388,0.689342,[25 17] ; [17 17],[23.21052632 18.78947368] ; [18.78947368 15.21052632],0
d5,1,0.424198,0.638655,[30 12] ; [27  7],[31.5 10.5] ; [25.5  8.5],0
