Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.844944,[32  3] ; [15 33],[19.81927711 15.18072289] ; [27.18072289 20.81927711],1
d2,1,0.0,25.598989,[26  9] ; [ 9 39],[14.75903614 20.24096386] ; [20.24096386 27.75903614],1
d5,1,8e-06,19.993891,[34  1] ; [25 23],[24.87951807 10.12048193] ; [34.12048193 13.87951807],1
a4,1,0.001596,9.964366,[19 16] ; [10 38],[12.22891566 22.77108434] ; [16.77108434 31.22891566],0
a2,1,0.001796,9.747583,[10 25] ; [ 2 46],[ 5.06024096 29.93975904] ; [ 6.93975904 41.06024096],0
s6,1,0.008656,6.892487,[18 17] ; [11 36],[12.37804878 22.62195122] ; [16.62195122 30.37804878],0
a3,1,0.012235,6.276466,[25 10] ; [21 27],[19.39759036 15.60240964] ; [26.60240964 21.39759036],0
u1,1,0.014765,5.944266,[ 6 29] ; [ 1 47],[ 2.95180723 32.04819277] ; [ 4.04819277 43.95180723],0
a5,1,0.024999,5.023944,[24 11] ; [21 27],[18.97590361 16.02409639] ; [26.02409639 21.97590361],0
n2,1,0.027001,4.890769,[6 9] ; [14  4],[9.09090909 5.90909091] ; [10.90909091  7.09090909],0
a7,1,0.032191,4.58832,[25 10] ; [23 25],[20.24096386 14.75903614] ; [27.75903614 20.24096386],0
v2,1,0.037082,4.346651,[20 15] ; [16 31],[15.36585366 19.63414634] ; [20.63414634 26.36585366],0
p7,1,0.060785,3.515826,[11 24] ; [25 23],[15.18072289 19.81927711] ; [20.81927711 27.18072289],0
s4,1,0.066073,3.377987,[ 9 26] ; [ 5 43],[ 5.90361446 29.09638554] ; [ 8.09638554 39.90361446],0
n4,1,0.075341,3.162653,[10 25] ; [23 25],[13.91566265 21.08433735] ; [19.08433735 28.91566265],0
u3,1,0.082424,3.016446,[8 2] ; [13 14],[5.67567568 4.32432432] ; [15.32432432 11.67567568],0
p11,1,0.107196,2.595085,[12 23] ; [25 23],[15.60240964 19.39759036] ; [21.39759036 26.60240964],0
n3,1,0.169084,1.891045,[8 7] ; [13  4],[9.84375 5.15625] ; [11.15625  5.84375],0
a6,1,0.27605,1.186434,[21 14] ; [23 25],[18.55421687 16.44578313] ; [25.44578313 22.55421687],0
s3,1,0.304155,1.055889,[11 24] ; [20 27],[13.23170732 21.76829268] ; [17.76829268 29.23170732],0
b1,1,0.328048,0.956589,[22 13] ; [25 23],[19.81927711 15.18072289] ; [27.18072289 20.81927711],0
b5,1,0.366517,0.815439,[21 14] ; [24 24],[18.97590361 16.02409639] ; [26.02409639 21.97590361],0
r4,1,0.443693,0.586714,[22 13] ; [34 14],[23.61445783 11.38554217] ; [32.38554217 15.61445783],0
v1,1,0.443693,0.586714,[13 22] ; [14 34],[11.38554217 23.61445783] ; [15.61445783 32.38554217],0
b2,1,0.472787,0.515455,[ 4 18] ; [ 7 19],[ 5.04166667 16.95833333] ; [ 5.95833333 20.04166667],0
b3,1,0.472787,0.515455,[ 4 18] ; [ 7 19],[ 5.04166667 16.95833333] ; [ 5.95833333 20.04166667],0
n6,1,0.488828,0.479105,[18 17] ; [21 27],[16.44578313 18.55421687] ; [22.55421687 25.44578313],0
v4,1,0.509528,0.435037,[27  8] ; [39  8],[28.17073171  6.82926829] ; [37.82926829  9.17073171],0
u2,1,0.521812,0.41031,[6 4] ; [13 14],[5.13513514 4.86486486] ; [13.86486486 13.13513514],0
p2,1,0.531987,0.390594,[18 17] ; [28 20],[19.39759036 15.60240964] ; [26.60240964 21.39759036],0
p3,1,0.568647,0.324952,[10 24] ; [17 31],[11.19512195 22.80487805] ; [15.80487805 32.19512195],0
n1,1,0.594525,0.283333,[ 4 12] ; [ 6 12],[ 4.70588235 11.29411765] ; [ 5.29411765 12.70588235],0
p6,1,0.607129,0.264377,[ 6 27] ; [11 37],[ 6.92592593 26.07407407] ; [10.07407407 37.92592593],0
p4,1,0.622383,0.242532,[15 20] ; [18 30],[13.91566265 21.08433735] ; [19.08433735 28.91566265],0
v3,1,0.690089,0.158989,[ 8 25] ; [13 33],[ 8.7721519 24.2278481] ; [12.2278481 33.7721519],0
p1,1,0.761616,0.092027,[ 2 33] ; [ 2 45],[ 1.70731707 33.29268293] ; [ 2.29268293 44.70731707],0
r3,1,0.812701,0.056142,[30  5] ; [42  6],[30.36144578  4.63855422] ; [41.63855422  6.36144578],0
b4,1,0.821525,0.050888,[22 13] ; [29 19],[21.5060241 13.4939759] ; [29.4939759 18.5060241],0
s8,1,0.841693,0.039891,[ 5 30] ; [ 6 41],[ 4.69512195 30.30487805] ; [ 6.30487805 40.69512195],0
p10,1,0.850948,0.03531,[ 6 29] ; [ 9 39],[ 6.3253012 28.6746988] ; [ 8.6746988 39.3253012],0
r1,1,0.854862,0.033459,[24 11] ; [32 16],[23.61445783 11.38554217] ; [32.38554217 15.61445783],0
s7,1,0.91211,0.012183,[ 7 23] ; [11 34],[ 7.2 22.8] ; [10.8 34.2],0
s2,1,0.952898,0.003489,[10 25] ; [14 34],[10.12048193 24.87951807] ; [13.87951807 34.12048193],0
s1,1,0.969252,0.001486,[ 3 32] ; [ 4 44],[ 2.95180723 32.04819277] ; [ 4.04819277 43.95180723],0
r2,1,0.978481,0.000728,[27  7] ; [38 10],[26.95121951  7.04878049] ; [38.04878049  9.95121951],0
p8,1,0.98618,0.0003,[11 24] ; [15 33],[10.96385542 24.03614458] ; [15.03614458 32.96385542],0
s5,1,0.988453,0.000209,[ 6 29] ; [ 8 39],[ 5.97560976 29.02439024] ; [ 8.02439024 38.97560976],0
