Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,29.854834,[59 26] ; [ 1 21],[47.6635514 37.3364486] ; [12.3364486  9.6635514],1
d2,1,0.000106,15.029536,[47 38] ; [ 2 20],[38.92523364 46.07476636] ; [10.07476636 11.92523364],1
v2,1,0.000324,12.923615,[48 30] ; [ 4 18],[40.56 37.44] ; [11.44 10.56],1
r2,1,0.002462,9.168417,[81  3] ; [17  5],[77.66037736  6.33962264] ; [20.33962264  1.66037736],0
u3,1,0.003404,8.577369,[25  5] ; [4 7],[21.2195122  8.7804878] ; [7.7804878 3.2195122],0
v4,1,0.004303,8.15114,[82  2] ; [18  4],[79.24528302  4.75471698] ; [20.75471698  1.24528302],0
r3,1,0.006035,7.539747,[84  1] ; [19  3],[81.82242991  3.17757009] ; [21.17757009  0.82242991],0
d4,1,0.006975,7.279325,[77  8] ; [15  7],[73.08411215 11.91588785] ; [18.91588785  3.08411215],0
a4,1,0.009796,6.671615,[37 48] ; [ 3 19],[31.77570093 53.22429907] ; [ 8.22429907 13.77570093],0
s6,1,0.011309,6.416053,[73 11] ; [14  8],[68.94339623 15.05660377] ; [18.05660377  3.94339623],0
p10,1,0.020668,5.354577,[64 17] ; [12 10],[59.76699029 21.23300971] ; [16.23300971  5.76699029],0
s7,1,0.020711,5.350929,[45 34] ; [ 6 15],[40.29 38.71] ; [10.71 10.29],0
a5,1,0.020913,5.334002,[64 21] ; [11 11],[59.57943925 25.42056075] ; [15.42056075  6.57943925],0
b4,1,0.024537,5.056291,[57 28] ; [ 9 13],[52.42990654 32.57009346] ; [13.57009346  8.42990654],0
d3,1,0.0298,4.720816,[66 19] ; [12 10],[61.96261682 23.03738318] ; [16.03738318  5.96261682],0
v1,1,0.032556,4.569001,[39 42] ; [ 5 17],[34.60194175 46.39805825] ; [ 9.39805825 12.60194175],0
a2,1,0.037032,4.348938,[21 64] ; [ 1 21],[17.47663551 67.52336449] ; [ 4.52336449 17.47663551],0
a7,1,0.041295,4.163877,[65 20] ; [12 10],[61.1682243 23.8317757] ; [15.8317757  6.1682243],0
a8,1,0.063422,3.445569,[ 3 75] ; [ 3 17],[ 4.7755102 73.2244898] ; [ 1.2244898 18.7755102],0
s5,1,0.109042,2.568047,[38 41] ; [ 6 15],[34.76 44.24] ; [ 9.24 11.76],0
a3,1,0.123264,2.375347,[54 31] ; [10 12],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
b5,1,0.165691,1.921502,[48 37] ; [16  6],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
r1,1,0.176691,1.825235,[62 22] ; [13  9],[59.43396226 24.56603774] ; [15.56603774  6.43396226],0
b1,1,0.189733,1.719693,[32 53] ; [ 5 17],[29.39252336 55.60747664] ; [ 7.60747664 14.39252336],0
s8,1,0.197679,1.659438,[44 41] ; [ 8 14],[41.30841121 43.69158879] ; [10.69158879 11.30841121],0
v3,1,0.217022,1.523957,[25 54] ; [ 4 18],[22.68316832 56.31683168] ; [ 6.31683168 15.68316832],0
r4,1,0.251296,1.316082,[74 11] ; [17  5],[72.28971963 12.71028037] ; [18.71028037  3.28971963],0
s4,1,0.262801,1.253942,[30 55] ; [ 5 17],[27.80373832 57.19626168] ; [ 7.19626168 14.80373832],0
p9,1,0.286595,1.135549,[64 17] ; [15  7],[62.12621359 18.87378641] ; [16.87378641  5.12621359],0
p2,1,0.302172,1.064583,[62 21] ; [14  8],[60.07619048 22.92380952] ; [15.92380952  6.07619048],0
n4,1,0.315708,1.006645,[33 52] ; [ 6 16],[30.98130841 54.01869159] ; [ 8.01869159 13.98130841],0
n6,1,0.343935,0.89571,[55 29] ; [12 10],[53.09433962 30.90566038] ; [13.90566038  8.09433962],0
p7,1,0.355753,0.852832,[41 40] ; [13  8],[42.88235294 38.11764706] ; [11.11764706  9.88235294],0
p1,1,0.541078,0.373545,[ 7 76] ; [ 1 21],[ 6.32380952 76.67619048] ; [ 1.67619048 20.32380952],0
a6,1,0.625746,0.237874,[55 30] ; [13  9],[54.01869159 30.98130841] ; [13.98130841  8.01869159],0
b2,1,0.63402,0.226648,[11 33] ; [2 9],[10.4 33.6] ; [2.6 8.4],0
b3,1,0.63402,0.226648,[11 33] ; [2 9],[10.4 33.6] ; [2.6 8.4],0
p12,1,0.653706,0.20126,[ 6 77] ; [ 1 21],[ 5.53333333 77.46666667] ; [ 1.46666667 20.53333333],0
s3,1,0.653987,0.20091,[70 15] ; [19  3],[70.70093458 14.29906542] ; [18.29906542  3.70093458],0
n3,1,0.665984,0.186335,[21  6] ; [2 1],[20.7  6.3] ; [2.3 0.7],0
s1,1,0.670886,0.180568,[ 6 79] ; [ 1 21],[ 5.56074766 79.43925234] ; [ 1.43925234 20.56074766],0
p11,1,0.681525,0.168414,[50 35] ; [14  8],[50.8411215 34.1588785] ; [13.1588785  8.8411215],0
p4,1,0.704206,0.144134,[42 42] ; [12 10],[42.79245283 41.20754717] ; [11.20754717 10.79245283],0
p6,1,0.737872,0.112006,[26 58] ; [ 6 16],[25.35849057 58.64150943] ; [ 6.64150943 15.35849057],0
a1,1,0.746701,0.104324,[ 6 79] ; [ 2 20],[ 6.35514019 78.64485981] ; [ 1.64485981 20.35514019],0
p8,1,0.771634,0.084238,[33 50] ; [ 8 14],[32.40952381 50.59047619] ; [ 8.59047619 13.40952381],0
n2,1,0.783131,0.075758,[20  7] ; [2 1],[19.8  7.2] ; [2.2 0.8],0
p3,1,0.791465,0.069912,[37 47] ; [ 9 13],[36.45283019 47.54716981] ; [ 9.54716981 12.45283019],0
u2,1,0.832506,0.044727,[18 12] ; [7 4],[18.29268293 11.70731707] ; [6.70731707 4.29268293],0
p5,1,0.847677,0.036896,[ 3 79] ; [ 1 21],[ 3.15384615 78.84615385] ; [ 0.84615385 21.15384615],0
