Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.008803,6.862395,[33 20] ; [ 4 12],[28.42028986 24.57971014] ; [8.57971014 7.42028986],0
d2,1,0.079899,3.066945,[20 33] ; [10  6],[23.04347826 29.95652174] ; [6.95652174 9.04347826],0
p11,1,0.080312,3.058575,[36 17] ; [7 9],[33.02898551 19.97101449] ; [9.97101449 6.02898551],0
p8,1,0.098734,2.725878,[28 23] ; [ 5 11],[25.11940299 25.88059701] ; [7.88059701 8.11940299],0
s7,1,0.104799,2.630952,[17 34] ; [8 6],[19.61538462 31.38461538] ; [5.38461538 8.61538462],0
p2,1,0.107058,2.597125,[40 12] ; [9 7],[37.47058824 14.52941176] ; [11.52941176  4.47058824],0
s5,1,0.163752,1.93923,[13 38] ; [7 9],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],0
a3,1,0.198347,1.654507,[34 19] ; [13  3],[36.10144928 16.89855072] ; [10.89855072  5.10144928],0
n6,1,0.212842,1.551986,[30 22] ; [12  4],[32.11764706 19.88235294] ; [9.88235294 6.11764706],0
n3,1,0.260452,1.266353,[8 5] ; [6 1],[9.1 3.9] ; [4.9 2.1],0
a7,1,0.292624,1.107508,[43 10] ; [11  5],[41.47826087 11.52173913] ; [12.52173913  3.47826087],0
p10,1,0.324465,0.970862,[32 20] ; [12  4],[33.64705882 18.35294118] ; [10.35294118  5.64705882],0
p4,1,0.32716,0.960105,[23 28] ; [ 5 11],[21.31343284 29.68656716] ; [6.68656716 9.31343284],0
v2,1,0.329842,0.949517,[39 13] ; [10  6],[37.47058824 14.52941176] ; [11.52941176  4.47058824],0
p7,1,0.346276,0.887058,[25 26] ; [10  6],[26.64179104 24.35820896] ; [8.35820896 7.64179104],0
b5,1,0.390169,0.738414,[36 17] ; [9 7],[34.56521739 18.43478261] ; [10.43478261  5.56521739],0
a5,1,0.391706,0.73364,[39 14] ; [10  6],[37.63768116 15.36231884] ; [11.36231884  4.63768116],0
s3,1,0.39962,0.709468,[23 29] ; [9 7],[24.47058824 27.52941176] ; [7.52941176 8.47058824],0
p3,1,0.412172,0.672527,[20 32] ; [8 8],[21.41176471 30.58823529] ; [6.58823529 9.41176471],0
a4,1,0.419776,0.650943,[19 34] ; [ 4 12],[17.66666667 35.33333333] ; [ 5.33333333 10.66666667],0
s6,1,0.429231,0.624904,[30 22] ; [11  5],[31.35294118 20.64705882] ; [9.64705882 6.35294118],0
s2,1,0.461109,0.543201,[21 32] ; [8 8],[22.27536232 30.72463768] ; [6.72463768 9.27536232],0
p6,1,0.477976,0.503477,[11 38] ; [ 5 11],[12.06153846 36.93846154] ; [ 3.93846154 12.06153846],0
b1,1,0.500193,0.454527,[18 35] ; [ 4 12],[16.89855072 36.10144928] ; [ 5.10144928 10.89855072],0
b2,1,0.55336,0.351331,[ 9 17] ; [3 9],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
b3,1,0.55336,0.351331,[ 9 17] ; [3 9],[ 8.21052632 17.78947368] ; [3.78947368 8.21052632],0
d4,1,0.580984,0.304647,[46  7] ; [13  3],[45.31884058  7.68115942] ; [13.68115942  2.31884058],0
n4,1,0.582046,0.302939,[24 29] ; [ 6 10],[23.04347826 29.95652174] ; [6.95652174 9.04347826],0
a6,1,0.582323,0.302494,[37 16] ; [10  6],[36.10144928 16.89855072] ; [10.89855072  5.10144928],0
a2,1,0.667821,0.184162,[ 9 44] ; [ 2 14],[ 8.44927536 44.55072464] ; [ 2.55072464 13.44927536],0
p5,1,0.67812,0.17225,[ 5 47] ; [ 1 15],[ 4.58823529 47.41176471] ; [ 1.41176471 14.58823529],0
p12,1,0.67812,0.17225,[ 5 47] ; [ 1 15],[ 4.58823529 47.41176471] ; [ 1.41176471 14.58823529],0
u3,1,0.718816,0.12963,[10  8] ; [2 1],[10.28571429  7.71428571] ; [1.71428571 1.28571429],0
d3,1,0.740834,0.109395,[41 12] ; [13  3],[41.47826087 11.52173913] ; [12.52173913  3.47826087],0
u2,1,0.799782,0.064327,[14  5] ; [2 1],[13.81818182  5.18181818] ; [2.18181818 0.81818182],0
d5,1,0.84468,0.038381,[41 12] ; [12  4],[40.71014493 12.28985507] ; [12.28985507  3.71014493],0
p9,1,0.85041,0.035568,[36 16] ; [10  5],[35.70149254 16.29850746] ; [10.29850746  4.70149254],0
v4,1,0.860761,0.030767,[49  4] ; [15  1],[49.15942029  3.84057971] ; [14.84057971  1.15942029],0
r3,1,0.860761,0.030767,[49  4] ; [15  1],[49.15942029  3.84057971] ; [14.84057971  1.15942029],0
r2,1,0.860761,0.030767,[49  4] ; [15  1],[49.15942029  3.84057971] ; [14.84057971  1.15942029],0
n2,1,0.887593,0.01998,[7 6] ; [4 3],[7.15 5.85] ; [3.85 3.15],0
u1,1,0.897257,0.016674,[ 6 47] ; [ 2 14],[ 6.14492754 46.85507246] ; [ 1.85507246 14.14492754],0
