Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.663493,[224  74] ; [35 44],[204.72679045  93.27320955] ; [54.27320955 24.72679045],1
p10,1,3.4e-05,17.19027,[231  65] ; [42 35],[216.64343164  79.35656836] ; [56.35656836 20.64343164],1
p11,1,3.7e-05,17.013965,[234  66] ; [44 36],[219.47368421  80.52631579] ; [58.52631579 21.47368421],1
n4,1,4.1e-05,16.804256,[227  72] ; [42 38],[212.21899736  86.78100264] ; [56.78100264 23.21899736],1
p2,1,0.000269,13.275815,[242  58] ; [49 31],[229.73684211  70.26315789] ; [61.26315789 18.73684211],1
r4,1,0.000336,12.85727,[284  16] ; [66 14],[276.31578947  23.68421053] ; [73.68421053  6.31578947],1
v4,1,0.00047,12.231915,[288  11] ; [67 11],[281.55172414  17.44827586] ; [73.44827586  4.55172414],1
p9,1,0.000515,12.061561,[236  59] ; [47 30],[224.42204301  70.57795699] ; [58.57795699 18.42204301],1
s6,1,0.001517,10.057713,[199  96] ; [38 41],[186.93850267 108.06149733] ; [50.06149733 28.93850267],0
s8,1,0.002473,9.160371,[126 172] ; [19 61],[114.31216931 183.68783069] ; [30.68783069 49.31216931],0
p6,1,0.006223,7.484675,[ 79 219] ; [ 9 68],[ 69.93066667 228.06933333] ; [18.06933333 58.93066667],0
s5,1,0.009689,6.69127,[ 89 201] ; [12 64],[ 80.0273224 209.9726776] ; [20.9726776 55.0273224],0
a5,1,0.011229,6.428635,[220  80] ; [47 33],[210.78947368  89.21052632] ; [56.21052632 23.78947368],0
u2,1,0.012625,6.22095,[45 46] ; [22  7],[50.80833333 40.19166667] ; [16.19166667 12.80833333],0
r2,1,0.013528,6.098744,[287  10] ; [72  8],[282.81962865  14.18037135] ; [76.18037135  3.81962865],0
s7,1,0.013902,6.050573,[133 159] ; [22 52],[123.66120219 168.33879781] ; [31.33879781 42.66120219],0
r3,1,0.01966,5.441834,[288  11] ; [71  8],[283.97089947  15.02910053] ; [75.02910053  3.97089947],0
d2,1,0.032278,4.58368,[142 156] ; [27 52],[133.5862069 164.4137931] ; [35.4137931 43.5862069],0
s1,1,0.034203,4.484541,[ 10 283] ; [ 7 70],[ 13.46216216 279.53783784] ; [ 3.53783784 73.46216216],0
p7,1,0.037648,4.320838,[154 134] ; [30 45],[145.98347107 142.01652893] ; [38.01652893 36.98347107],0
s2,1,0.048915,3.878281,[145 150] ; [29 50],[137.2459893 157.7540107] ; [36.7540107 42.2459893],0
p4,1,0.049781,3.848834,[118 178] ; [22 57],[110.50666667 185.49333333] ; [29.49333333 49.50666667],0
v2,1,0.050069,3.839163,[160 126] ; [31 41],[152.58659218 133.41340782] ; [38.41340782 33.58659218],0
u1,1,0.053029,3.743013,[ 48 252] ; [ 6 74],[ 42.63157895 257.36842105] ; [11.36842105 68.63157895],0
d1,1,0.073582,3.201254,[176 124] ; [38 42],[168.94736842 131.05263158] ; [45.05263158 34.94736842],0
a2,1,0.084767,2.971042,[ 72 228] ; [12 68],[ 66.31578947 233.68421053] ; [17.68421053 62.31578947],0
s4,1,0.089795,2.878037,[ 48 246] ; [ 7 73],[ 43.23529412 250.76470588] ; [11.76470588 68.23529412],0
p8,1,0.094787,2.791129,[117 177] ; [23 55],[110.64516129 183.35483871] ; [29.35483871 48.64516129],0
b1,1,0.107088,2.596675,[ 95 205] ; [33 47],[101.05263158 198.94736842] ; [26.94736842 53.05263158],0
v1,1,0.108105,2.58171,[150 146] ; [32 47],[143.65866667 152.34133333] ; [38.34133333 40.65866667],0
v3,1,0.133413,2.252338,[104 187] ; [19 53],[ 98.60330579 192.39669421] ; [24.39669421 47.60330579],0
b2,1,0.137877,2.201492,[ 60 113] ; [ 9 31],[ 56.04225352 116.95774648] ; [12.95774648 27.04225352],0
b3,1,0.137877,2.201492,[ 60 113] ; [ 9 31],[ 56.04225352 116.95774648] ; [12.95774648 27.04225352],0
n3,1,0.163114,1.945115,[57 22] ; [20 14],[53.83185841 25.16814159] ; [23.16814159 10.83185841],0
p1,1,0.217995,1.517522,[ 18 281] ; [ 2 77],[ 15.82010582 283.17989418] ; [ 4.17989418 74.82010582],0
a4,1,0.231532,1.431423,[134 164] ; [30 50],[129.29100529 168.70899471] ; [34.70899471 45.29100529],0
a7,1,0.23974,1.38212,[225  74] ; [55 25],[220.89709763  78.10290237] ; [59.10290237 20.89709763],0
p5,1,0.303922,1.056903,[ 16 283] ; [ 2 76],[ 14.27586207 284.72413793] ; [ 3.72413793 74.27586207],0
b4,1,0.352454,0.864602,[174 126] ; [51 29],[177.63157895 122.36842105] ; [47.36842105 32.63157895],0
p12,1,0.362209,0.83022,[ 15 284] ; [ 2 75],[ 13.51861702 285.48138298] ; [ 3.48138298 73.51861702],0
d3,1,0.426316,0.632838,[215  85] ; [53 26],[212.13720317  87.86279683] ; [55.86279683 23.13720317],0
a3,1,0.427361,0.629986,[207  92] ; [51 28],[204.07936508  94.92063492] ; [53.92063492 25.07936508],0
u3,1,0.465605,0.532387,[52 40] ; [18 10],[53.66666667 38.33333333] ; [16.33333333 11.66666667],0
a1,1,0.607594,0.263694,[  8 292] ; [ 3 77],[  8.68421053 291.31578947] ; [ 2.31578947 77.68421053],0
n2,1,0.631229,0.230398,[59 21] ; [25 11],[57.93103448 22.06896552] ; [26.06896552  9.93103448],0
d4,1,0.652762,0.202436,[248  51] ; [63 15],[246.65517241  52.34482759] ; [64.34482759 13.65517241],0
a6,1,0.713079,0.135221,[204  96] ; [52 27],[202.63852243  97.36147757] ; [53.36147757 25.63852243],0
d5,1,0.730622,0.118541,[237  63] ; [61 18],[235.88390501  64.11609499] ; [62.11609499 16.88390501],0
a8,1,0.737144,0.112653,[ 41 231] ; [10 64],[ 40.09248555 231.90751445] ; [10.90751445 63.09248555],0
n1,1,0.848103,0.036688,[30 49] ; [13 23],[29.53913043 49.46086957] ; [13.46086957 22.53913043],0
s3,1,0.881201,0.022334,[160 132] ; [42 36],[159.41621622 132.58378378] ; [42.58378378 35.41621622],0
b5,1,0.934719,0.006709,[186 114] ; [50 30],[186.31578947 113.68421053] ; [49.68421053 30.31578947],0
u4,1,0.953654,0.003378,[  4 296] ; [ 1 79],[  3.94736842 296.05263158] ; [ 1.05263158 78.94736842],0
