Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.001858,9.684574,[84 21] ; [10 11],[78.33333333 26.66666667] ; [15.66666667  5.33333333],0
n4,1,0.004076,8.249616,[82 23] ; [10 11],[76.66666667 28.33333333] ; [15.33333333  5.66666667],0
b1,1,0.005627,7.666105,[36 69] ; [14  7],[41.66666667 63.33333333] ; [ 8.33333333 12.66666667],0
r4,1,0.006285,7.466667,[94 11] ; [14  7],[90. 15.] ; [18.  3.],0
s4,1,0.007388,7.176192,[14 89] ; [ 8 13],[18.27419355 84.72580645] ; [ 3.72580645 17.27419355],0
a7,1,0.011706,6.354864,[70 34] ; [ 8 13],[64.896 39.104] ; [13.104  7.896],0
u2,1,0.027107,4.883985,[28 27] ; [11  2],[31.54411765 23.45588235] ; [7.45588235 5.54411765],0
u3,1,0.03564,4.414226,[29 26] ; [11  2],[32.35294118 22.64705882] ; [7.64705882 5.35294118],0
p3,1,0.048954,3.876923,[69 36] ; [ 9 12],[65. 40.] ; [13.  8.],0
r2,1,0.074773,3.175001,[94 11] ; [15  5],[91.56 13.44] ; [17.44  2.56],0
v3,1,0.076581,3.136,[41 59] ; [ 4 16],[37.5 62.5] ; [ 7.5 12.5],0
p2,1,0.129513,2.298327,[93 12] ; [16  5],[90.83333333 14.16666667] ; [18.16666667  2.83333333],0
p5,1,0.182487,1.777254,[23 80] ; [ 2 19],[20.76612903 82.23387097] ; [ 4.23387097 16.76612903],0
a8,1,0.22267,1.48708,[14 82] ; [ 1 20],[12.30769231 83.69230769] ; [ 2.69230769 18.30769231],0
d2,1,0.261651,1.26,[27 78] ; [ 3 18],[25. 80.] ; [ 5. 16.],0
r3,1,0.266913,1.232544,[100   4] ; [19  2],[99.008  4.992] ; [19.992  1.008],0
r1,1,0.268961,1.222037,[73 32] ; [12  9],[70.83333333 34.16666667] ; [14.16666667  6.83333333],0
p10,1,0.272238,1.205437,[81 23] ; [14  7],[79.04 24.96] ; [15.96  5.04],0
n2,1,0.301611,1.067058,[13  7] ; [6 1],[14.07407407  5.92592593] ; [4.92592593 2.07407407],0
p6,1,0.33433,0.932054,[45 59] ; [11  9],[46.96774194 57.03225806] ; [ 9.03225806 10.96774194],0
n1,1,0.377822,0.777778,[ 8 13] ; [4 3],[ 9. 12.] ; [3. 4.],0
p9,1,0.394709,0.724385,[83 21] ; [15  6],[81.536 22.464] ; [16.464  4.536],0
a1,1,0.433048,0.614634,[  2 103] ; [ 1 20],[  2.5 102.5] ; [ 0.5 20.5],0
a3,1,0.449042,0.573068,[49 55] ; [ 8 13],[47.424 56.576] ; [ 9.576 11.424],0
p7,1,0.481172,0.496206,[69 34] ; [15  5],[70.34146341 32.65853659] ; [13.65853659  6.34146341],0
n3,1,0.48338,0.491228,[15  6] ; [4 3],[14.25  6.75] ; [4.75 2.25],0
b5,1,0.567269,0.327273,[63 42] ; [14  7],[64.16666667 40.83333333] ; [12.83333333  8.16666667],0
v1,1,0.577944,0.30957,[52 51] ; [12  9],[53.16129032 49.83870968] ; [10.83870968 10.16129032],0
d5,1,0.596701,0.28,[74 31] ; [16  5],[75. 30.] ; [15.  6.],0
d3,1,0.622544,0.242308,[66 39] ; [12  9],[65. 40.] ; [13.  8.],0
b4,1,0.629063,0.233333,[61 44] ; [11 10],[60. 45.] ; [12.  9.],0
v2,1,0.674699,0.176154,[46 56] ; [ 8 12],[45.14754098 56.85245902] ; [ 8.85245902 11.14754098],0
d1,1,0.680402,0.169674,[40 65] ; [ 7 14],[39.16666667 65.83333333] ; [ 7.83333333 13.16666667],0
b2,1,0.704831,0.143495,[13 43] ; [ 3 13],[12.44444444 43.55555556] ; [ 3.55555556 12.44444444],0
b3,1,0.704831,0.143495,[13 43] ; [ 3 13],[12.44444444 43.55555556] ; [ 3.55555556 12.44444444],0
s2,1,0.71891,0.12954,[50 54] ; [11 10],[50.752 53.248] ; [10.248 10.752],0
d4,1,0.728413,0.120574,[74 31] ; [14  7],[73.33333333 31.66666667] ; [14.66666667  6.33333333],0
s5,1,0.751577,0.100211,[28 72] ; [ 6 13],[28.57142857 71.42857143] ; [ 5.42857143 13.57142857],0
p11,1,0.78574,0.0739,[78 27] ; [15  6],[77.5 27.5] ; [15.5  5.5],0
p1,1,0.799846,0.064286,[12 93] ; [ 2 19],[11.66666667 93.33333333] ; [ 2.33333333 18.66666667],0
s3,1,0.803886,0.061664,[57 46] ; [11 10],[56.48387097 46.51612903] ; [11.51612903  9.48387097],0
s8,1,0.807615,0.059294,[42 63] ; [ 9 12],[42.5 62.5] ; [ 8.5 12.5],0
s7,1,0.843313,0.039068,[46 51] ; [ 9 11],[45.5982906 51.4017094] ; [ 9.4017094 10.5982906],0
a4,1,0.843907,0.038769,[22 83] ; [ 4 17],[21.66666667 83.33333333] ; [ 4.33333333 16.66666667],0
a6,1,0.872985,0.025558,[57 48] ; [11 10],[56.66666667 48.33333333] ; [11.33333333  9.66666667],0
p8,1,0.898039,0.016419,[61 43] ; [12  9],[60.736 43.264] ; [12.264  8.736],0
s1,1,0.97072,0.001347,[ 5 99] ; [ 1 19],[ 5.03225806 98.96774194] ; [ 0.96774194 19.03225806],0
s6,1,0.977079,0.000825,[69 34] ; [14  7],[68.94354839 34.05645161] ; [14.05645161  6.94354839],0
