Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,67.801324,[190  71] ; [32 84],[153.69230769 107.30769231] ; [68.30769231 47.69230769],1
p6,1,0.0,31.707588,[150 110] ; [29 83],[125.10752688 134.89247312] ; [53.89247312 58.10752688],1
p2,1,0.0,28.716892,[241  20] ; [83 33],[224.30769231  36.69230769] ; [99.69230769 16.30769231],1
p8,1,3.5e-05,17.09892,[168  92] ; [47 66],[149.86595174 110.13404826] ; [65.13404826 47.86595174],1
p7,1,4.2e-05,16.767589,[198  60] ; [61 49],[181.58152174  76.41847826] ; [77.41847826 32.58152174],1
d3,1,4.3e-05,16.721529,[205  57] ; [67 49],[188.52910053  73.47089947] ; [83.47089947 32.52910053],1
p5,1,0.000334,12.869539,[ 57 201] ; [  8 108],[ 44.83957219 213.16042781] ; [20.16042781 95.83957219],1
n5,1,0.002062,9.49372,[233  29] ; [89 27],[223.18518519  38.81481481] ; [98.81481481 17.18518519],0
v1,1,0.004488,8.074985,[159  96] ; [52 60],[146.60762943 108.39237057] ; [64.39237057 47.60762943],0
v4,1,0.014112,6.024135,[257   5] ; [108   8],[252.98941799   9.01058201] ; [112.01058201   3.98941799],0
p9,1,0.019548,5.451774,[241  21] ; [94 18],[234.67914439  27.32085561] ; [100.32085561  11.67914439],0
d1,1,0.021279,5.303792,[179  83] ; [65 51],[169.12169312  92.87830688] ; [74.87830688 41.12169312],0
p12,1,0.060573,3.521625,[ 33 228] ; [  7 107],[ 27.84 233.16] ; [ 12.16 101.84],0
s5,1,0.061909,3.485492,[121 128] ; [43 70],[112.80662983 136.19337017] ; [51.19337017 61.80662983],0
s2,1,0.067251,3.34887,[197  64] ; [77 39],[189.69230769  71.30769231] ; [84.30769231 31.69230769],0
d4,1,0.088898,2.894214,[227  34] ; [93 23],[221.53846154  39.46153846] ; [98.46153846 17.53846154],0
a5,1,0.094243,2.80036,[216  46] ; [87 29],[210.01587302  51.98412698] ; [92.98412698 23.01587302],0
