Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,110.287818,[ 42 177] ; [183  92],[ 99.74696356 119.25303644] ; [125.25303644 149.74696356],1
p8,1,0.0,47.227326,[ 67 150] ; [169 103],[104.72801636 112.27198364] ; [131.27198364 140.72801636],1
p6,1,0.0,43.731003,[ 34 182] ; [120 155],[ 67.74745418 148.25254582] ; [ 86.25254582 188.74745418],1
p2,1,0.0,30.340398,[155  64] ; [247  27],[178.57606491  40.42393509] ; [223.42393509  50.57606491],1
p7,1,0.0,28.830999,[ 97 118] ; [189  84],[126.00409836  88.99590164] ; [159.99590164 113.00409836],1
v1,1,2.9e-05,17.470117,[ 84 130] ; [156 111],[106.77754678 107.22245322] ; [133.22245322 133.77754678],1
p10,1,0.000201,13.824583,[154  64] ; [230  42],[170.84081633  47.15918367] ; [213.15918367  58.84081633],1
s7,1,0.000584,11.82735,[ 70 142] ; [128 135],[ 88.37052632 123.62947368] ; [109.62947368 153.37052632],1
p5,1,0.000601,11.773953,[  4 215] ; [ 25 248],[ 12.90853659 206.09146341] ; [ 16.09146341 256.90853659],1
n4,1,0.000961,10.90115,[159  61] ; [233  43],[173.87096774  46.12903226] ; [218.12903226  57.87096774],1
s8,1,0.001282,10.368243,[ 65 155] ; [120 155],[ 82.22222222 137.77777778] ; [102.77777778 172.22222222],0
n5,1,0.001347,10.276819,[156  63] ; [229  46],[170.67813765  48.32186235] ; [214.32186235  60.67813765],0
s6,1,0.001671,9.880193,[108 110] ; [175 100],[125.13995943  92.86004057] ; [157.86004057 117.13995943],0
d2,1,0.002027,9.525329,[ 83 136] ; [143 133],[ 99.98787879 119.01212121] ; [126.01212121 149.98787879],0
p9,1,0.003198,8.690902,[162  52] ; [236  38],[174.53278689  39.46721311] ; [223.46721311  50.53278689],0
p12,1,0.003827,8.363939,[  5 213] ; [ 23 252],[ 12.38133874 205.61866126] ; [ 15.61866126 259.38133874],0
a5,1,0.005459,7.720704,[137  83] ; [204  72],[151.25  68.75] ; [189.75  86.25],0
