Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,67.942123,[97 34] ; [ 70 168],[59.28726287 71.71273713] ; [107.71273713 130.28726287],1
p7,1,0.000848,11.132907,[70 61] ; [ 83 151],[54.91232877 76.08767123] ; [ 98.08767123 135.91232877],1
d5,1,0.001137,10.589525,[117  14] ; [179  59],[105.08401084  25.91598916] ; [190.91598916  47.08401084],0
v1,1,0.001922,9.622702,[69 53] ; [ 92 142],[55.1741573 66.8258427] ; [105.8258427 128.1741573],0
b1,1,0.002381,9.229521,[62 69] ; [ 75 164],[48.50540541 82.49459459] ; [ 88.49459459 150.50540541],0
s7,1,0.002929,8.851478,[68 55] ; [ 90 142],[54.74366197 68.25633803] ; [103.25633803 128.74366197],0
n4,1,0.004323,8.142927,[110  21] ; [168  70],[98.69376694 32.30623306] ; [179.30623306  58.69376694],0
n5,1,0.004708,7.988447,[108  23] ; [164  74],[96.56368564 34.43631436] ; [175.43631436  62.56368564],0
n3,1,0.004942,7.900617,[23  1] ; [55 27],[17.66037736  6.33962264] ; [60.33962264 21.66037736],0
v3,1,0.006327,7.454664,[56 69] ; [ 70 161],[44.24157303 80.75842697] ; [ 81.75842697 149.24157303],0
u1,1,0.007736,7.093567,[36 95] ; [ 38 201],[ 26.2 104.8] ; [ 47.8 191.2],0
p5,1,0.008149,7.000406,[ 12 116] ; [  7 231],[  6.64480874 121.35519126] ; [ 12.35519126 225.64480874],0
p10,1,0.017417,5.653836,[107  23] ; [167  68],[97.5890411 32.4109589] ; [176.4109589  58.5890411],0
p6,1,0.024022,5.093045,[40 90] ; [ 48 189],[31.17166213 98.82833787] ; [ 56.82833787 180.17166213],0
p2,1,0.02693,4.895273,[103  28] ; [162  77],[93.82432432 37.17567568] ; [171.17567568  67.82432432],0
s8,1,0.032047,4.595995,[60 71] ; [ 82 156],[50.41192412 80.58807588] ; [ 91.58807588 146.41192412],0
s6,1,0.032185,4.588608,[93 37] ; [143  94],[83.59673025 46.40326975] ; [152.40326975  84.59673025],0
a3,1,0.038163,4.297723,[100  31] ; [157  81],[91.23848238 39.76151762] ; [165.76151762  72.23848238],0
p9,1,0.04334,4.082091,[109  21] ; [174  59],[101.34986226  28.65013774] ; [181.65013774  51.34986226],0
s2,1,0.046446,3.965357,[72 57] ; [106 130],[62.90958904 66.09041096] ; [115.09041096 120.90958904],0
p1,1,0.093954,2.805288,[ 11 120] ; [ 10 229],[  7.43513514 123.56486486] ; [ 13.56486486 225.43513514],0
s5,1,0.104727,2.632035,[44 82] ; [ 62 170],[37.30726257 88.69273743] ; [ 68.69273743 163.30726257],0
v2,1,0.130816,2.282795,[73 53] ; [113 115],[66.20338983 59.79661017] ; [119.79661017 108.20338983],0
a5,1,0.131985,2.268996,[95 36] ; [155  84],[88.51351351 42.48648649] ; [161.48648649  77.51351351],0
r4,1,0.139247,2.186261,[117  14] ; [200  39],[112.23513514  18.76486486] ; [204.76486486  34.23513514],0
v4,1,0.227052,1.459235,[124   7] ; [217  21],[121.0596206   9.9403794] ; [219.9403794  18.0596206],0
a4,1,0.231109,1.434024,[66 65] ; [104 133],[60.51630435 70.48369565] ; [109.48369565 127.51630435],0
r3,1,0.245288,1.349945,[126   5] ; [221  16],[123.52445652   7.47554348] ; [223.47554348  13.52445652],0
s1,1,0.245429,1.349135,[  7 122] ; [  7 228],[  4.96153846 124.03846154] ; [  9.03846154 225.96153846],0
a2,1,0.265523,1.239732,[37 94] ; [ 55 184],[32.57297297 98.42702703] ; [ 59.42702703 179.57297297],0
p11,1,0.278547,1.174167,[99 32] ; [168  71],[94.53243243 36.46756757] ; [172.46756757  66.53243243],0
s3,1,0.29349,1.10354,[73 56] ; [120 116],[68.2109589 60.7890411] ; [124.7890411 111.2109589],0
n2,1,0.303004,1.060927,[19  5] ; [56 26],[16.98113208  7.01886792] ; [58.01886792 23.98113208],0
a7,1,0.318608,0.99465,[95 36] ; [160  77],[90.77445652 40.22554348] ; [164.22554348  72.77445652],0
a1,1,0.351813,0.866908,[  7 124] ; [  8 231],[  5.31081081 125.68918919] ; [  9.68918919 229.31081081],0
s4,1,0.352931,0.862891,[ 19 110] ; [ 44 193],[ 22.20491803 106.79508197] ; [ 40.79508197 196.20491803],0
u3,1,0.369508,0.805319,[19 12] ; [42 39],[16.88392857 14.11607143] ; [44.11607143 36.88392857],0
d1,1,0.402612,0.70051,[75 56] ; [126 113],[71.16486486 59.83513514] ; [129.83513514 109.16486486],0
r2,1,0.406877,0.687908,[123   8] ; [215  20],[120.97814208  10.02185792] ; [217.02185792  17.97814208],0
a6,1,0.418143,0.655527,[92 39] ; [158  81],[88.51351351 42.48648649] ; [161.48648649  77.51351351],0
p12,1,0.4622,0.540561,[  9 122] ; [ 12 227],[  7.43513514 123.56486486] ; [ 13.56486486 225.43513514],0
d3,1,0.504711,0.445016,[83 48] ; [159  79],[85.91327913 45.08672087] ; [156.08672087  81.91327913],0
b2,1,0.517635,0.418602,[37 51] ; [54 89],[34.66666667 53.33333333] ; [56.33333333 86.66666667],0
b3,1,0.517635,0.418602,[37 51] ; [54 89],[34.66666667 53.33333333] ; [56.33333333 86.66666667],0
n1,1,0.573449,0.316946,[10 14] ; [29 53],[ 8.83018868 15.16981132] ; [30.16981132 51.83018868],0
a8,1,0.619532,0.246525,[ 12 104] ; [ 27 195],[ 13.38461538 102.61538462] ; [ 25.61538462 196.38461538],0
b4,1,0.664213,0.188446,[77 54] ; [146  93],[78.95405405 52.04594595] ; [144.04594595  94.95405405],0
d4,1,0.672929,0.178195,[101  30] ; [188  50],[102.59891599  28.40108401] ; [186.40108401  51.59891599],0
u4,1,0.67725,0.173238,[  3 128] ; [  4 235],[  2.47837838 128.52162162] ; [  4.52162162 234.47837838],0
b5,1,0.702729,0.145649,[87 44] ; [154  85],[85.32702703 45.67297297] ; [155.67297297  83.32702703],0
d2,1,0.708667,0.139612,[66 64] ; [115 121],[64.28961749 65.71038251] ; [116.71038251 119.28961749],0
r1,1,0.830443,0.045853,[98 32] ; [177  61],[97.14673913 32.85326087] ; [177.85326087  60.14673913],0
u2,1,1.0,0.0,[15 15] ; [40 40],[15. 15.] ; [40. 40.],0
