Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1e-06,23.616843,[89 17] ; [144 108],[68.98882682 37.01117318] ; [164.01117318  87.98882682],1
s2,1,3e-06,21.93431,[71 34] ; [101 149],[50.87323944 54.12676056] ; [121.12676056 128.87323944],1
s4,1,0.000298,13.084496,[29 74] ; [ 31 221],[17.4084507 85.5915493] ; [ 42.5915493 209.4084507],1
s7,1,0.000612,11.739319,[59 42] ; [ 93 150],[44.62790698 56.37209302] ; [107.37209302 135.62790698],1
p1,1,0.002109,9.452202,[12 94] ; [  8 245],[  5.90529248 100.09470752] ; [ 14.09470752 238.90529248],0
a2,1,0.004069,8.252967,[37 69] ; [ 52 201],[26.27855153 79.72144847] ; [ 62.72144847 190.27855153],0
s3,1,0.004834,7.940602,[66 37] ; [120 132],[53.96619718 49.03380282] ; [132.03380282 119.96619718],0
d4,1,0.005476,7.715163,[92 13] ; [188  65],[82.12290503 22.87709497] ; [197.87709497  55.12290503],0
d2,1,0.005627,7.666011,[63 41] ; [112 140],[51.12359551 52.87640449] ; [123.87640449 128.12359551],0
p5,1,0.006055,7.533787,[11 95] ; [  8 241],[  5.67323944 100.32676056] ; [ 13.32676056 235.67323944],0
a3,1,0.00693,7.291062,[84 21] ; [166  87],[73.32402235 31.67597765] ; [176.67597765  76.32402235],0
p4,1,0.007387,7.176428,[59 46] ; [103 150],[47.51396648 57.48603352] ; [114.48603352 138.51396648],0
a4,1,0.009151,6.793209,[59 47] ; [102 149],[47.80392157 58.19607843] ; [113.19607843 137.80392157],0
a5,1,0.011213,6.43131,[82 24] ; [161  92],[71.74930362 34.25069638] ; [171.25069638  81.74930362],0
s8,1,0.012557,6.230405,[50 56] ; [ 84 169],[39.56545961 66.43454039] ; [ 94.43454039 158.56545961],0
p10,1,0.033989,4.495264,[86 18] ; [180  70],[78.14689266 25.85310734] ; [187.85310734  62.14689266],0
p6,1,0.038743,4.272115,[32 73] ; [ 51 200],[24.48033708 80.51966292] ; [ 58.51966292 192.48033708],0
r4,1,0.065405,3.394741,[96 10] ; [210  43],[90.35097493 15.64902507] ; [215.64902507  37.35097493],0
s1,1,0.078897,3.087485,[ 7 96] ; [  7 244],[ 4.07344633 98.92655367] ; [  9.92655367 241.07344633],0
u1,1,0.079543,3.074221,[27 79] ; [ 44 209],[20.9637883 85.0362117] ; [ 50.0362117 202.9637883],0
p12,1,0.079792,3.06914,[ 9 97] ; [ 10 243],[  5.61002786 100.38997214] ; [ 13.38997214 239.61002786],0
d5,1,0.080377,3.057271,[91 15] ; [196  56],[84.97765363 21.02234637] ; [202.02234637  49.97765363],0
p3,1,0.104727,2.632035,[44 62] ; [ 82 170],[37.30726257 68.69273743] ; [ 88.69273743 163.30726257],0
v4,1,0.10484,2.630336,[101   4] ; [231  22],[97.37430168  7.62569832] ; [234.62569832  18.37430168],0
r1,1,0.112874,2.513518,[85 20] ; [184  68],[79.11764706 25.88235294] ; [189.88235294  62.11764706],0
d1,1,0.118808,2.432971,[64 42] ; [130 123],[57.28133705 48.71866295] ; [136.71866295 116.28133705],0
p9,1,0.134779,2.236576,[86 18] ; [187  61],[80.65909091 23.34090909] ; [192.34090909  55.65909091],0
r2,1,0.159484,1.979115,[100   5] ; [228  23],[96.74157303  8.25842697] ; [231.25842697  19.74157303],0
d3,1,0.186501,1.745047,[75 31] ; [160  92],[69.58100559 36.41899441] ; [165.41899441  86.58100559],0
a8,1,0.208754,1.580044,[ 7 86] ; [ 29 206],[10.20731707 82.79268293] ; [ 25.79268293 209.20731707],0
p2,1,0.234353,1.414245,[81 25] ; [177  75],[76.39106145 29.60893855] ; [181.60893855  70.39106145],0
n1,1,0.239719,1.382243,[12 14] ; [26 52],[ 9.5 16.5] ; [28.5 49.5],0
p11,1,0.248256,1.33309,[72 34] ; [187  66],[76.4735376 29.5264624] ; [182.5264624  70.4735376],0
n2,1,0.263438,1.250601,[21  6] ; [51 26],[18.69230769  8.30769231] ; [53.30769231 23.69230769],0
b4,1,0.272441,1.204417,[69 37] ; [149 104],[64.36768802 41.63231198] ; [153.63231198  99.36768802],0
p7,1,0.273807,1.197576,[49 55] ; [102 148],[44.36158192 59.63841808] ; [106.63841808 143.36158192],0
u3,1,0.341648,0.904237,[14  8] ; [45 41],[12.01851852  9.98148148] ; [46.98148148 39.01851852],0
v1,1,0.463679,0.536999,[50 54] ; [106 136],[46.89017341 57.10982659] ; [109.10982659 132.89017341],0
n3,1,0.522175,0.409595,[21  6] ; [55 22],[19.73076923  7.26923077] ; [56.26923077 20.73076923],0
v3,1,0.537509,0.380177,[34 69] ; [ 89 155],[36.51008646 66.48991354] ; [ 86.48991354 157.51008646],0
r3,1,0.561391,0.337302,[100   5] ; [236  16],[98.82352941  6.17647059] ; [237.17647059  14.82352941],0
a7,1,0.571913,0.319493,[71 34] ; [178  74],[73.23529412 31.76470588] ; [175.76470588  76.23529412],0
a1,1,0.8041,0.061526,[  4 102] ; [ 11 242],[  4.42896936 101.57103064] ; [ 10.57103064 242.42896936],0
b2,1,0.809454,0.058144,[24 40] ; [62 96],[24.79279279 39.20720721] ; [61.20720721 96.79279279],0
b3,1,0.809454,0.058144,[24 40] ; [62 96],[24.79279279 39.20720721] ; [61.20720721 96.79279279],0
n4,1,0.871735,0.026068,[78 27] ; [190  63],[78.60335196 26.39664804] ; [189.39664804  63.60335196],0
u2,1,0.883007,0.021656,[10 11] ; [42 43],[10.30188679 10.69811321] ; [41.69811321 43.30188679],0
v2,1,0.888326,0.019719,[53 50] ; [126 115],[53.59593023 49.40406977] ; [125.40406977 115.59593023],0
b5,1,0.903431,0.01472,[68 38] ; [164  89],[68.50139276 37.49860724] ; [163.49860724  89.50139276],0
a6,1,0.950545,0.003847,[72 34] ; [171  82],[71.74930362 34.25069638] ; [171.25069638  81.74930362],0
u4,1,0.955389,0.003129,[  2 104] ; [  5 248],[  2.06685237 103.93314763] ; [  4.93314763 248.06685237],0
n5,1,0.96483,0.001944,[78 28] ; [186  66],[78.16759777 27.83240223] ; [185.83240223  66.16759777],0
b1,1,0.9952,3.6e-05,[39 67] ; [ 93 160],[38.97493036 67.02506964] ; [ 93.02506964 159.97493036],0
