Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.6e-05,18.665106,[37 63] ; [335 221],[56.70731707 43.29268293] ; [315.29268293 240.70731707],1
p10,1,0.000107,15.003026,[83 17] ; [528  33],[92.43570348  7.56429652] ; [518.56429652  42.43570348],1
r3,1,0.007418,7.168879,[92  8] ; [546  15],[96.5204236  3.4795764] ; [541.4795764  19.5204236],0
b1,1,0.010853,6.489215,[45 56] ; [178 386],[33.86917293 67.13082707] ; [189.13082707 374.86917293],0
p3,1,0.015977,5.805411,[43 57] ; [316 248],[54.06626506 45.93373494] ; [304.93373494 259.06626506],0
u2,1,0.025425,4.994717,[11 21] ; [82 64],[16.71910112 15.28089888] ; [76.28089888 69.71910112],0
b5,1,0.030032,4.707459,[70 31] ; [326 238],[60.1443609 40.8556391] ; [335.8556391 228.1443609],0
v1,1,0.031205,4.641668,[47 53] ; [320 226],[56.81114551 43.18885449] ; [310.18885449 235.81114551],0
p12,1,0.034996,4.445384,[ 4 97] ; [ 60 501],[ 9.76435045 91.23564955] ; [ 54.23564955 506.76435045],0
p7,1,0.03718,4.342144,[57 42] ; [377 175],[66. 33.] ; [368. 184.],0
v3,1,0.067285,3.348048,[33 67] ; [232 310],[41.27725857 58.72274143] ; [223.72274143 318.27725857],0
p2,1,0.074569,3.179472,[82 18] ; [496  65],[87.44326778 12.55673222] ; [490.55673222  70.44326778],0
b3,1,0.079016,3.085019,[14 35] ; [148 207],[19.64851485 29.35148515] ; [142.35148515 212.64851485],0
b2,1,0.079016,3.085019,[14 35] ; [148 207],[19.64851485 29.35148515] ; [142.35148515 212.64851485],0
a6,1,0.093451,2.813892,[62 39] ; [393 170],[69.20933735 31.79066265] ; [385.79066265 177.20933735],0
n5,1,0.119308,2.426383,[77 24] ; [465  97],[82.56711916 18.43288084] ; [459.43288084 102.56711916],0
s2,1,0.126361,2.336653,[61 40] ; [291 267],[53.94840668 47.05159332] ; [298.05159332 259.94840668],0
s1,1,0.126428,2.335826,[ 5 94] ; [ 13 545],[ 2.71232877 96.28767123] ; [ 15.28767123 542.71232877],0
s4,1,0.142683,2.148788,[23 78] ; [ 93 463],[17.8325723 83.1674277] ; [ 98.1674277 457.8325723],0
d2,1,0.150527,2.066907,[57 44] ; [274 289],[50.34789157 50.65210843] ; [280.65210843 282.34789157],0
n1,1,0.15979,1.976215,[16 18] ; [35 69],[12.56521739 21.43478261] ; [38.43478261 65.56521739],0
n4,1,0.164672,1.930792,[77 23] ; [467  97],[81.92771084 18.07228916] ; [462.07228916 101.92771084],0
a1,1,0.165128,1.926627,[ 2 99] ; [ 29 535],[ 4.70827068 96.29172932] ; [ 26.29172932 537.70827068],0
d4,1,0.166467,1.914476,[79 22] ; [472  91],[83.81174699 17.18825301] ; [467.18825301  95.81174699],0
v2,1,0.199183,1.648353,[52 47] ; [321 219],[57.78873239 41.21126761] ; [315.21126761 224.78873239],0
p5,1,0.21469,1.539514,[10 90] ; [ 82 477],[13.96054628 86.03945372] ; [ 78.03945372 480.96054628],0
s7,1,0.21893,1.511373,[55 39] ; [281 263],[49.50470219 44.49529781] ; [286.49529781 257.50470219],0
p4,1,0.278327,1.175241,[59 41] ; [364 199],[63.80090498 36.19909502] ; [359.19909502 203.80090498],0
a3,1,0.31449,1.011724,[68 30] ; [418 145],[72.05446293 25.94553707] ; [413.94553707 149.05446293],0
s5,1,0.332945,0.93741,[40 56] ; [197 343],[35.77358491 60.22641509] ; [201.22641509 338.77358491],0
r2,1,0.388288,0.744297,[96  3] ; [529  28],[94.32164634  4.67835366] ; [530.67835366  26.32164634],0
s6,1,0.393076,0.729406,[73 25] ; [387 164],[69.46070878 28.53929122] ; [390.53929122 160.46070878],0
r4,1,0.397536,0.715767,[91 10] ; [522  42],[93.10225564  7.89774436] ; [519.89774436  44.10225564],0
a4,1,0.428938,0.625698,[51 49] ; [263 300],[47.36048265 52.63951735] ; [266.63951735 296.36048265],0
v4,1,0.441136,0.593326,[96  5] ; [541  19],[97.33282905  3.66717095] ; [539.66717095  20.33282905],0
s3,1,0.505308,0.443771,[60 39] ; [317 239],[56.98167939 42.01832061] ; [320.01832061 235.98167939],0
s8,1,0.512859,0.428229,[52 49] ; [269 292],[48.97432024 52.02567976] ; [272.02567976 288.97432024],0
a5,1,0.583523,0.300573,[75 26] ; [433 131],[77.15488722 23.84511278] ; [430.84511278 133.15488722],0
u3,1,0.595024,0.282567,[16 16] ; [80 65],[17.3559322 14.6440678] ; [78.6440678 66.3559322],0
n3,1,0.613498,0.255113,[25 10] ; [78 25],[26.12318841  8.87681159] ; [76.87681159 26.12318841],0
n2,1,0.634822,0.225578,[27  8] ; [76 28],[25.9352518  9.0647482] ; [77.0647482 26.9352518],0
u1,1,0.669115,0.182639,[21 80] ; [107 457],[19.4406015 81.5593985] ; [108.5593985 455.4406015],0
d1,1,0.763572,0.090477,[60 41] ; [344 220],[61.3593985 39.6406015] ; [342.6406015 221.3593985],0
r1,1,0.773306,0.082975,[79 21] ; [451 111],[80.06042296 19.93957704] ; [449.93957704 112.06042296],0
p1,1,0.840987,0.040253,[10 91] ; [ 52 509],[ 9.4592145 91.5407855] ; [ 52.5407855 508.4592145],0
