Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.008594,6.905258,[60 38] ; [ 5 13],[54.9137931 43.0862069] ; [10.0862069  7.9137931],0
s6,1,0.011526,6.382394,[44 53] ; [14  4],[48.92173913 48.07826087] ; [9.07826087 8.92173913],0
r3,1,0.064216,3.425013,[86 11] ; [13  5],[83.50434783 13.49565217] ; [15.49565217  2.50434783],0
p10,1,0.080997,3.044779,[30 66] ; [ 2 16],[26.94736842 69.05263158] ; [ 5.05263158 12.94736842],0
r4,1,0.111577,2.531746,[77 21] ; [11  7],[74.34482759 23.65517241] ; [13.65517241  4.34482759],0
n4,1,0.12486,2.355271,[72 26] ; [10  8],[69.27586207 28.72413793] ; [12.72413793  5.27586207],0
p11,1,0.130698,2.284199,[57 41] ; [ 7 11],[54.06896552 43.93103448] ; [9.93103448 8.06896552],0
p7,1,0.180586,1.792797,[48 47] ; [ 6 12],[45.39823009 49.60176991] ; [8.60176991 9.39823009],0
u3,1,0.183759,1.766961,[20 25] ; [5 2],[21.63461538 23.36538462] ; [3.36538462 3.63461538],0
b3,1,0.193954,1.687325,[20 42] ; [1 8],[18.33802817 43.66197183] ; [2.66197183 6.33802817],0
b2,1,0.193954,1.687325,[20 42] ; [1 8],[18.33802817 43.66197183] ; [2.66197183 6.33802817],0
s7,1,0.214412,1.541382,[30 65] ; [8 9],[32.23214286 62.76785714] ; [ 5.76785714 11.23214286],0
v3,1,0.223126,1.484154,[36 61] ; [ 4 14],[33.73913043 63.26086957] ; [ 6.26086957 11.73913043],0
p3,1,0.224968,1.472396,[29 68] ; [ 8 10],[31.20869565 65.79130435] ; [ 5.79130435 12.20869565],0
r1,1,0.243095,1.362555,[73 25] ; [11  7],[70.96551724 27.03448276] ; [13.03448276  4.96551724],0
d4,1,0.254129,1.300458,[72 25] ; [11  7],[70.00869565 26.99130435] ; [12.99130435  5.00869565],0
s2,1,0.262201,1.257096,[32 65] ; [8 9],[34.03508772 62.96491228] ; [ 5.96491228 11.03508772],0
b5,1,0.2624,1.25605,[57 41] ; [13  5],[59.13793103 38.86206897] ; [10.86206897  7.13793103],0
s3,1,0.272737,1.202929,[38 60] ; [9 8],[40.05217391 57.94782609] ; [ 6.94782609 10.05217391],0
p4,1,0.275834,1.1875,[40 56] ; [10  8],[42.10526316 53.89473684] ; [ 7.89473684 10.10526316],0
a1,1,0.325084,0.968382,[ 5 93] ; [ 2 16],[ 5.9137931 92.0862069] ; [ 1.0862069 16.9137931],0
v2,1,0.326715,0.961875,[44 52] ; [ 6 12],[42.10526316 53.89473684] ; [ 7.89473684 10.10526316],0
b1,1,0.360615,0.835752,[55 43] ; [ 8 10],[53.22413793 44.77586207] ; [9.77586207 8.22413793],0
b4,1,0.41819,0.655396,[61 37] ; [13  5],[62.51724138 35.48275862] ; [11.48275862  6.51724138],0
u2,1,0.437613,0.602535,[19 24] ; [2 5],[18.06 24.94] ; [2.94 4.06],0
a7,1,0.447576,0.576784,[61 36] ; [13  5],[62.4173913 34.5826087] ; [11.5826087  6.4173913],0
s1,1,0.450623,0.569084,[ 6 91] ; [ 2 16],[ 6.74782609 90.25217391] ; [ 1.25217391 16.74782609],0
d1,1,0.478263,0.502822,[47 51] ; [ 7 11],[45.62068966 52.37931034] ; [8.37931034 9.62068966],0
n5,1,0.568066,0.32593,[64 34] ; [13  5],[65.05172414 32.94827586] ; [11.94827586  6.05172414],0
a2,1,0.574308,0.315527,[16 82] ; [ 2 16],[15.20689655 82.79310345] ; [ 2.79310345 15.20689655],0
a3,1,0.581496,0.303822,[53 45] ; [11  7],[54.06896552 43.93103448] ; [9.93103448 8.06896552],0
n2,1,0.587042,0.294987,[21  8] ; [5 3],[20.37837838  8.62162162] ; [5.62162162 2.37837838],0
p1,1,0.614199,0.254105,[ 9 89] ; [ 1 17],[ 8.44827586 89.55172414] ; [ 1.55172414 16.44827586],0
p6,1,0.686044,0.163402,[20 76] ; [ 3 15],[19.36842105 76.63157895] ; [ 3.63157895 14.36842105],0
a5,1,0.689594,0.159525,[54 44] ; [9 9],[53.22413793 44.77586207] ; [9.77586207 8.22413793],0
s8,1,0.750016,0.101517,[25 72] ; [ 4 14],[24.46086957 72.53913043] ; [ 4.53913043 13.46086957],0
p2,1,0.754063,0.098149,[56 42] ; [11  7],[56.60344828 41.39655172] ; [10.39655172  7.60344828],0
v1,1,0.782557,0.076169,[36 62] ; [ 6 12],[35.48275862 62.51724138] ; [ 6.51724138 11.48275862],0
s5,1,0.785965,0.073742,[20 77] ; [ 4 13],[20.42105263 76.57894737] ; [ 3.57894737 13.42105263],0
d5,1,0.809703,0.057989,[68 30] ; [13  5],[68.43103448 29.56896552] ; [12.56896552  5.43103448],0
n1,1,0.84316,0.039146,[12 17] ; [3 5],[11.75675676 17.24324324] ; [3.24324324 4.75675676],0
d2,1,0.849524,0.035996,[45 51] ; [ 8 10],[44.63157895 51.36842105] ; [8.36842105 9.63157895],0
u1,1,0.883499,0.021473,[15 83] ; [ 3 15],[15.20689655 82.79310345] ; [ 2.79310345 15.20689655],0
p8,1,0.886848,0.020248,[31 67] ; [ 6 12],[31.25862069 66.74137931] ; [ 5.74137931 12.25862069],0
d3,1,0.90053,0.015623,[56 42] ; [10  8],[55.75862069 42.24137931] ; [10.24137931  7.75862069],0
r2,1,0.97751,0.000795,[86 11] ; [16  2],[86.03478261 10.96521739] ; [15.96521739  2.03478261],0
n3,1,0.982244,0.000495,[18 11] ; [5 3],[18.02702703 10.97297297] ; [4.97297297 3.02702703],0
v4,1,0.988817,0.000196,[87 11] ; [16  2],[87.01724138 10.98275862] ; [15.98275862  2.01724138],0
a4,1,1.0,0.0,[32 64] ; [ 6 12],[32. 64.] ; [ 6. 12.],0
