Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,114.736491,[376   6] ; [14 12],[365.14705882  16.85294118] ; [24.85294118  1.14705882],1
r1,1,0.0,62.982027,[331  53] ; [ 8 21],[315.19612591  68.80387409] ; [23.80387409  5.19612591],1
r3,1,0.0,51.7634,[374  10] ; [19  9],[366.29126214  17.70873786] ; [26.70873786  1.29126214],1
s6,1,4e-06,21.190008,[272  99] ; [ 9 19],[261.28070175 109.71929825] ; [19.71929825  8.28070175],1
v4,1,5.1e-05,16.400095,[378   7] ; [23  4],[374.72087379  10.27912621] ; [26.27912621  0.72087379],1
p9,1,0.000562,11.897979,[351  31] ; [21  8],[345.75182482  36.24817518] ; [26.24817518  2.75182482],1
d1,1,0.000641,11.653567,[249 136] ; [10 20],[240.27710843 144.72289157] ; [18.72289157 11.27710843],1
s3,1,0.001236,10.435911,[226 155] ; [ 7 19],[218.11547912 162.88452088] ; [14.88452088 11.11547912],0
n4,1,0.001562,10.004095,[328  56] ; [19 11],[321.85507246  62.14492754] ; [25.14492754  4.85507246],0
v1,1,0.001979,9.568834,[235 145] ; [ 9 19],[227.25490196 152.74509804] ; [16.74509804 11.25490196],0
s5,1,0.002358,9.24736,[154 215] ; [ 3 23],[146.66582278 222.33417722] ; [10.33417722 15.66582278],0
d5,1,0.003395,8.582264,[315  69] ; [18 12],[308.86956522  75.13043478] ; [24.13043478  5.86956522],0
a5,1,0.00566,7.655404,[303  82] ; [17 13],[296.86746988  88.13253012] ; [23.13253012  6.86746988],0
p2,1,0.006864,7.308181,[358  26] ; [23  6],[354.24697337  29.75302663] ; [26.75302663  2.24697337],0
p7,1,0.007235,7.213681,[318  63] ; [17 10],[312.83088235  68.16911765] ; [22.16911765  4.83088235],0
a3,1,0.021195,5.31071,[279 103] ; [16 14],[273.51941748 108.48058252] ; [21.48058252  8.51941748],0
d4,1,0.025394,4.996835,[328  56] ; [21  9],[323.71014493  60.28985507] ; [25.28985507  4.71014493],0
d3,1,0.028459,4.800057,[278 107] ; [16 14],[272.74698795 112.25301205] ; [21.25301205  8.74698795],0
s8,1,0.032977,4.546971,[197 185] ; [ 9 20],[191.46472019 190.53527981] ; [14.53527981 14.46472019],0
s2,1,0.034825,4.453725,[208 175] ; [ 9 18],[202.7097561 180.2902439] ; [14.2902439 12.7097561],0
v2,1,0.053349,3.732948,[224 151] ; [12 17],[219.05940594 155.94059406] ; [16.94059406 12.05940594],0
a7,1,0.071552,3.247059,[288  96] ; [18 12],[283.82608696 100.17391304] ; [22.17391304  7.82608696],0
n5,1,0.076921,3.128794,[326  58] ; [21  8],[322.63438257  61.36561743] ; [24.36561743  4.63438257],0
v3,1,0.084405,2.977979,[171 206] ; [ 8 20],[166.62469136 210.37530864] ; [12.37530864 15.62469136],0
p6,1,0.085442,2.958227,[195 187] ; [10 19],[190.53527981 191.46472019] ; [14.46472019 14.53527981],0
n3,1,0.085972,2.948223,[42 15] ; [7 7],[39.33802817 17.66197183] ; [9.66197183 4.33802817],0
p11,1,0.090911,2.858172,[337  48] ; [23  7],[333.97590361  51.02409639] ; [26.02409639  3.97590361],0
a4,1,0.119218,2.427559,[171 212] ; [ 9 21],[166.92493947 216.07506053] ; [13.07506053 16.92493947],0
a6,1,0.146986,2.103258,[255 129] ; [16 14],[251.36231884 132.63768116] ; [19.63768116 10.36231884],0
d2,1,0.155399,2.018433,[193 192] ; [11 19],[189.25301205 195.74698795] ; [14.74698795 15.25301205],0
b3,1,0.162053,1.954966,[ 90 142] ; [ 4 14],[ 87.232 144.768] ; [ 6.768 11.232],0
b2,1,0.162053,1.954966,[ 90 142] ; [ 4 14],[ 87.232 144.768] ; [ 6.768 11.232],0
p10,1,0.198932,1.650196,[342  42] ; [21  5],[339.9804878  44.0195122] ; [23.0195122  2.9804878],0
s7,1,0.202069,1.627354,[203 164] ; [12 16],[199.75949367 167.24050633] ; [15.24050633 12.75949367],0
s1,1,0.2028,1.622095,[ 10 373] ; [ 2 28],[ 11.1283293 371.8716707] ; [ 0.8716707 29.1283293],0
u2,1,0.2286,1.449549,[56 50] ; [5 9],[53.88333333 52.11666667] ; [7.11666667 6.88333333],0
p4,1,0.259602,1.27088,[288  96] ; [19 10],[285.44309927  98.55690073] ; [21.55690073  7.44309927],0
u3,1,0.296933,1.087918,[57 49] ; [5 8],[55.22689076 50.77310924] ; [6.77310924 6.22689076],0
s4,1,0.304196,1.05571,[ 63 315] ; [ 7 22],[ 65.01228501 312.98771499] ; [ 4.98771499 24.01228501],0
n1,1,0.353197,0.861939,[24 33] ; [ 4 10],[22.47887324 34.52112676] ; [5.52112676 8.47887324],0
p3,1,0.384264,0.757017,[248 136] ; [17 13],[245.79710145 138.20289855] ; [19.20289855 10.79710145],0
b1,1,0.428579,0.626671,[139 246] ; [13 17],[141.01204819 243.98795181] ; [10.98795181 19.01204819],0
p12,1,0.47099,0.519651,[ 43 340] ; [ 2 27],[ 41.83252427 341.16747573] ; [ 3.16747573 25.83252427],0
u1,1,0.524894,0.404268,[ 69 316] ; [ 4 26],[ 67.72289157 317.27710843] ; [ 5.27710843 24.72289157],0
b4,1,0.624248,0.239943,[223 162] ; [16 14],[221.72289157 163.27710843] ; [17.27710843 12.72289157],0
a1,1,0.728924,0.120102,[ 20 365] ; [ 2 28],[ 20.40963855 364.59036145] ; [ 1.59036145 28.40963855],0
a2,1,0.766547,0.088146,[ 86 299] ; [ 6 24],[ 85.34939759 299.65060241] ; [ 6.65060241 23.34939759],0
p1,1,0.810421,0.057544,[ 47 336] ; [ 4 25],[ 47.41019417 335.58980583] ; [ 3.58980583 25.41019417],0
p5,1,0.819296,0.05219,[ 73 312] ; [ 6 23],[ 73.46618357 311.53381643] ; [ 5.53381643 23.46618357],0
b5,1,0.876043,0.024332,[211 174] ; [16 14],[210.59036145 174.40963855] ; [16.40963855 13.59036145],0
n2,1,0.936568,0.006334,[45 13] ; [11  3],[45.11111111 12.88888889] ; [10.88888889  3.11111111],0
