Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,272.299945,[ 64 233] ; [288  43],[166.47133758 130.52866242] ; [185.52866242 145.47133758],1
s6,1,0.0,124.285954,[144 150] ; [293  33],[207.22258065  86.77741935] ; [229.77741935  96.22258065],1
s7,1,0.0,123.369418,[ 81 207] ; [233  85],[149.22772277 138.77227723] ; [164.77227723 153.22772277],1
s8,1,0.0,106.265832,[ 76 222] ; [221 111],[140.48571429 157.51428571] ; [156.51428571 175.48571429],1
s5,1,0.0,62.211577,[ 60 233] ; [162 154],[106.80788177 186.19211823] ; [115.19211823 200.80788177],1
s4,1,1.9e-05,18.319276,[ 30 267] ; [ 75 252],[ 49.97596154 247.02403846] ; [ 55.02403846 271.97596154],1
p6,1,0.000359,12.733792,[ 92 204] ; [148 181],[113.664 182.336] ; [126.336 202.664],1
p12,1,0.000583,11.82988,[ 12 286] ; [ 38 294],[ 23.65079365 274.34920635] ; [ 26.34920635 305.65079365],1
u1,1,0.00065,11.627951,[ 49 251] ; [ 92 241],[ 66.82464455 233.17535545] ; [ 74.17535545 258.82464455],1
p4,1,0.001424,10.174511,[168 130] ; [228 104],[187.31428571 110.68571429] ; [208.68571429 123.31428571],0
u4,1,0.002861,8.894321,[  2 298] ; [ 15 318],[  8.05687204 291.94312796] ; [  8.94312796 324.05687204],0
r2,1,0.003778,8.387629,[272  20] ; [324   7],[279.34510433  12.65489567] ; [316.65489567  14.34510433],0
a2,1,0.004028,8.271038,[ 65 235] ; [106 227],[ 81.04265403 218.95734597] ; [ 89.95734597 243.04265403],0
d2,1,0.004157,8.213915,[146 151] ; [201 131],[163.84578696 133.15421304] ; [183.15421304 148.84578696],0
a3,1,0.005239,7.794938,[212  87] ; [267  65],[226.97464342  72.02535658] ; [252.02535658  79.97464342],0
p9,1,0.005463,7.719385,[245  50] ; [297  31],[256.64526485  38.35473515] ; [285.35473515  42.64526485],0
s1,1,0.007956,7.043452,[  3 295] ; [ 15 315],[  8.54140127 289.45859873] ; [  9.45859873 320.54140127],0
d1,1,0.009528,6.720993,[200 100] ; [253  80],[214.69194313  85.30805687] ; [238.30805687  94.69194313],0
a4,1,0.013161,6.14735,[137 161] ; [186 147],[152.54199683 145.45800317] ; [170.45800317 162.54199683],0
p10,1,0.013769,6.067459,[239  57] ; [290  40],[250.1341853  45.8658147] ; [278.8658147  51.1341853],0
v1,1,0.015244,5.888004,[148 146] ; [194 129],[162.96272285 131.03727715] ; [179.03727715 143.96272285],0
r4,1,0.016582,5.74005,[266  34] ; [313  20],[274.40758294  25.59241706] ; [304.59241706  28.40758294],0
n4,1,0.023462,5.133975,[237  63] ; [285  47],[247.78481013  52.21518987] ; [274.21518987  57.78481013],0
r1,1,0.028988,4.768354,[231  67] ; [280  52],[241.71111111  56.28888889] ; [269.28888889  62.71111111],0
p3,1,0.034088,4.490264,[145 154] ; [189 143],[158.26624406 140.73375594] ; [175.73375594 156.26624406],0
v3,1,0.04023,4.208152,[110 184] ; [145 173],[122.5 171.5] ; [132.5 185.5],0
v4,1,0.040276,4.206202,[281  18] ; [323   9],[286.20602219  12.79397781] ; [317.79397781  14.20602219],0
p5,1,0.057528,3.607251,[ 28 271] ; [ 47 282],[ 35.70859873 263.29140127] ; [ 39.29140127 289.70859873],0
n5,1,0.058132,3.589892,[231  67] ; [278  55],[240.38351823  57.61648177] ; [268.61648177  64.38351823],0
a1,1,0.060524,3.522973,[ 10 290] ; [ 22 311],[ 15.16587678 284.83412322] ; [ 16.83412322 316.16587678],0
r3,1,0.089557,2.882315,[283  16] ; [323   9],[287.15372425  11.84627575] ; [318.84627575  13.15372425],0
p7,1,0.106178,2.61021,[182 113] ; [218 103],[191.55844156 103.44155844] ; [208.44155844 112.55844156],0
a5,1,0.118735,2.433928,[227  73] ; [269  64],[235.07109005  64.92890995] ; [260.92890995  72.07109005],0
b1,1,0.15099,2.062219,[ 98 202] ; [127 206],[106.63507109 193.36492891] ; [118.36492891 214.63507109],0
a6,1,0.157349,1.999519,[211  89] ; [216 116],[202.68987342  97.31012658] ; [224.31012658 107.68987342],0
v2,1,0.171323,1.871331,[162 130] ; [195 125],[170.33333333 121.66666667] ; [186.66666667 133.33333333],0
n2,1,0.224454,1.475665,[48 23] ; [53 16],[51.22142857 19.77857143] ; [49.77857143 19.22142857],0
p1,1,0.250997,1.317748,[ 19 280] ; [ 29 301],[ 22.81717011 276.18282989] ; [ 25.18282989 304.81717011],0
p2,1,0.265593,1.23937,[248  50] ; [286  45],[252.99205087  45.00794913] ; [281.00794913  49.99205087],0
u3,1,0.315562,1.007252,[47 40] ; [41 25],[50.03921569 36.96078431] ; [37.96078431 28.03921569],0
n1,1,0.407368,0.68647,[25 46] ; [29 40],[27.38571429 43.61428571] ; [26.61428571 42.38571429],0
d4,1,0.469668,0.522758,[265  34] ; [301  32],[267.77531646  31.22468354] ; [298.22468354  34.77531646],0
a8,1,0.511705,0.430579,[ 36 228] ; [ 48 260],[ 38.76923077 225.23076923] ; [ 45.23076923 262.76923077],0
u2,1,0.626248,0.237184,[44 43] ; [36 30],[45.49019608 41.50980392] ; [34.50980392 31.49019608],0
p8,1,0.71655,0.131823,[153 141] ; [176 153],[155.25842697 138.74157303] ; [173.74157303 155.25842697],0
b3,1,0.751969,0.099884,[ 69 111] ; [ 83 125],[ 70.51546392 109.48453608] ; [ 81.48453608 126.51546392],0
b2,1,0.751969,0.099884,[ 69 111] ; [ 83 125],[ 70.51546392 109.48453608] ; [ 81.48453608 126.51546392],0
n3,1,0.848004,0.036736,[51 19] ; [52 18],[51.5 18.5] ; [51.5 18.5],0
b5,1,0.876203,0.024269,[182 118] ; [200 133],[181.04265403 118.95734597] ; [200.95734597 132.04265403],0
p11,1,0.87762,0.023712,[242  58] ; [267  66],[241.23222749  58.76777251] ; [267.76777251  65.23222749],0
d3,1,0.879258,0.023077,[225  75] ; [248  85],[224.17061611  75.82938389] ; [248.82938389  84.17061611],0
b4,1,0.967562,0.001654,[177 123] ; [197 136],[177.25118483 122.74881517] ; [196.74881517 136.25118483],0
a7,1,0.973164,0.001132,[221  78] ; [245  87],[220.81458003  78.18541997] ; [245.18541997  86.81458003],0
