Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,106.611313,[199  96] ; [ 4 83],[156.76701571 138.23298429] ; [46.23298429 40.76701571],1
d4,1,0.0,72.295584,[260  34] ; [40 47],[231.49606299  62.50393701] ; [68.50393701 18.49606299],1
a5,1,0.0,33.244262,[217  78] ; [35 52],[194.60732984 100.39267016] ; [57.39267016 29.60732984],1
d3,1,0.0,28.127678,[213  82] ; [36 51],[192.29057592 102.70942408] ; [56.70942408 30.29057592],1
a4,1,2e-06,22.982888,[133 161] ; [14 71],[114.03166227 179.96833773] ; [32.96833773 52.03166227],1
a3,1,6e-06,20.528013,[192 103] ; [32 53],[173.89473684 121.10526316] ; [50.10526316 34.89473684],1
d2,1,1.3e-05,18.967593,[140 151] ; [19 68],[122.4047619 168.5952381] ; [36.5952381 50.4047619],1
p2,1,1.4e-05,18.90946,[247  45] ; [55 32],[232.67546174  59.32453826] ; [69.32453826 17.67546174],1
a7,1,1.8e-05,18.342229,[227  66] ; [47 40],[211.26842105  81.73157895] ; [62.73157895 24.26842105],1
p10,1,0.000118,14.831555,[239  53] ; [52 32],[225.9893617  66.0106383] ; [65.0106383 18.9893617],1
a2,1,0.000371,12.673021,[ 62 233] ; [ 4 83],[ 50.96858639 244.03141361] ; [15.03141361 71.96858639],1
u1,1,0.000465,12.250871,[ 44 251] ; [ 1 86],[ 34.7513089 260.2486911] ; [10.2486911 76.7513089],1
r2,1,0.002491,9.147471,[271  17] ; [73 14],[264.192  23.808] ; [79.808  7.192],0
n5,1,0.004254,8.172226,[223  70] ; [52 34],[212.59894459  80.40105541] ; [62.40105541 23.59894459],0
p9,1,0.005258,7.788636,[242  49] ; [59 26],[232.95478723  58.04521277] ; [68.04521277 16.95478723],0
r1,1,0.006696,7.352869,[224  68] ; [54 33],[214.18469657  77.81530343] ; [63.81530343 23.18469657],0
p7,1,0.008508,6.923314,[174 115] ; [38 48],[163.38133333 125.61866667] ; [48.61866667 37.38133333],0
u3,1,0.013875,6.053922,[57 45] ; [19 35],[49.69230769 52.30769231] ; [26.30769231 27.69230769],0
r4,1,0.016762,5.721115,[263  32] ; [69 18],[256.38743455  38.61256545] ; [75.61256545 11.38743455],0
p4,1,0.019245,5.479141,[156 137] ; [33 52],[146.5 146.5] ; [42.5 42.5],0
n4,1,0.03247,4.573507,[223  72] ; [55 31],[215.24934383  79.75065617] ; [62.75065617 23.24934383],0
r3,1,0.032516,4.571067,[278  15] ; [76 10],[273.67282322  19.32717678] ; [80.32717678  5.67282322],0
s1,1,0.039548,4.237184,[  2 291] ; [ 3 80],[  3.8962766 289.1037234] ; [ 1.1037234 81.8962766],0
p3,1,0.042281,4.123935,[127 167] ; [27 60],[118.83464567 175.16535433] ; [35.16535433 51.83464567],0
