Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.465986,[345  21] ; [6 7],[338.96042216  27.03957784] ; [12.03957784  0.96042216],1
r2,1,0.0,36.339162,[355   8] ; [8 4],[351.384  11.616] ; [11.616  0.384],1
p2,1,0.000685,11.530831,[318  47] ; [7 6],[313.82275132  51.17724868] ; [11.17724868  1.82275132],1
s2,1,0.004716,7.985194,[270  95] ; [5 8],[265.54232804  99.45767196] ; [9.45767196 3.54232804],0
p9,1,0.008166,6.996791,[328  35] ; [8 4],[325.248  37.752] ; [10.752  1.248],0
s6,1,0.01262,6.221648,[307  54] ; [7 5],[303.89812332  57.10187668] ; [10.10187668  1.89812332],0
p4,1,0.014112,6.024135,[257 108] ; [5 8],[252.98941799 112.01058201] ; [9.01058201 3.98941799],0
n5,1,0.014327,5.99744,[315  51] ; [8 5],[311.92084433  54.07915567] ; [11.07915567  1.92084433],0
r1,1,0.018597,5.539037,[312  53] ; [8 5],[308.99470899  56.00529101] ; [11.00529101  1.99470899],0
r3,1,0.031524,4.624225,[353  13] ; [11  2],[351.51451187  14.48548813] ; [12.48548813  0.51451187],0
p8,1,0.04595,3.983422,[211 149] ; [4 9],[207.50670241 152.49329759] ; [7.49329759 5.50670241],0
s8,1,0.046455,3.965019,[261 103] ; [6 7],[257.79310345 106.20689655] ; [9.20689655 3.79310345],0
n4,1,0.051764,3.783378,[320  45] ; [9 4],[317.68518519  47.31481481] ; [11.31481481  1.68518519],0
a7,1,0.053926,3.714994,[260 106] ; [6 7],[256.87598945 109.12401055] ; [9.12401055 3.87598945],0
n2,1,0.061948,3.484444,[58 17] ; [2 3],[56.25 18.75] ; [3.75 1.25],0
b1,1,0.078844,3.088572,[137 229] ; [8 5],[140.02638522 225.97361478] ; [4.97361478 8.02638522],0
s3,1,0.082659,3.011825,[273  90] ; [7 6],[270.31914894  92.68085106] ; [9.68085106 3.31914894],0
u1,1,0.119661,2.421753,[ 99 267] ; [ 1 12],[ 96.56992084 269.43007916] ; [3.43007916 9.56992084],0
a4,1,0.131343,2.276558,[190 175] ; [4 9],[187.32804233 177.67195767] ; [6.67195767 6.32804233],0
b4,1,0.134781,2.23655,[205 161] ; [10  3],[207.62532982 158.37467018] ; [7.37467018 5.62532982],0
d3,1,0.137132,2.209847,[266 100] ; [7 6],[263.63588391 102.36411609] ; [9.36411609 3.63588391],0
a6,1,0.15163,2.055779,[239 126] ; [6 7],[236.57407407 128.42592593] ; [8.42592593 4.57407407],0
d1,1,0.155891,2.013635,[239 127] ; [6 7],[236.59630607 129.40369393] ; [8.40369393 4.59630607],0
a8,1,0.203409,1.617727,[ 56 272] ; [4 9],[ 57.71260997 270.28739003] ; [ 2.28739003 10.71260997],0
p6,1,0.205871,1.600225,[175 185] ; [4 9],[172.7613941 187.2386059] ; [6.2386059 6.7613941],0
a2,1,0.254622,1.297766,[110 256] ; [ 2 11],[108.15831135 257.84168865] ; [3.84168865 9.15831135],0
p10,1,0.290592,1.116879,[316  47] ; [10  3],[314.7287234  48.2712766] ; [11.2712766  1.7287234],0
p3,1,0.348606,0.878527,[216 149] ; [6 7],[214.36507937 150.63492063] ; [7.63492063 5.36507937],0
s4,1,0.361219,0.833652,[ 74 290] ; [4 9],[ 75.31034483 288.68965517] ; [ 2.68965517 10.31034483],0
s5,1,0.391131,0.735423,[161 190] ; [4 8],[159.54545455 191.45454545] ; [5.45454545 6.54545455],0
d4,1,0.412198,0.672451,[311  54] ; [10  3],[309.96031746  55.03968254] ; [11.03968254  1.96031746],0
p7,1,0.477139,0.505395,[251 104] ; [8 5],[249.85054348 105.14945652] ; [9.14945652 3.85054348],0
v3,1,0.478943,0.50127,[172 183] ; [5 8],[170.74728261 184.25271739] ; [6.25271739 6.74728261],0
b2,1,0.488407,0.480033,[113 147] ; [4 8],[111.83823529 148.16176471] ; [5.16176471 6.83823529],0
b3,1,0.488407,0.480033,[113 147] ; [4 8],[111.83823529 148.16176471] ; [5.16176471 6.83823529],0
d5,1,0.527961,0.398314,[305  60] ; [10  3],[304.16666667  60.83333333] ; [10.83333333  2.16666667],0
v1,1,0.587631,0.294059,[206 150] ; [6 6],[205.08695652 150.91304348] ; [6.91304348 5.08695652],0
p1,1,0.592333,0.286716,[ 39 326] ; [ 2 11],[ 39.58994709 325.41005291] ; [ 1.41005291 11.58994709],0
v2,1,0.653688,0.201282,[215 143] ; [7 6],[214.22102426 143.77897574] ; [7.77897574 5.22102426],0
s1,1,0.660417,0.193017,[ 18 344] ; [ 1 12],[ 18.34133333 343.65866667] ; [ 0.65866667 12.34133333],0
p11,1,0.682959,0.166814,[298  68] ; [10  3],[297.4353562  68.5646438] ; [10.5646438  2.4353562],0
n1,1,0.686013,0.163435,[37 38] ; [2 3],[36.5625 38.4375] ; [2.4375 2.5625],0
p12,1,0.725876,0.122932,[ 39 324] ; [ 1 12],[ 38.61702128 324.38297872] ; [ 1.38297872 11.61702128],0
a5,1,0.762043,0.091687,[294  72] ; [10  3],[293.57255937  72.42744063] ; [10.42744063  2.57255937],0
d2,1,0.800354,0.063953,[210 156] ; [7 6],[209.55672823 156.44327177] ; [7.44327177 5.55672823],0
b5,1,0.810215,0.057671,[213 153] ; [8 5],[213.41952507 152.58047493] ; [7.58047493 5.41952507],0
n3,1,0.810243,0.057654,[52 23] ; [3 1],[52.21518987 22.78481013] ; [2.78481013 1.21518987],0
p5,1,0.850156,0.03569,[ 63 299] ; [ 2 11],[ 62.74666667 299.25333333] ; [ 2.25333333 10.74666667],0
