Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.5e-05,17.134387,[20  7] ; [ 2 16],[13.2 13.8] ; [8.8 9.2],1
p11,1,0.001615,9.942094,[21  7] ; [ 5 13],[15.82608696 12.17391304] ; [10.17391304  7.82608696],0
p2,1,0.003925,8.31802,[19  9] ; [ 4 13],[14.31111111 13.68888889] ; [8.68888889 8.31111111],0
n5,1,0.005093,7.846004,[21  7] ; [ 6 12],[16.43478261 11.56521739] ; [10.56521739  7.43478261],0
r3,1,0.008858,6.851165,[25  3] ; [10  8],[21.30434783  6.69565217] ; [13.69565217  4.30434783],0
p9,1,0.023343,5.142815,[19  7] ; [ 7 11],[15.36363636 10.63636364] ; [10.63636364  7.36363636],0
p8,1,0.065064,3.403361,[ 8 20] ; [ 1 16],[ 5.6 22.4] ; [ 3.4 13.6],0
s6,1,0.08609,2.946001,[14 12] ; [ 5 13],[11.22727273 14.77272727] ; [ 7.77272727 10.22727273],0
s2,1,0.089258,2.887701,[ 9 18] ; [ 2 16],[ 6.6 20.4] ; [ 4.4 13.6],0
p7,1,0.103704,2.64764,[11 17] ; [ 3 15],[ 8.52173913 19.47826087] ; [ 5.47826087 12.52173913],0
a4,1,0.112776,2.514881,[10 17] ; [11  7],[12.6 14.4] ; [8.4 9.6],0
p1,1,0.123965,2.366497,[ 1 27] ; [ 3 15],[ 2.43478261 25.56521739] ; [ 1.56521739 16.43478261],0
b1,1,0.1352,2.231752,[14 14] ; [13  5],[16.43478261 11.56521739] ; [10.56521739  7.43478261],0
r4,1,0.1352,2.231752,[14 14] ; [ 5 13],[11.56521739 16.43478261] ; [ 7.43478261 10.56521739],0
a2,1,0.136189,2.220499,[ 3 25] ; [ 5 13],[ 4.86956522 23.13043478] ; [ 3.13043478 14.86956522],0
s4,1,0.138319,2.196561,[ 2 26] ; [ 4 14],[ 3.65217391 24.34782609] ; [ 2.34782609 15.65217391],0
s3,1,0.143406,2.141021,[14 13] ; [ 5 12],[11.65909091 15.34090909] ; [7.34090909 9.65909091],0
p4,1,0.151547,2.056614,[12 16] ; [ 4 14],[ 9.73913043 18.26086957] ; [ 6.26086957 11.73913043],0
s7,1,0.153763,2.034512,[10 15] ; [ 3 13],[ 7.92682927 17.07317073] ; [ 5.07317073 10.92682927],0
n3,1,0.197703,1.659259,[5 1] ; [4 4],[3.85714286 2.14285714] ; [5.14285714 2.85714286],0
a8,1,0.201095,1.634405,[ 7 19] ; [ 2 16],[ 5.31818182 20.68181818] ; [ 3.68181818 14.31818182],0
a3,1,0.243365,1.360994,[19  9] ; [15  3],[20.69565217  7.30434783] ; [13.30434783  4.69565217],0
d2,1,0.258595,1.276261,[15 12] ; [13  5],[16.8 10.2] ; [11.2  6.8],0
p6,1,0.281862,1.158088,[ 7 21] ; [ 2 15],[ 5.6 22.4] ; [ 3.4 13.6],0
p3,1,0.331755,0.942035,[10 18] ; [ 4 14],[ 8.52173913 19.47826087] ; [ 5.47826087 12.52173913],0
b4,1,0.369507,0.805322,[22  6] ; [12  6],[20.69565217  7.30434783] ; [13.30434783  4.69565217],0
n4,1,0.369507,0.805322,[22  6] ; [12  6],[20.69565217  7.30434783] ; [13.30434783  4.69565217],0
d1,1,0.378677,0.774993,[15 13] ; [12  6],[16.43478261 11.56521739] ; [10.56521739  7.43478261],0
v2,1,0.400098,0.708033,[16 12] ; [ 8 10],[14.60869565 13.39130435] ; [9.39130435 8.60869565],0
v3,1,0.408383,0.683503,[ 8 20] ; [ 3 14],[ 6.84444444 21.15555556] ; [ 4.15555556 12.84444444],0
a5,1,0.465819,0.531876,[19  9] ; [14  4],[20.08695652  7.91304348] ; [12.91304348  5.08695652],0
a7,1,0.518321,0.417234,[16 12] ; [12  6],[17.04347826 10.95652174] ; [10.95652174  7.04347826],0
d4,1,0.534158,0.386476,[23  5] ; [16  2],[23.73913043  4.26086957] ; [15.26086957  2.73913043],0
p5,1,0.544506,0.367252,[ 3 25] ; [ 1 17],[ 2.43478261 25.56521739] ; [ 1.56521739 16.43478261],0
b5,1,0.635026,0.225306,[16 12] ; [9 9],[15.2173913 12.7826087] ; [9.7826087 8.2173913],0
r1,1,0.712774,0.135522,[14 14] ; [ 8 10],[13.39130435 14.60869565] ; [8.60869565 9.39130435],0
r2,1,0.721817,0.126758,[17  9] ; [12  5],[17.53488372  8.46511628] ; [11.46511628  5.53488372],0
s5,1,0.723296,0.125356,[ 6 20] ; [ 5 13],[ 6.5 19.5] ; [ 4.5 13.5],0
u2,1,0.735317,0.114286,[4 5] ; [1 2],[3.75 5.25] ; [1.25 1.75],0
b3,1,0.768398,0.086713,[ 6 12] ; [5 8],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
b2,1,0.768398,0.086713,[ 6 12] ; [5 8],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
n1,1,0.782055,0.076531,[3 4] ; [4 4],[3.26666667 3.73333333] ; [3.73333333 4.26666667],0
n2,1,0.782055,0.076531,[4 3] ; [4 4],[3.73333333 3.26666667] ; [4.26666667 3.73333333],0
v1,1,0.792616,0.069124,[ 8 19] ; [ 6 12],[ 8.4 18.6] ; [ 5.6 12.4],0
d3,1,0.827662,0.047394,[18 10] ; [11  7],[17.65217391 10.34782609] ; [11.34782609  6.65217391],0
a6,1,0.895102,0.017385,[15 13] ; [10  8],[15.2173913 12.7826087] ; [9.7826087 8.2173913],0
