Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.3e-05,19.082895,[15 14] ; [129  20],[23.46067416  5.53932584] ; [120.53932584  28.46067416],1
r3,1,5.2e-05,16.372567,[20  9] ; [138   9],[26.03409091  2.96590909] ; [131.96590909  15.03409091],1
v4,1,0.000146,14.417832,[19  9] ; [138  11],[24.83615819  3.16384181] ; [132.16384181  16.83615819],1
a7,1,0.00044,12.352816,[ 9 20] ; [97 50],[17.46590909 11.53409091] ; [88.53409091 58.46590909],1
p10,1,0.005734,7.631952,[14 14] ; [112  36],[20.04545455  7.95454545] ; [105.95454545  42.04545455],0
v3,1,0.016827,5.714318,[ 5 24] ; [59 86],[10.66666667 18.33333333] ; [53.33333333 91.66666667],0
p3,1,0.01955,5.451657,[ 7 22] ; [71 78],[12.70786517 16.29213483] ; [65.29213483 83.70786517],0
p9,1,0.022203,5.229839,[16 12] ; [115  33],[20.84090909  7.15909091] ; [110.15909091  37.84090909],0
p2,1,0.023014,5.167437,[17 12] ; [117  32],[21.83146067  7.16853933] ; [112.16853933  36.83146067],0
p8,1,0.026869,4.899212,[ 8 21] ; [74 74],[13.43502825 15.56497175] ; [68.56497175 79.43502825],0
s8,1,0.034705,4.459619,[ 5 24] ; [56 93],[ 9.93820225 19.06179775] ; [51.06179775 97.93820225],0
s6,1,0.037923,4.308484,[13 16] ; [96 51],[17.96022727 11.03977273] ; [91.03977273 55.96022727],0
p4,1,0.039189,4.252648,[10 19] ; [82 66],[15.07344633 13.92655367] ; [76.92655367 71.07344633],0
r2,1,0.042749,4.105287,[21  7] ; [131  16],[24.32  3.68] ; [127.68  19.32],0
p11,1,0.045559,3.997841,[17 12] ; [114  35],[21.34269663  7.65730337] ; [109.65730337  39.34269663],0
n3,1,0.049875,3.845668,[6 7] ; [23  7],[8.76744186 4.23255814] ; [20.23255814  9.76744186],0
p5,1,0.09261,2.828401,[ 1 28] ; [ 22 125],[ 3.78977273 25.21022727] ; [ 19.21022727 127.78977273],0
v1,1,0.120943,2.405061,[10 18] ; [76 71],[13.76 14.24] ; [72.24 74.76],0
a4,1,0.126191,2.338742,[ 3 26] ; [ 34 114],[ 6.06214689 22.93785311] ; [ 30.93785311 117.06214689],0
s2,1,0.130952,2.281187,[ 9 20] ; [68 79],[12.6875 16.3125] ; [64.3125 82.6875],0
b1,1,0.176331,1.828283,[15 14] ; [57 92],[11.73033708 17.26966292] ; [60.26966292 88.73033708],0
u4,1,0.194233,1.685216,[ 1 28] ; [  1 148],[ 0.3258427 28.6741573] ; [  1.6741573 147.3258427],0
n5,1,0.21112,1.563729,[22  7] ; [127  22],[24.2752809  4.7247191] ; [124.7247191  24.2752809],0
b5,1,0.225391,1.469715,[14 15] ; [90 59],[16.94382022 12.05617978] ; [87.05617978 61.94382022],0
s3,1,0.23332,1.420506,[13 15] ; [85 60],[15.86127168 12.13872832] ; [82.13872832 62.86127168],0
d5,1,0.245538,1.348513,[16 13] ; [99 50],[18.73595506 10.26404494] ; [96.26404494 52.73595506],0
a1,1,0.250197,1.322205,[ 2 27] ; [  4 145],[ 0.97752809 28.02247191] ; [  5.02247191 143.97752809],0
v2,1,0.31015,1.030037,[10 16] ; [69 71],[12.37349398 13.62650602] ; [66.62650602 73.37349398],0
a6,1,0.310193,1.029854,[12 17] ; [77 72],[14.5 14.5] ; [74.5 74.5],0
p7,1,0.346941,0.884615,[15 13] ; [92 54],[17.2183908 10.7816092] ; [89.7816092 56.2183908],0
d4,1,0.351998,0.866241,[17 12] ; [100  48],[19.16949153  9.83050847] ; [97.83050847 50.16949153],0
a8,1,0.363154,0.826956,[ 3 26] ; [ 23 111],[ 4.62576687 24.37423313] ; [ 21.37423313 112.62576687],0
u3,1,0.365822,0.817806,[ 6 11] ; [36 40],[7.67741935 9.32258065] ; [34.32258065 41.67741935],0
p1,1,0.412769,0.670812,[ 2 27] ; [ 18 130],[ 3.27683616 25.72316384] ; [ 16.72316384 131.27683616],0
a3,1,0.414765,0.665099,[12 17] ; [73 74],[14.00568182 14.99431818] ; [70.99431818 76.00568182],0
s4,1,0.441207,0.59314,[ 6 23] ; [ 22 125],[ 4.61363636 24.38636364] ; [ 23.38636364 123.61363636],0
s7,1,0.448187,0.575232,[ 9 18] ; [58 83],[10.76785714 16.23214286] ; [56.23214286 84.76785714],0
d3,1,0.462332,0.540243,[14 15] ; [83 66],[15.80337079 13.19662921] ; [81.19662921 67.80337079],0
u2,1,0.479719,0.499503,[10  7] ; [37 38],[8.68478261 8.31521739] ; [38.31521739 36.68478261],0
d1,1,0.486939,0.483282,[ 8 21] ; [51 98],[ 9.61235955 19.38764045] ; [49.38764045 99.61235955],0
p6,1,0.499959,0.455022,[ 8 20] ; [51 94],[ 9.54913295 18.45086705] ; [49.45086705 95.54913295],0
r1,1,0.667401,0.184657,[18 11] ; [98 50],[19.00564972  9.99435028] ; [96.99435028 51.00564972],0
d2,1,0.710154,0.138123,[ 8 21] ; [ 36 112],[ 7.20903955 21.79096045] ; [ 36.79096045 111.20903955],0
b2,1,0.771288,0.084501,[ 6 13] ; [26 66],[ 5.47747748 13.52252252] ; [26.52252252 65.47747748],0
b3,1,0.771288,0.084501,[ 6 13] ; [26 66],[ 5.47747748 13.52252252] ; [26.52252252 65.47747748],0
n2,1,0.804308,0.061393,[10  3] ; [22  8],[9.6744186 3.3255814] ; [22.3255814  7.6744186],0
n1,1,0.816752,0.053696,[6 7] ; [15 15],[6.34883721 6.65116279] ; [14.65116279 15.34883721],0
