Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.3e-05,17.946356,[27 29] ; [195  60],[39.97427653 16.02572347] ; [182.02572347  72.97427653],1
p10,1,0.000378,12.635861,[37 20] ; [213  37],[46.41693811 10.58306189] ; [203.58306189  46.41693811],1
n4,1,0.000458,12.277524,[30 27] ; [194  62],[40.79233227 16.20766773] ; [183.20766773  72.79233227],1
p9,1,0.00139,10.218423,[40 17] ; [220  32],[47.96116505  9.03883495] ; [212.03883495  39.96116505],0
s6,1,0.002699,9.000794,[25 32] ; [162  86],[34.94754098 22.05245902] ; [152.05245902  95.94754098],0
b1,1,0.003804,8.375065,[30 27] ; [ 83 174],[20.51273885 36.48726115] ; [ 92.48726115 164.51273885],0
r2,1,0.003846,8.355221,[44 12] ; [233  21],[50.03870968  5.96129032] ; [226.96129032  27.03870968],0
p3,1,0.041103,4.171759,[19 38] ; [123 132],[25.94230769 31.05769231] ; [116.05769231 138.94230769],0
b4,1,0.042193,4.127428,[26 31] ; [155 102],[32.8566879 24.1433121] ; [148.1433121 108.8566879],0
r4,1,0.043522,4.075004,[44 13] ; [225  32],[48.83121019  8.16878981] ; [220.16878981  36.83121019],0
p5,1,0.046062,3.979323,[ 2 55] ; [ 32 221],[ 6.2516129 50.7483871] ; [ 27.7483871 225.2516129],0
v3,1,0.057686,3.602696,[12 45] ; [ 86 167],[18.01935484 38.98064516] ; [ 79.98064516 173.01935484],0
s5,1,0.071286,3.253161,[10 46] ; [ 73 172],[15.44186047 40.55813953] ; [ 67.55813953 177.44186047],0
s7,1,0.082188,3.021089,[16 36] ; [107 137],[21.60810811 30.39189189] ; [101.39189189 142.60810811],0
s2,1,0.088248,2.906048,[17 40] ; [106 146],[22.68932039 34.31067961] ; [100.31067961 151.68932039],0
b2,1,0.106427,2.606487,[ 6 23] ; [56 99],[ 9.77173913 19.22826087] ; [ 52.22826087 102.77173913],0
b3,1,0.106427,2.606487,[ 6 23] ; [56 99],[ 9.77173913 19.22826087] ; [ 52.22826087 102.77173913],0
a2,1,0.114778,2.487164,[ 1 56] ; [ 19 238],[ 3.63057325 53.36942675] ; [ 16.36942675 240.63057325],0
p4,1,0.139868,2.179415,[23 33] ; [132 122],[28. 28.] ; [127. 127.],0
u2,1,0.157973,1.993523,[17  8] ; [55 50],[13.84615385 11.15384615] ; [58.15384615 46.84615385],0
p6,1,0.181089,1.788662,[14 42] ; [ 86 165],[18.24104235 37.75895765] ; [ 81.75895765 169.24104235],0
s8,1,0.209075,1.577819,[16 41] ; [ 94 161],[20.09615385 36.90384615] ; [ 89.90384615 165.09615385],0
u3,1,0.240569,1.377258,[16  9] ; [53 51],[13.37209302 11.62790698] ; [55.62790698 48.37209302],0
a7,1,0.248366,1.332473,[32 25] ; [164  91],[35.80769231 21.19230769] ; [160.19230769  94.80769231],0
p12,1,0.251268,1.316239,[ 2 54] ; [ 20 232],[ 4. 52.] ; [ 18. 234.],0
u1,1,0.317607,0.998775,[ 1 56] ; [ 12 245],[ 2.35987261 54.64012739] ; [ 10.64012739 246.35987261],0
n3,1,0.337307,0.920638,[12  5] ; [48 11],[13.42105263  3.57894737] ; [46.57894737 12.42105263],0
r3,1,0.344904,0.892119,[52  5] ; [242  14],[53.5399361  3.4600639] ; [240.4600639  15.5399361],0
