Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.008616,6.900779,[ 4 76] ; [1 1],[ 4.87804878 75.12195122] ; [0.12195122 1.87804878],0
s8,1,0.151962,2.05244,[11 69] ; [1 1],[11.70731707 68.29268293] ; [0.29268293 1.70731707],0
p6,1,0.22056,1.500722,[13 65] ; [1 1],[13.65 64.35] ; [0.35 1.65],0
a2,1,0.270679,1.213305,[15 65] ; [1 1],[15.6097561 64.3902439] ; [0.3902439 1.6097561],0
s4,1,0.270679,1.213305,[15 65] ; [1 1],[15.6097561 64.3902439] ; [0.3902439 1.6097561],0
p8,1,0.33867,0.915461,[17 62] ; [1 1],[17.55555556 61.44444444] ; [0.44444444 1.55555556],0
v3,1,0.416224,0.660952,[18 55] ; [1 1],[18.49333333 54.50666667] ; [0.50666667 1.49333333],0
s7,1,0.424683,0.637321,[18 54] ; [1 1],[18.48648649 53.51351351] ; [0.51351351 1.48648649],0
d5,1,0.553038,0.351903,[55 24] ; [1 1],[54.61728395 24.38271605] ; [1.38271605 0.61728395],0
b3,1,0.591646,0.287781,[14 30] ; [1 1],[14.34782609 29.65217391] ; [0.65217391 1.34782609],0
b2,1,0.591646,0.287781,[14 30] ; [1 1],[14.34782609 29.65217391] ; [0.65217391 1.34782609],0
s2,1,0.632167,0.229134,[27 53] ; [1 1],[27.31707317 52.68292683] ; [0.68292683 1.31707317],0
v2,1,0.653794,0.201151,[26 49] ; [1 1],[26.2987013 48.7012987] ; [0.7012987 1.2987013],0
p10,1,0.662887,0.190035,[27 50] ; [1 1],[27.29113924 49.70886076] ; [0.70886076 1.29113924],0
a6,1,0.700679,0.147766,[50 29] ; [1 1],[49.74074074 29.25925926] ; [1.25925926 0.74074074],0
r1,1,0.71878,0.129665,[50 30] ; [1 1],[49.75609756 30.24390244] ; [1.24390244 0.75609756],0
a7,1,0.71878,0.129665,[50 30] ; [1 1],[49.75609756 30.24390244] ; [1.24390244 0.75609756],0
a3,1,0.758546,0.094489,[48 31] ; [1 1],[47.79012346 31.20987654] ; [1.20987654 0.79012346],0
a4,1,0.804062,0.06155,[33 47] ; [1 1],[33.17073171 46.82926829] ; [0.82926829 1.17073171],0
d1,1,0.860356,0.030948,[35 45] ; [1 1],[35.12195122 44.87804878] ; [0.87804878 1.12195122],0
b1,1,0.860356,0.030948,[45 35] ; [1 1],[44.87804878 35.12195122] ; [1.12195122 0.87804878],0
d2,1,0.901143,0.01543,[36 43] ; [1 1],[36.08641975 42.91358025] ; [0.91358025 1.08641975],0
s3,1,0.901143,0.01543,[36 43] ; [1 1],[36.08641975 42.91358025] ; [0.91358025 1.08641975],0
a5,1,0.916339,0.011035,[43 37] ; [1 1],[42.92682927 37.07317073] ; [1.07317073 0.92682927],0
