Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,4e-06,21.163564,[2 4] ; [82  6],[5.36170213 0.63829787] ; [78.63829787  9.36170213],1
n5,1,0.002559,9.09768,[3 3] ; [80  8],[5.29787234 0.70212766] ; [77.70212766 10.29787234],0
s2,1,0.030575,4.67667,[1 5] ; [53 33],[3.52173913 2.47826087] ; [50.47826087 35.52173913],0
p8,1,0.037664,4.320127,[3 3] ; [73 14],[4.90322581 1.09677419] ; [71.09677419 15.90322581],0
b5,1,0.049041,3.873952,[5 1] ; [37 51],[2.68085106 3.31914894] ; [39.31914894 48.68085106],0
a3,1,0.075606,3.15691,[3 3] ; [71 17],[4.72340426 1.27659574] ; [69.27659574 18.72340426],0
p6,1,0.1189,2.43175,[2 4] ; [56 30],[3.7826087 2.2173913] ; [54.2173913 31.7826087],0
s3,1,0.135262,2.23105,[2 4] ; [55 31],[3.7173913 2.2826087] ; [53.2826087 32.7173913],0
p11,1,0.152633,2.045742,[4 2] ; [77 11],[5.17021277 0.82978723] ; [75.82978723 12.17021277],0
b4,1,0.168878,1.892873,[5 1] ; [48 40],[3.38297872 2.61702128] ; [49.61702128 38.38297872],0
a6,1,0.175832,1.832507,[2 4] ; [54 34],[3.57446809 2.42553191] ; [52.42553191 35.57446809],0
r3,1,0.209403,1.57555,[5 1] ; [82  4],[5.67391304 0.32608696] ; [81.32608696  4.67391304],0
b1,1,0.216945,1.524467,[4 2] ; [36 52],[2.55319149 3.44680851] ; [37.44680851 50.55319149],0
s7,1,0.224423,1.475865,[3 3] ; [60 22],[4.29545455 1.70454545] ; [58.70454545 23.29545455],0
v2,1,0.227195,1.458333,[5 1] ; [49 35],[3.6 2.4] ; [50.4 33.6],0
s6,1,0.287522,1.131189,[4 2] ; [67 13],[4.95348837 1.04651163] ; [66.04651163 13.95348837],0
p10,1,0.292322,1.108898,[5 1] ; [82  5],[5.61290323 0.38709677] ; [81.38709677  5.61290323],0
p3,1,0.315889,1.005892,[4 2] ; [73 15],[4.91489362 1.08510638] ; [72.08510638 15.91489362],0
r1,1,0.323936,0.97299,[4 2] ; [72 15],[4.90322581 1.09677419] ; [71.09677419 15.90322581],0
d2,1,0.340862,0.907188,[2 4] ; [47 41],[3.12765957 2.87234043] ; [45.87234043 42.12765957],0
s5,1,0.368803,0.807692,[3 3] ; [53 25],[4. 2.] ; [52. 26.],0
u1,1,0.408166,0.684136,[2 4] ; [17 71],[1.21276596 4.78723404] ; [17.78723404 70.21276596],0
d3,1,0.436884,0.604453,[5 1] ; [60 28],[4.14893617 1.85106383] ; [60.85106383 27.14893617],0
d1,1,0.503797,0.446929,[3 3] ; [56 32],[3.76595745 2.23404255] ; [55.23404255 32.76595745],0
r4,1,0.541726,0.372351,[5 1] ; [80  8],[5.42553191 0.57446809] ; [79.57446809  8.42553191],0
a4,1,0.599595,0.275607,[2 4] ; [39 49],[2.61702128 3.38297872] ; [38.38297872 49.61702128],0
p4,1,0.620615,0.245004,[5 1] ; [79  9],[5.36170213 0.63829787] ; [78.63829787  9.36170213],0
a5,1,0.650589,0.205159,[4 2] ; [66 22],[4.46808511 1.53191489] ; [65.53191489 22.46808511],0
s8,1,0.763463,0.090562,[4 2] ; [52 34],[3.65217391 2.34782609] ; [52.34782609 33.65217391],0
s4,1,0.785191,0.074289,[1 5] ; [11 75],[0.7826087 5.2173913] ; [11.2173913 74.7826087],0
a7,1,0.796461,0.066528,[4 2] ; [63 25],[4.27659574 1.72340426] ; [62.72340426 25.27659574],0
v3,1,0.820991,0.051198,[3 3] ; [46 38],[3.26666667 2.73333333] ; [45.73333333 38.26666667],0
d4,1,0.835196,0.043282,[5 1] ; [76 12],[5.17021277 0.82978723] ; [75.82978723 12.17021277],0
a2,1,0.87311,0.025507,[1 5] ; [17 71],[1.14893617 4.85106383] ; [16.85106383 71.14893617],0
d5,1,0.87311,0.025507,[5 1] ; [71 17],[4.85106383 1.14893617] ; [71.14893617 16.85106383],0
v1,1,0.903132,0.014812,[4 2] ; [58 26],[4.13333333 1.86666667] ; [57.86666667 26.13333333],0
p7,1,0.961369,0.002346,[5 1] ; [71 15],[4.95652174 1.04347826] ; [71.04347826 14.95652174],0
b2,1,0.970361,0.001381,[3 3] ; [31 32],[2.95652174 3.04347826] ; [31.04347826 31.95652174],0
b3,1,0.970361,0.001381,[3 3] ; [31 32],[2.95652174 3.04347826] ; [31.04347826 31.95652174],0
n1,1,1.0,0.0,[1 1] ; [9 9],[1. 1.] ; [9. 9.],0
