Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.947764,[22  4] ; [ 9 29],[12.59375 13.40625] ; [18.40625 19.59375],1
d2,1,2e-06,22.215752,[21  5] ; [ 8 30],[11.78125 14.21875] ; [17.21875 20.78125],1
d5,1,4e-06,21.160594,[25  1] ; [15 23],[16.25  9.75] ; [23.75 14.25],1
d4,1,4.5e-05,16.665922,[25  1] ; [18 20],[17.46875  8.53125] ; [25.53125 12.46875],1
a4,1,0.001206,10.481101,[18  9] ; [10 28],[11.63076923 15.36923077] ; [16.36923077 21.63076923],0
s4,1,0.012045,6.30423,[ 6 21] ; [ 1 37],[ 2.90769231 24.09230769] ; [ 4.09230769 33.90769231],0
s7,1,0.026234,4.940532,[ 9 14] ; [ 5 31],[ 5.45762712 17.54237288] ; [ 8.54237288 27.45762712],0
a2,1,0.047087,3.942274,[ 7 20] ; [ 3 35],[ 4.15384615 22.84615385] ; [ 5.84615385 32.15384615],0
a3,1,0.050768,3.815922,[21  6] ; [20 17],[17.296875  9.703125] ; [23.703125 13.296875],0
s6,1,0.067568,3.341146,[11 15] ; [ 8 30],[ 7.71875 18.28125] ; [11.28125 26.71875],0
a8,1,0.075104,3.16778,[ 1 26] ; [ 7 31],[ 3.32307692 23.67692308] ; [ 4.67692308 33.32307692],0
p1,1,0.089345,2.886143,[ 5 22] ; [ 2 36],[ 2.90769231 24.09230769] ; [ 4.09230769 33.90769231],0
n2,1,0.096458,2.763158,[ 9 10] ; [12  4],[11.4  7.6] ; [9.6 6.4],0
a7,1,0.147118,2.101883,[17 10] ; [17 21],[14.12307692 12.87692308] ; [19.87692308 18.12307692],0
a5,1,0.150268,2.069526,[19  8] ; [20 18],[16.2 10.8] ; [22.8 15.2],0
n5,1,0.151289,2.059202,[ 9 18] ; [19 18],[11.8125 15.1875] ; [16.1875 20.8125],0
b5,1,0.199962,1.642648,[15 12] ; [15 23],[12.46153846 14.53846154] ; [17.53846154 20.46153846],0
a1,1,0.205187,1.605064,[ 2 25] ; [ 7 31],[ 3.73846154 23.26153846] ; [ 5.26153846 32.73846154],0
r2,1,0.2084,1.582506,[22  4] ; [27 11],[19.90625  6.09375] ; [29.09375  8.90625],0
v3,1,0.223543,1.481481,[ 4 20] ; [11 25],[ 6. 18.] ; [ 9. 27.],0
p9,1,0.29687,1.088199,[14 12] ; [15 22],[11.96825397 14.03174603] ; [17.03174603 19.96825397],0
p6,1,0.316579,1.003026,[ 4 21] ; [ 3 35],[ 2.77777778 22.22222222] ; [ 4.22222222 33.77777778],0
s5,1,0.324593,0.97035,[ 4 20] ; [ 3 33],[ 2.8 21.2] ; [ 4.2 31.8],0
u3,1,0.345779,0.888889,[4 2] ; [ 8 10],[3. 3.] ; [9. 9.],0
p4,1,0.350385,0.872064,[ 4 23] ; [ 9 28],[ 5.484375 21.515625] ; [ 7.515625 29.484375],0
b4,1,0.389925,0.739176,[15 12] ; [17 21],[13.29230769 13.70769231] ; [18.70769231 19.29230769],0
p3,1,0.4632,0.53815,[ 6 20] ; [ 6 32],[ 4.875 21.125] ; [ 7.125 30.875],0
s3,1,0.495516,0.464527,[14 13] ; [16 21],[12.65625 14.34375] ; [17.34375 19.65625],0
b2,1,0.508701,0.436739,[ 6 12] ; [10 13],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
b3,1,0.508701,0.436739,[ 6 12] ; [10 13],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
s8,1,0.554997,0.348441,[ 5 22] ; [ 5 33],[ 4.15384615 22.84615385] ; [ 5.84615385 32.15384615],0
p10,1,0.563833,0.33311,[11 15] ; [13 24],[ 9.9047619 16.0952381] ; [14.0952381 22.9047619],0
n3,1,0.565659,0.33,[9 9] ; [9 6],[9.81818182 8.18181818] ; [8.18181818 6.81818182],0
p7,1,0.619823,0.246116,[ 6 19] ; [11 26],[ 6.85483871 18.14516129] ; [10.14516129 26.85483871],0
u2,1,0.632585,0.228571,[3 3] ; [11  7],[3.5 2.5] ; [10.5  7.5],0
s2,1,0.646755,0.210015,[10 17] ; [12 26],[ 9.13846154 17.86153846] ; [12.86153846 25.13846154],0
v2,1,0.650669,0.205058,[10 15] ; [12 23],[ 9.16666667 15.83333333] ; [12.83333333 22.16666667],0
v1,1,0.705765,0.142544,[ 9 18] ; [11 27],[ 8.30769231 18.69230769] ; [11.69230769 26.30769231],0
r4,1,0.72162,0.126946,[14 13] ; [18 20],[13.29230769 13.70769231] ; [18.70769231 19.29230769],0
n1,1,0.729797,0.119298,[ 9 10] ; [8 7],[9.5 9.5] ; [7.5 7.5],0
p8,1,0.760573,0.092859,[ 5 22] ; [ 8 29],[ 5.484375 21.515625] ; [ 7.515625 29.484375],0
r3,1,0.770639,0.084995,[18  9] ; [24 14],[17.44615385  9.55384615] ; [24.55384615 13.44615385],0
b1,1,0.785724,0.073912,[14 13] ; [21 17],[14.53846154 12.46153846] ; [20.46153846 17.53846154],0
n4,1,0.815739,0.054302,[12 15] ; [18 20],[12.46153846 14.53846154] ; [17.53846154 20.46153846],0
v4,1,0.842274,0.039596,[17 10] ; [23 15],[16.61538462 10.38461538] ; [23.38461538 14.61538462],0
s1,1,0.847433,0.037016,[ 3 23] ; [ 5 33],[ 3.25 22.75] ; [ 4.75 33.25],0
p11,1,0.881518,0.022215,[ 9 18] ; [12 26],[ 8.72307692 18.27692308] ; [12.27692308 25.72307692],0
r1,1,0.9124,0.012102,[16 11] ; [22 16],[15.78461538 11.21538462] ; [22.21538462 15.78461538],0
a6,1,1.0,0.0,[13 13] ; [19 19],[13. 13.] ; [19. 19.],0
