Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.001181,10.520114,[ 8 28] ; [20 13],[14.60869565 21.39130435] ; [13.39130435 19.60869565],0
p2,1,0.004297,8.153838,[19 17] ; [28  5],[24.52173913 11.47826087] ; [22.47826087 10.52173913],0
p8,1,0.008302,6.967247,[ 7 27] ; [17 16],[12.17910448 21.82089552] ; [11.82089552 21.17910448],0
p7,1,0.008961,6.830634,[12 21] ; [22 10],[17.26153846 15.73846154] ; [16.73846154 15.26153846],0
b2,1,0.047361,3.9325,[6 9] ; [ 3 21],[ 3.46153846 11.53846154] ; [ 5.53846154 18.46153846],0
b3,1,0.047361,3.9325,[6 9] ; [ 3 21],[ 3.46153846 11.53846154] ; [ 5.53846154 18.46153846],0
s7,1,0.065871,3.383031,[22 12] ; [13 18],[18.30769231 15.69230769] ; [16.69230769 14.30769231],0
s6,1,0.068584,3.316595,[23 12] ; [28  5],[26.25  8.75] ; [24.75  8.25],0
a3,1,0.127417,2.323693,[25 11] ; [17 16],[21.91304348 14.08695652] ; [20.08695652 12.91304348],0
r2,1,0.133543,2.250829,[34  1] ; [28  4],[32.3880597  2.6119403] ; [29.6119403  2.3880597],0
d4,1,0.141301,2.163738,[32  3] ; [26  7],[29.85294118  5.14705882] ; [28.14705882  4.85294118],0
s5,1,0.171321,1.871345,[12 20] ; [ 7 25],[ 9.5 22.5] ; [ 9.5 22.5],0
s4,1,0.173001,1.856749,[13 23] ; [ 7 26],[10.43478261 25.56521739] ; [ 9.56521739 23.43478261],0
a8,1,0.185016,1.756863,[ 6 28] ; [ 2 28],[ 4.25 29.75] ; [ 3.75 26.25],0
s3,1,0.187239,1.739212,[34  2] ; [28  5],[32.34782609  3.65217391] ; [29.65217391  3.34782609],0
u1,1,0.195894,1.672727,[ 4 32] ; [ 1 32],[ 2.60869565 33.39130435] ; [ 2.39130435 30.60869565],0
a2,1,0.224976,1.472348,[ 3 33] ; [ 6 27],[ 4.69565217 31.30434783] ; [ 4.30434783 28.69565217],0
p11,1,0.240545,1.377395,[19 17] ; [22 11],[21.39130435 14.60869565] ; [19.60869565 13.39130435],0
r1,1,0.264953,1.24269,[28  8] ; [21 11],[25.94117647 10.05882353] ; [23.05882353  8.94117647],0
d2,1,0.267563,1.229196,[14 21] ; [ 9 24],[11.83823529 23.16176471] ; [11.16176471 21.83823529],0
a7,1,0.305569,1.049731,[25 11] ; [19 14],[22.95652174 13.04347826] ; [21.04347826 11.95652174],0
p10,1,0.322995,0.976782,[22 12] ; [25  8],[23.85074627 10.14925373] ; [23.14925373  9.85074627],0
d5,1,0.339888,0.910853,[24 11] ; [26  7],[25.73529412  9.26470588] ; [24.26470588  8.73529412],0
a5,1,0.344823,0.892416,[20 16] ; [22 11],[21.91304348 14.08695652] ; [20.08695652 12.91304348],0
s1,1,0.347295,0.883316,[ 3 32] ; [ 1 31],[ 2.08955224 32.91044776] ; [ 1.91044776 30.08955224],0
n5,1,0.357021,0.848343,[14 22] ; [16 16],[15.88235294 20.11764706] ; [14.11764706 17.88235294],0
b1,1,0.389773,0.73965,[17 19] ; [19 14],[18.7826087 17.2173913] ; [17.2173913 15.7826087],0
s8,1,0.412526,0.67151,[15 21] ; [17 16],[16.69565217 19.30434783] ; [15.30434783 17.69565217],0
p6,1,0.439041,0.598787,[ 9 26] ; [11 21],[10.44776119 24.55223881] ; [ 9.55223881 22.44776119],0
a4,1,0.445973,0.580867,[ 9 27] ; [11 22],[10.43478261 25.56521739] ; [ 9.56521739 23.43478261],0
u3,1,0.446248,0.580165,[10  1] ; [12  3],[9.30769231 1.69230769] ; [12.69230769  2.30769231],0
a1,1,0.504161,0.446166,[ 1 35] ; [ 2 31],[ 1.56521739 34.43478261] ; [ 1.43478261 31.56521739],0
u2,1,0.507726,0.43875,[7 3] ; [13  3],[7.69230769 2.30769231] ; [12.30769231  3.69230769],0
n3,1,0.562069,0.336134,[10  5] ; [7 2],[10.625  4.375] ; [6.375 2.625],0
a6,1,0.568789,0.324713,[21 14] ; [22 11],[22.13235294 12.86764706] ; [20.86764706 12.13235294],0
n2,1,0.571608,0.32,[13  2] ; [7 2],[12.5  2.5] ; [7.5 1.5],0
