Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.945819,[68 11] ; [ 6 18],[56.75728155 22.24271845] ; [17.24271845  6.75728155],1
n5,1,0.020504,5.368505,[41 38] ; [ 6 18],[36.04854369 42.95145631] ; [10.95145631 13.04854369],0
d1,1,0.072079,3.235038,[40 40] ; [ 7 17],[36.15384615 43.84615385] ; [10.84615385 13.15384615],0
n2,1,0.109716,2.558303,[20  1] ; [6 2],[18.82758621  2.17241379] ; [7.17241379 0.82758621],0
s8,1,0.122211,2.38875,[34 46] ; [ 6 18],[30.76923077 49.23076923] ; [ 9.23076923 14.76923077],0
s6,1,0.140248,2.17524,[47 33] ; [10 14],[43.84615385 36.15384615] ; [13.15384615 10.84615385],0
p4,1,0.161349,1.961538,[42 36] ; [ 9 15],[39. 39.] ; [12. 12.],0
p3,1,0.167959,1.901063,[32 47] ; [ 6 18],[29.14563107 49.85436893] ; [ 8.85436893 15.14563107],0
v2,1,0.211183,1.5633,[40 34] ; [ 9 14],[37.3814433 36.6185567] ; [11.6185567 11.3814433],0
d3,1,0.226683,1.461556,[51 29] ; [12 12],[48.46153846 31.53846154] ; [14.53846154  9.46153846],0
a3,1,0.231442,1.431975,[54 26] ; [13 11],[51.53846154 28.46153846] ; [15.46153846  8.53846154],0
p2,1,0.23462,1.412631,[64 14] ; [17  7],[61.94117647 16.05882353] ; [19.05882353  4.94117647],0
r2,1,0.24721,1.339005,[69  9] ; [19  5],[67.29411765 10.70588235] ; [20.70588235  3.29411765],0
b2,1,0.2739,1.197111,[15 34] ; [ 2 11],[13.43548387 35.56451613] ; [3.56451613 9.43548387],0
b3,1,0.2739,1.197111,[15 34] ; [ 2 11],[13.43548387 35.56451613] ; [3.56451613 9.43548387],0
a7,1,0.280955,1.162467,[53 27] ; [13 11],[50.76923077 29.23076923] ; [15.23076923  8.76923077],0
d4,1,0.282389,1.155556,[62 18] ; [16  8],[60. 20.] ; [18.  6.],0
a8,1,0.334932,0.929733,[ 8 64] ; [ 1 22],[ 6.82105263 65.17894737] ; [ 2.17894737 20.82105263],0
p8,1,0.33498,0.929549,[38 40] ; [ 9 15],[35.94117647 42.05882353] ; [11.05882353 12.94117647],0
b5,1,0.343542,0.89717,[55 25] ; [14 10],[53.07692308 26.92307692] ; [15.92307692  8.07692308],0
b1,1,0.410119,0.678456,[39 41] ; [14 10],[40.76923077 39.23076923] ; [12.23076923 11.76923077],0
a4,1,0.419221,0.652497,[27 53] ; [ 6 18],[25.38461538 54.61538462] ; [ 7.61538462 16.38461538],0
r1,1,0.439466,0.597677,[59 20] ; [16  8],[57.52427184 21.47572816] ; [17.47572816  6.52427184],0
b4,1,0.449064,0.573013,[43 37] ; [15  9],[44.61538462 35.38461538] ; [13.38461538 10.61538462],0
u1,1,0.459883,0.546181,[ 7 73] ; [ 1 23],[ 6.15384615 73.84615385] ; [ 1.84615385 22.15384615],0
a5,1,0.477387,0.504827,[53 27] ; [14 10],[51.53846154 28.46153846] ; [15.46153846  8.53846154],0
a6,1,0.477387,0.504827,[53 27] ; [14 10],[51.53846154 28.46153846] ; [15.46153846  8.53846154],0
a2,1,0.4816,0.495238,[11 69] ; [ 2 22],[10. 70.] ; [ 3. 21.],0
v1,1,0.548175,0.360596,[37 39] ; [10 14],[35.72 40.28] ; [11.28 12.72],0
n4,1,0.589482,0.291153,[45 35] ; [12 12],[43.84615385 36.15384615] ; [13.15384615 10.84615385],0
p1,1,0.596554,0.280225,[ 6 74] ; [ 1 22],[ 5.4368932 74.5631068] ; [ 1.5631068 21.4368932],0
s3,1,0.620008,0.245856,[41 37] ; [14 10],[42.05882353 35.94117647] ; [12.94117647 11.05882353],0
p7,1,0.649183,0.206932,[47 27] ; [14 10],[46.06122449 27.93877551] ; [14.93877551  9.06122449],0
s1,1,0.657897,0.196088,[ 2 76] ; [ 1 22],[ 2.31683168 75.68316832] ; [ 0.68316832 22.31683168],0
n3,1,0.664617,0.187963,[14  7] ; [6 2],[14.48275862  6.51724138] ; [5.51724138 2.48275862],0
