Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,149.746333,[59 91] ; [435  61],[114.70588235  35.29411765] ; [379.29411765 116.70588235],1
n6,1,0.0,44.252781,[103  47] ; [449  47],[128.17337461  21.82662539] ; [423.82662539  72.17337461],1
a5,1,4e-06,21.25331,[91 61] ; [392 107],[112.77419355  39.22580645] ; [370.22580645 128.77419355],1
p4,1,3.2e-05,17.324686,[66 85] ; [312 185],[88.08333333 62.91666667] ; [289.91666667 207.08333333],1
p3,1,3.2e-05,17.296865,[ 51 101] ; [263 235],[73.42769231 78.57230769] ; [240.57230769 257.42769231],1
r4,1,7.4e-05,15.703294,[124  28] ; [462  37],[136.82334869  15.17665131] ; [449.17665131  49.82334869],1
d2,1,0.000117,14.839223,[ 50 102] ; [252 245],[70.73035439 81.26964561] ; [231.26964561 265.73035439],1
d1,1,0.000255,13.372409,[70 82] ; [313 186],[89.42549923 62.57450077] ; [293.57450077 205.42549923],1
p11,1,0.000267,13.286589,[111  41] ; [428  71],[125.84946237  26.15053763] ; [413.15053763  85.84946237],1
a4,1,0.00062,11.714641,[ 49 103] ; [239 259],[67.34769231 84.65230769] ; [220.65230769 277.34769231],1
a8,1,0.00074,11.385223,[  7 136] ; [ 72 382],[ 18.92294807 124.07705193] ; [ 60.07705193 393.92294807],1
s4,1,0.000809,11.220844,[ 42 110] ; [ 77 417],[ 28. 124.] ; [ 91. 403.],1
s7,1,0.001037,10.761191,[54 93] ; [249 228],[71.37980769 75.62019231] ; [231.62019231 245.37980769],0
a2,1,0.001112,10.63188,[ 21 131] ; [133 366],[ 35.95698925 116.04301075] ; [118.04301075 380.95698925],0
r1,1,0.00147,10.115564,[107  44] ; [411  86],[120.70679012  30.29320988] ; [397.29320988  99.70679012],0
a3,1,0.001554,10.013814,[93 59] ; [370 127],[108.4375963  43.5624037] ; [354.5624037 142.4375963],0
v3,1,0.002528,9.120086,[ 40 106] ; [200 285],[55.53090333 90.46909667] ; [184.46909667 300.53090333],0
p6,1,0.003416,8.570604,[ 37 113] ; [186 308],[51.94099379 98.05900621] ; [171.05900621 322.94099379],0
u1,1,0.004628,8.019475,[ 15 137] ; [ 99 400],[ 26.61751152 125.38248848] ; [ 87.38248848 411.61751152],0
d5,1,0.005421,7.733451,[112  39] ; [419  79],[123.54545455  27.45454545] ; [407.45454545  90.54545455],0
v2,1,0.007177,7.228168,[69 75] ; [290 189],[82.97913323 61.02086677] ; [276.02086677 202.97913323],0
s8,1,0.008342,6.958595,[54 98] ; [237 260],[68.1540832 83.8459168] ; [222.8459168 274.1540832],0
r2,1,0.008566,6.911151,[137  14] ; [472  19],[143.23831776   7.76168224] ; [465.76168224  25.23831776],0
p2,1,0.011443,6.3952,[119  32] ; [434  64],[128.66409861  22.33590139] ; [424.33590139  73.66409861],0
r3,1,0.013256,6.134587,[140  12] ; [480  16],[145.43209877   6.56790123] ; [474.56790123  21.43209877],0
p12,1,0.014111,6.024184,[  3 149] ; [ 37 460],[  9.36825886 142.63174114] ; [ 30.63174114 466.36825886],0
v1,1,0.026716,4.909044,[67 81] ; [271 216],[78.77795276 69.22204724] ; [259.22204724 227.77795276],0
n3,1,0.040791,4.184666,[35 19] ; [66 16],[40.10294118 13.89705882] ; [60.89705882 21.10294118],0
d4,1,0.096204,2.767372,[118  34] ; [416  82],[124.87384615  27.12615385] ; [409.12615385  88.87384615],0
p7,1,0.109598,2.560014,[86 59] ; [326 164],[94.07874016 50.92125984] ; [317.92125984 172.07874016],0
s3,1,0.129854,2.294253,[77 73] ; [287 205],[85.04672897 64.95327103] ; [278.95327103 213.04672897],0
n1,1,0.136625,2.21557,[15 39] ; [33 49],[19.05882353 34.94117647] ; [28.94117647 53.05882353],0
a6,1,0.160654,1.968063,[98 54] ; [351 147],[104.99692308  47.00307692] ; [344.00307692 153.99692308],0
p8,1,0.175915,1.831798,[72 79] ; [265 226],[79.26323988 71.73676012] ; [257.73676012 233.26323988],0
s2,1,0.19348,1.690919,[73 79] ; [267 227],[80. 72.] ; [260. 234.],0
s6,1,0.195296,1.677208,[95 56] ; [336 154],[101.53042122  49.46957878] ; [329.46957878 160.53042122],0
b1,1,0.257559,1.281828,[ 49 103] ; [186 313],[54.86943164 97.13056836] ; [180.13056836 318.86943164],0
v4,1,0.262343,1.256349,[142   9] ; [476  19],[144.45510836   6.54489164] ; [473.54489164  21.45510836],0
b3,1,0.302293,1.064049,[20 45] ; [116 193],[23.63636364 41.36363636] ; [112.36363636 196.63636364],0
b2,1,0.302293,1.064049,[20 45] ; [116 193],[23.63636364 41.36363636] ; [112.36363636 196.63636364],0
p9,1,0.320421,0.987225,[139  13] ; [466  31],[141.69491525  10.30508475] ; [463.30508475  33.69491525],0
a7,1,0.347037,0.884263,[115  36] ; [360 138],[110.51617874  40.48382126] ; [364.48382126 133.51617874],0
s1,1,0.480051,0.498747,[  3 149] ; [ 15 476],[  4.25505443 147.74494557] ; [ 13.74494557 477.25505443],0
u3,1,0.539589,0.376302,[35 22] ; [73 56],[33.09677419 23.90322581] ; [74.90322581 54.09677419],0
b4,1,0.576609,0.311748,[91 61] ; [286 213],[88.02457757 63.97542243] ; [288.97542243 210.02457757],0
n2,1,0.585849,0.296873,[40 15] ; [63 19],[41.35036496 13.64963504] ; [61.64963504 20.35036496],0
u4,1,0.742609,0.107847,[  2 150] ; [  5 494],[  1.6344086 150.3655914] ; [  5.3655914 493.6344086],0
u2,1,0.745321,0.105505,[35 23] ; [74 54],[33.98924731 24.01075269] ; [75.01075269 52.98924731],0
p1,1,0.784684,0.074649,[  9 141] ; [ 33 465],[  9.72222222 140.27777778] ; [ 32.27777778 465.72222222],0
s5,1,0.816982,0.053559,[49 99] ; [155 328],[ 47.84786054 100.15213946] ; [156.15213946 326.84786054],0
d3,1,0.864619,0.02907,[106  44] ; [349 150],[105.16178737  44.83821263] ; [349.83821263 149.16178737],0
b5,1,0.883492,0.021475,[93 59] ; [302 197],[92.22734255 59.77265745] ; [302.77265745 196.22734255],0
a1,1,0.94412,0.004913,[  5 147] ; [ 17 482],[  5.13671275 146.86328725] ; [ 16.86328725 482.13671275],0
