Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,7.8e-05,15.607757,[  1 102] ; [ 5 21],[ 4.79069767 98.20930233] ; [ 1.20930233 24.79069767],1
d5,1,0.019519,5.454449,[56 46] ; [ 8 19],[50.60465116 51.39534884] ; [13.39534884 13.60465116],0
b1,1,0.050966,3.80938,[36 67] ; [15 12],[40.40769231 62.59230769] ; [10.59230769 16.40769231],0
p12,1,0.069549,3.293624,[ 5 98] ; [ 4 23],[ 7.13076923 95.86923077] ; [ 1.86923077 25.13076923],0
p7,1,0.083484,2.995726,[66 36] ; [12 14],[62.15625 39.84375] ; [15.84375 10.15625],0
d3,1,0.100119,2.703645,[31 70] ; [ 4 23],[27.6171875 73.3828125] ; [ 7.3828125 19.6171875],0
p4,1,0.103771,2.64661,[60 43] ; [11 16],[56.25384615 46.74615385] ; [14.74615385 12.25384615],0
a7,1,0.103879,2.644953,[70 32] ; [14 13],[66.41860465 35.58139535] ; [17.58139535  9.41860465],0
s7,1,0.109793,2.557205,[50 47] ; [ 8 16],[46.49586777 50.50413223] ; [11.50413223 12.49586777],0
n4,1,0.112158,2.523552,[77 26] ; [16 11],[73.68461538 29.31538462] ; [19.31538462  7.68461538],0
r2,1,0.122737,2.38204,[96  6] ; [23  4],[94.09302326  7.90697674] ; [24.90697674  2.09302326],0
v3,1,0.128769,2.307287,[31 71] ; [12 14],[34.265625 67.734375] ; [ 8.734375 17.265625],0
r1,1,0.260938,1.263771,[72 30] ; [16 11],[69.58139535 32.41860465] ; [18.41860465  8.58139535],0
a2,1,0.318294,0.995946,[10 93] ; [ 1 26],[ 8.71538462 94.28461538] ; [ 2.28461538 24.71538462],0
d2,1,0.363931,0.824284,[22 81] ; [ 8 19],[23.76923077 79.23076923] ; [ 6.23076923 20.76923077],0
s4,1,0.400557,0.706655,[19 83] ; [ 7 20],[20.55813953 81.44186047] ; [ 5.44186047 21.55813953],0
n5,1,0.436631,0.605119,[80 22] ; [23  4],[81.44186047 20.55813953] ; [21.55813953  5.44186047],0
s2,1,0.455573,0.55675,[41 62] ; [12 13],[42.6484375 60.3515625] ; [10.3515625 14.6484375],0
p6,1,0.462316,0.540281,[34 68] ; [ 7 20],[32.41860465 69.58139535] ; [ 8.58139535 18.41860465],0
s3,1,0.475563,0.50902,[53 49] ; [11 14],[51.4015748 50.5984252] ; [12.5984252 12.4015748],0
p1,1,0.518933,0.416013,[14 89] ; [ 5 22],[15.05384615 87.94615385] ; [ 3.94615385 23.05384615],0
a5,1,0.533433,0.387848,[58 45] ; [17 10],[59.42307692 43.57692308] ; [15.57692308 11.42307692],0
a8,1,0.542198,0.371481,[ 7 87] ; [ 3 24],[ 7.76859504 86.23140496] ; [ 2.23140496 24.76859504],0
u2,1,0.543524,0.369048,[25 23] ; [6 8],[24. 24.] ; [7. 7.],0
s6,1,0.553523,0.351043,[64 36] ; [15 11],[62.6984127 37.3015873] ; [16.3015873  9.6984127],0
p3,1,0.557885,0.343379,[48 54] ; [11 16],[46.65116279 55.34883721] ; [12.34883721 14.65116279],0
p8,1,0.559629,0.340347,[55 46] ; [13 14],[53.65625 47.34375] ; [14.34375 12.65625],0
b4,1,0.576244,0.312347,[52 51] ; [12 15],[50.70769231 52.29230769] ; [13.29230769 13.70769231],0
r3,1,0.588747,0.292305,[94  8] ; [24  3],[93.30232558  8.69767442] ; [24.69767442  2.30232558],0
v1,1,0.595282,0.282171,[48 52] ; [14 12],[49.20634921 50.79365079] ; [12.79365079 13.20634921],0
a3,1,0.626858,0.236346,[55 48] ; [13 14],[53.87692308 49.12307692] ; [14.12307692 12.87692308],0
u3,1,0.637954,0.221429,[24 24] ; [8 6],[24.77419355 23.22580645] ; [7.22580645 6.77419355],0
b3,1,0.640197,0.218485,[15 44] ; [ 5 11],[15.73333333 43.26666667] ; [ 4.26666667 11.73333333],0
b2,1,0.640197,0.218485,[15 44] ; [ 5 11],[15.73333333 43.26666667] ; [ 4.26666667 11.73333333],0
a6,1,0.713462,0.134843,[65 38] ; [16 11],[64.17692308 38.82307692] ; [16.82307692 10.17692308],0
s8,1,0.724039,0.124655,[42 61] ; [10 17],[41.2 61.8] ; [10.8 16.2],0
n1,1,0.732074,0.117216,[11 15] ; [3 3],[11.375 14.625] ; [2.625 3.375],0
r4,1,0.742737,0.107736,[85 18] ; [23  4],[85.56923077 17.43076923] ; [22.43076923  4.56923077],0
b5,1,0.745914,0.104997,[57 46] ; [14 13],[56.25384615 46.74615385] ; [14.74615385 12.25384615],0
v2,1,0.787816,0.07244,[46 52] ; [12 12],[46.59016393 51.40983607] ; [11.40983607 12.59016393],0
n6,1,0.803832,0.061698,[86 17] ; [22  5],[85.56923077 17.43076923] ; [22.43076923  4.56923077],0
p11,1,0.899423,0.015974,[85 18] ; [22  5],[84.77692308 18.22307692] ; [22.22307692  4.77692308],0
a4,1,0.905733,0.014024,[24 79] ; [ 6 21],[23.76923077 79.23076923] ; [ 6.23076923 20.76923077],0
v4,1,0.931417,0.007407,[94  7] ; [25  2],[93.8984375  7.1015625] ; [25.1015625  1.8984375],0
s5,1,0.937661,0.006117,[25 76] ; [ 6 19],[24.84920635 76.15079365] ; [ 6.15079365 18.84920635],0
p5,1,0.948667,0.004145,[11 92] ; [ 3 24],[11.09230769 91.90769231] ; [ 2.90769231 24.09230769],0
p9,1,0.989847,0.000162,[95  8] ; [24  2],[95.01550388  7.98449612] ; [23.98449612  2.01550388],0
