Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.238502,[65 72] ; [170  63],[87.01351351 49.98648649] ; [147.98648649  85.01351351],1
v3,1,2.1e-05,18.072599,[47 91] ; [132 100],[66.76216216 71.23783784] ; [112.23783784 119.76216216],1
n5,1,7.3e-05,15.728349,[104  37] ; [211  25],[117.81167109  23.18832891] ; [197.18832891  38.81167109],1
d5,1,0.004464,8.08483,[111  30] ; [211  25],[120.42970822  20.57029178] ; [201.57029178  34.42970822],0
n1,1,0.005712,7.638889,[ 7 23] ; [15 10],[12. 18.] ; [10. 15.],0
r4,1,0.008346,6.957645,[126  15] ; [228   9],[132.04761905   8.95238095] ; [221.95238095  15.04761905],0
n6,1,0.009565,6.714173,[119  22] ; [219  17],[126.4137931  14.5862069] ; [211.5862069  24.4137931],0
b5,1,0.010513,6.545764,[66 75] ; [143  94],[77.96031746 63.03968254] ; [131.03968254 105.96031746],0
s8,1,0.017721,5.623544,[63 77] ; [136 100],[74.09574468 65.90425532] ; [124.90425532 111.09574468],0
d1,1,0.023506,5.130745,[82 59] ; [165  72],[92.13492063 48.86507937] ; [154.86507937  82.13492063],0
b3,1,0.03472,4.458913,[27 60] ; [70 86],[34.72839506 52.27160494] ; [62.27160494 93.72839506],0
b2,1,0.03472,4.458913,[27 60] ; [70 86],[34.72839506 52.27160494] ; [62.27160494 93.72839506],0
d4,1,0.047114,3.94132,[113  28] ; [207  29],[119.68169761  21.31830239] ; [200.31830239  35.68169761],0
r3,1,0.059306,3.556678,[130   9] ; [231   6],[133.45478723   5.54521277] ; [227.54521277   9.45478723],0
p2,1,0.064784,3.410478,[122  19] ; [218  18],[127.16180371  13.83819629] ; [212.83819629  23.16180371],0
p9,1,0.065931,3.381518,[133   8] ; [232   5],[136.15079365   4.84920635] ; [228.84920635   8.15079365],0
n2,1,0.086604,2.936389,[19 11] ; [21  4],[21.81818182  8.18181818] ; [18.18181818  6.81818182],0
a8,1,0.098781,2.725109,[ 12 118] ; [ 33 181],[ 17.00581395 112.99418605] ; [ 27.99418605 186.00581395],0
p8,1,0.123745,2.369268,[92 49] ; [171  64],[98.625 42.375] ; [164.375  70.625],0
n4,1,0.125968,2.341503,[115  26] ; [207  30],[120.11111111  20.88888889] ; [201.88888889  35.11111111],0
u2,1,0.127642,2.320956,[25 11] ; [26 23],[21.6 14.4] ; [29.4 19.6],0
p12,1,0.146631,2.106953,[ 13 127] ; [ 34 202],[ 17.5 122.5] ; [ 29.5 206.5],0
a7,1,0.14849,2.087695,[98 43] ; [180  56],[103.9734748  37.0265252] ; [174.0265252  61.9734748],0
p7,1,0.150295,2.069252,[107  34] ; [192  42],[112.424  28.576] ; [186.576  47.424],0
r2,1,0.188068,1.732691,[132   8] ; [229   7],[134.41489362   5.58510638] ; [226.58510638   9.41489362],0
a3,1,0.210532,1.567762,[105  36] ; [188  47],[109.875  31.125] ; [183.125  51.875],0
s7,1,0.2177,1.519469,[72 58] ; [139  85],[77.48587571 52.51412429] ; [133.51412429  90.48587571],0
p6,1,0.229453,1.444248,[66 75] ; [124 109],[71.63101604 69.36898396] ; [118.36898396 114.63101604],0
p4,1,0.241843,1.369821,[113  28] ; [201  36],[117.12698413  23.87301587] ; [196.87301587  40.12698413],0
u3,1,0.244017,1.357237,[19 17] ; [32 17],[21.6 14.4] ; [29.4 19.6],0
s5,1,0.261142,1.262692,[53 81] ; [104 124],[58.1160221 75.8839779] ; [ 98.8839779 129.1160221],0
d3,1,0.267051,1.231834,[96 45] ; [174  63],[100.71428571  40.28571429] ; [169.28571429  67.71428571],0
s2,1,0.27649,1.184261,[72 68] ; [135 101],[77.07446809 62.92553191] ; [129.92553191 106.07446809],0
p5,1,0.287437,1.131587,[ 23 118] ; [ 49 187],[ 26.92838196 114.07161804] ; [ 45.07161804 190.92838196],0
v4,1,0.309973,1.030789,[133   7] ; [230   7],[134.80106101   5.19893899] ; [228.19893899   8.80106101],0
n3,1,0.310909,1.026809,[25  5] ; [18  7],[23.45454545  6.54545455] ; [19.54545455  5.45454545],0
u1,1,0.326471,0.962845,[ 30 111] ; [ 61 176],[ 33.94444444 107.05555556] ; [ 57.05555556 179.94444444],0
p11,1,0.426279,0.632939,[121  20] ; [210  27],[123.46825397  17.53174603] ; [207.53174603  29.46825397],0
s4,1,0.480713,0.497246,[ 28 112] ; [ 40 194],[ 25.45454545 114.54545455] ; [ 42.54545455 191.45454545],0
s3,1,0.502879,0.448856,[85 54] ; [136 100],[81.91733333 57.08266667] ; [139.08266667  96.91733333],0
a5,1,0.561651,0.336853,[112  29] ; [194  43],[114.14285714  26.85714286] ; [191.85714286  45.14285714],0
b4,1,0.598981,0.276536,[80 61] ; [141  96],[82.43650794 58.56349206] ; [138.56349206  98.43650794],0
r1,1,0.599267,0.276103,[114  26] ; [198  39],[115.86206897  24.13793103] ; [196.13793103  40.86206897],0
