Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,36.301683,[21 44] ; [ 23 314],[ 7.11442786 57.88557214] ; [ 36.88557214 300.11442786],1
s5,1,6e-06,20.529064,[41 19] ; [122 208],[25.07692308 34.92307692] ; [137.92307692 192.07692308],1
p1,1,6e-06,20.340296,[17 48] ; [ 25 311],[ 6.80798005 58.19201995] ; [ 35.19201995 300.80798005],1
p4,1,6.5e-05,15.939681,[58  6] ; [221 116],[44.5286783 19.4713217] ; [234.4713217 102.5286783],1
p8,1,0.000416,12.460055,[53 12] ; [193 138],[40.37878788 24.62121212] ; [205.62121212 125.37878788],1
p3,1,0.001556,10.011318,[49 15] ; [187 151],[37.5721393 26.4278607] ; [198.4278607 139.5721393],0
v3,1,0.001787,9.756833,[44 20] ; [156 173],[32.56997455 31.43002545] ; [167.43002545 161.56997455],0
p6,1,0.003443,8.556536,[40 24] ; [141 190],[29.32658228 34.67341772] ; [151.67341772 179.32658228],0
s8,1,0.01025,6.590882,[43 21] ; [167 169],[33.6 30.4] ; [176.4 159.6],0
a1,1,0.012251,6.27413,[ 8 57] ; [ 15 323],[ 3.70967742 61.29032258] ; [ 19.29032258 318.70967742],0
s7,1,0.013641,6.084024,[42 19] ; [167 156],[33.20052083 27.79947917] ; [175.79947917 147.20052083],0
u4,1,0.019501,5.456035,[ 4 61] ; [  5 333],[ 1.4516129 63.5483871] ; [  7.5483871 330.4516129],0
b5,1,0.036504,4.373412,[33 32] ; [218 120],[40.48387097 24.51612903] ; [210.51612903 127.48387097],0
n5,1,0.037447,4.329986,[61  4] ; [282  54],[55.59850374  9.40149626] ; [287.40149626  48.59850374],0
n4,1,0.0423,4.123167,[59  6] ; [271  67],[53.22580645 11.77419355] ; [276.77419355  61.22580645],0
n3,1,0.06354,3.442475,[5 6] ; [42 15],[7.60294118 3.39705882] ; [39.39705882 17.60294118],0
u2,1,0.084433,2.977444,[9 2] ; [48 40],[6.33333333 4.66666667] ; [50.66666667 37.33333333],0
d1,1,0.090563,2.864342,[47 18] ; [207 131],[40.96774194 24.03225806] ; [213.03225806 124.96774194],0
r3,1,0.094507,2.795883,[60  5] ; [326  11],[62.41293532  2.58706468] ; [323.58706468  13.41293532],0
d2,1,0.108819,2.571295,[37 27] ; [158 179],[31.12219451 32.87780549] ; [163.87780549 173.12219451],0
b1,1,0.124509,2.359658,[29 36] ; [117 221],[23.5483871 41.4516129] ; [122.4516129 215.5483871],0
r2,1,0.134332,2.241717,[60  5] ; [322  12],[62.23057644  2.76942356] ; [319.76942356  14.23057644],0
a3,1,0.135038,2.233605,[54 11] ; [250  86],[49.27680798 15.72319202] ; [254.72319202  81.27680798],0
a6,1,0.138743,2.19185,[38 26] ; [232 105],[43.09226933 20.90773067] ; [226.90773067 110.09226933],0
s2,1,0.143894,2.135812,[42 23] ; [183 151],[36.65413534 28.34586466] ; [188.34586466 145.65413534],0
s1,1,0.152202,2.050041,[ 4 61] ; [  9 324],[ 2.12311558 62.87688442] ; [ 10.87688442 322.12311558],0
n1,1,0.154436,2.02788,[7 4] ; [23 34],[4.85294118 6.14705882] ; [25.14705882 31.85294118],0
p7,1,0.175698,1.833639,[50 13] ; [233  95],[45.59846547 17.40153453] ; [237.40153453  90.59846547],0
n6,1,0.182972,1.773319,[60  4] ; [295  40],[56.94235589  7.05764411] ; [298.05764411  36.94235589],0
s6,1,0.220907,1.498472,[50 13] ; [238  93],[46.05076142 16.94923858] ; [241.94923858  89.05076142],0
b3,1,0.228817,1.448203,[25 24] ; [ 86 121],[21.24609375 27.75390625] ; [ 89.75390625 117.24609375],0
b2,1,0.228817,1.448203,[25 24] ; [ 86 121],[21.24609375 27.75390625] ; [ 89.75390625 117.24609375],0
d4,1,0.274854,1.19236,[57  7] ; [282  55],[54.10473815  9.89526185] ; [284.89526185  52.10473815],0
a2,1,0.282294,1.156013,[13 52] ; [ 89 249],[16.4516129 48.5483871] ; [ 85.5483871 252.4516129],0
s3,1,0.316239,1.004439,[40 24] ; [185 147],[36.36363636 27.63636364] ; [188.63636364 143.36363636],0
n2,1,0.355645,0.853214,[10  1] ; [45 12],[8.89705882 2.10294118] ; [46.10294118 10.89705882],0
a7,1,0.451662,0.566477,[50 15] ; [244  93],[47.53731343 17.46268657] ; [246.46268657  90.53731343],0
p9,1,0.454139,0.5603,[64  1] ; [326  11],[63.05970149  1.94029851] ; [326.94029851  10.05970149],0
u3,1,0.506176,0.441964,[8 3] ; [55 33],[7. 4.] ; [56. 32.],0
a5,1,0.591168,0.288524,[49 16] ; [265  73],[50.64516129 14.35483871] ; [263.35483871  74.64516129],0
p11,1,0.601138,0.273283,[57  8] ; [288  50],[55.64516129  9.35483871] ; [289.35483871  48.64516129],0
p2,1,0.676241,0.174388,[59  6] ; [300  37],[58.04726368  6.95273632] ; [300.95273632  36.04726368],0
a4,1,0.678376,0.17196,[30 35] ; [165 172],[31.52985075 33.47014925] ; [163.47014925 173.52985075],0
a8,1,0.76274,0.091135,[ 9 49] ; [ 43 264],[ 8.2630137 49.7369863] ; [ 43.7369863 263.2630137],0
r4,1,0.79661,0.066429,[60  5] ; [315  23],[60.48387097  4.51612903] ; [314.51612903  23.48387097],0
v2,1,0.811718,0.056744,[45 19] ; [225 102],[44.1943734 19.8056266] ; [225.8056266 101.1943734],0
b4,1,0.831295,0.045387,[39 26] ; [198 140],[38.22580645 26.77419355] ; [198.77419355 139.22580645],0
s4,1,0.922061,0.009572,[10 53] ; [ 55 281],[10.26315789 52.73684211] ; [ 54.73684211 281.26315789],0
v4,1,0.928329,0.008091,[63  2] ; [323  11],[62.88220551  2.11779449] ; [323.11779449  10.88220551],0
d5,1,0.936359,0.006376,[54 10] ; [283  54],[53.78553616 10.21446384] ; [283.21446384  53.78553616],0
u1,1,0.939446,0.005771,[13 52] ; [ 69 269],[13.22580645 51.77419355] ; [ 68.77419355 269.22580645],0
r1,1,0.951691,0.00367,[54 11] ; [281  56],[54.16666667 10.83333333] ; [280.83333333  56.16666667],0
d3,1,0.986961,0.000267,[45 19] ; [238 100],[45.05472637 18.94527363] ; [237.94527363 100.05472637],0
