Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.00066,11.597727,[ 3 29] ; [6 4],[ 6.85714286 25.14285714] ; [2.14285714 7.85714286],1
p4,1,0.024488,5.059765,[16 16] ; [9 1],[19.04761905 12.95238095] ; [5.95238095 4.04761905],0
r4,1,0.029324,4.748471,[10 22] ; [7 3],[12.95238095 19.04761905] ; [4.04761905 5.95238095],0
b1,1,0.046915,3.948438,[21 11] ; [3 7],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
d5,1,0.066206,3.374657,[15 17] ; [8 2],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
s6,1,0.066206,3.374657,[15 17] ; [8 2],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
p3,1,0.066327,3.371667,[ 9 23] ; [6 4],[11.42857143 20.57142857] ; [3.57142857 6.42857143],0
p1,1,0.070508,3.271154,[ 1 31] ; [2 8],[ 2.28571429 29.71428571] ; [0.71428571 9.28571429],0
b3,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
b2,1,0.104355,2.637698,[ 4 14] ; [3 2],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
n4,1,0.130709,2.284059,[17 15] ; [8 2],[19.04761905 12.95238095] ; [5.95238095 4.04761905],0
u3,1,0.133696,2.249053,[ 5 10] ; [3 1],[6.31578947 8.68421053] ; [1.68421053 2.31578947],0
v1,1,0.14958,2.076529,[11 21] ; [6 4],[12.95238095 19.04761905] ; [4.04761905 5.95238095],0
s7,1,0.160995,1.964857,[ 9 21] ; [5 4],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
p12,1,0.19603,1.671711,[ 2 30] ; [2 8],[ 3.04761905 28.95238095] ; [0.95238095 9.04761905],0
b4,1,0.201224,1.633466,[15 17] ; [7 3],[16.76190476 15.23809524] ; [5.23809524 4.76190476],0
p2,1,0.240141,1.379766,[23  9] ; [9 1],[24.38095238  7.61904762] ; [7.61904762 2.38095238],0
p6,1,0.255166,1.294795,[ 7 25] ; [4 6],[ 8.38095238 23.61904762] ; [2.61904762 7.38095238],0
n3,1,0.347153,0.883838,[7 4] ; [1 2],[6.28571429 4.71428571] ; [1.71428571 1.28571429],0
n5,1,0.359397,0.84,[24  8] ; [6 4],[22.85714286  9.14285714] ; [7.14285714 2.85714286],0
n6,1,0.360213,0.83715,[20 11] ; [8 2],[21.17073171  9.82926829] ; [6.82926829 3.17073171],0
s4,1,0.403867,0.696783,[ 7 25] ; [1 9],[ 6.0952381 25.9047619] ; [1.9047619 8.0952381],0
v3,1,0.478308,0.502719,[ 9 23] ; [4 6],[ 9.9047619 22.0952381] ; [3.0952381 6.9047619],0
d2,1,0.478308,0.502719,[ 9 23] ; [4 6],[ 9.9047619 22.0952381] ; [3.0952381 6.9047619],0
a4,1,0.491839,0.4725,[10 22] ; [2 8],[ 9.14285714 22.85714286] ; [2.85714286 7.14285714],0
p11,1,0.516937,0.42,[26  6] ; [9 1],[26.66666667  5.33333333] ; [8.33333333 1.66666667],0
d3,1,0.580483,0.305455,[16 16] ; [6 4],[16.76190476 15.23809524] ; [5.23809524 4.76190476],0
r3,1,0.580874,0.304823,[27  4] ; [8 2],[26.46341463  4.53658537] ; [8.53658537 1.46341463],0
s8,1,0.601035,0.273438,[13 19] ; [5 5],[13.71428571 18.28571429] ; [4.28571429 5.71428571],0
s3,1,0.609989,0.260191,[ 9 23] ; [2 8],[ 8.38095238 23.61904762] ; [2.61904762 7.38095238],0
v2,1,0.654991,0.199665,[13 18] ; [5 5],[13.6097561 17.3902439] ; [4.3902439 5.6097561],0
a1,1,0.687744,0.161538,[ 2 30] ; [1 9],[ 2.28571429 29.71428571] ; [0.71428571 9.28571429],0
a7,1,0.703004,0.145366,[17 15] ; [6 4],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
a3,1,0.703004,0.145366,[17 15] ; [6 4],[17.52380952 14.47619048] ; [5.47619048 4.52380952],0
a6,1,0.728886,0.120137,[14 18] ; [5 5],[14.47619048 17.52380952] ; [4.52380952 5.47619048],0
r1,1,0.728886,0.120137,[14 18] ; [5 5],[14.47619048 17.52380952] ; [4.52380952 5.47619048],0
s2,1,0.797817,0.065625,[11 21] ; [3 7],[10.66666667 21.33333333] ; [3.33333333 6.66666667],0
v4,1,0.797817,0.065625,[21 11] ; [7 3],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
a8,1,0.807262,0.059516,[ 4 27] ; [1 9],[ 3.7804878 27.2195122] ; [1.2195122 8.7804878],0
b5,1,0.862878,0.02983,[17 15] ; [5 5],[16.76190476 15.23809524] ; [5.23809524 4.76190476],0
d1,1,0.90879,0.013125,[ 9 23] ; [3 7],[ 9.14285714 22.85714286] ; [2.85714286 7.14285714],0
a5,1,0.971963,0.001235,[19 13] ; [6 4],[19.04761905 12.95238095] ; [5.95238095 4.04761905],0
p7,1,0.971963,0.001235,[19 13] ; [6 4],[19.04761905 12.95238095] ; [5.95238095 4.04761905],0
p8,1,1.0,0.0,[16 16] ; [5 5],[16. 16.] ; [5. 5.],0
