Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,55.279301,[224  68] ; [37 65],[193.43147208  98.56852792] ; [67.56852792 34.43147208],1
d3,1,0.0,43.091744,[237  56] ; [48 54],[211.40506329  81.59493671] ; [73.59493671 28.40506329],1
b5,1,3e-06,21.723502,[198  96] ; [42 60],[178.18181818 115.81818182] ; [61.81818182 40.18181818],1
a2,1,1.4e-05,18.831283,[ 97 197] ; [11 91],[ 80.18181818 213.81818182] ; [27.81818182 74.18181818],1
u1,1,0.000308,13.023568,[ 76 218] ; [ 9 93],[ 63.10606061 230.89393939] ; [21.89393939 80.10606061],1
d1,1,0.000562,11.896168,[208  86] ; [53 49],[193.77272727 100.22727273] ; [67.22727273 34.77272727],1
r2,1,0.000791,11.263201,[286   5] ; [92  9],[280.60714286  10.39285714] ; [97.39285714  3.60714286],1
s8,1,0.002235,9.345765,[174 118] ; [78 24],[186.76142132 105.23857868] ; [65.23857868 36.76142132],0
s7,1,0.0135,6.102424,[191  91] ; [80 19],[200.58267717  81.41732283] ; [70.41732283 28.58267717],0
b1,1,0.019958,5.415561,[103 191] ; [49 53],[112.84848485 181.15151515] ; [39.15151515 62.84848485],0
r4,1,0.022031,5.24332,[277  17] ; [89 13],[271.72727273  22.27272727] ; [94.27272727  7.72727273],0
a3,1,0.023907,5.101395,[218  75] ; [87 15],[226.24050633  66.75949367] ; [78.75949367 23.24050633],0
a1,1,0.031167,4.643755,[ 14 280] ; [11 91],[ 18.56060606 275.43939394] ; [ 6.43939394 95.56060606],0
b4,1,0.042438,4.117665,[178 116] ; [50 52],[169.27272727 124.72727273] ; [58.72727273 43.27272727],0
r1,1,0.058362,3.583331,[245  47] ; [77 25],[238.63959391  53.36040609] ; [83.36040609 18.63959391],0
n3,1,0.059813,3.542564,[44 11] ; [17 11],[40.42168675 14.57831325] ; [20.57831325  7.42168675],0
n1,1,0.098848,2.724031,[19 36] ; [14 12],[22.40740741 32.59259259] ; [10.59259259 15.40740741],0
d4,1,0.111373,2.534623,[259  34] ; [83 18],[254.32994924  38.67005076] ; [87.67005076 13.32994924],0
v4,1,0.128308,2.312853,[286   6] ; [96  5],[283.82697201   8.17302799] ; [98.17302799  2.82697201],0
v3,1,0.166055,1.918204,[118 163] ; [50 50],[123.90551181 157.09448819] ; [44.09448819 55.90551181],0
