Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,177.460867,[194  30] ; [ 39 146],[127.60880196  96.39119804] ; [105.39119804  79.60880196],1
s7,1,0.0,85.564364,[166  52] ; [ 52 124],[120.61928934  97.38071066] ; [97.38071066 78.61928934],1
s6,1,0.0,63.413115,[191  29] ; [94 92],[154.43349754  65.56650246] ; [130.56650246  55.43349754],1
s8,1,0.0,62.980031,[152  72] ; [ 53 133],[112. 112.] ; [93. 93.],1
s5,1,0.0,36.188131,[111 102] ; [ 42 143],[ 81.88190955 131.11809045] ; [ 71.11809045 113.88190955],1
p6,1,0.000958,10.907351,[107 115] ; [ 60 127],[ 90.64547677 131.35452323] ; [ 76.35452323 110.64547677],1
p12,1,0.002014,9.537053,[ 35 191] ; [ 11 176],[ 25.17191283 200.82808717] ; [ 20.82808717 166.17191283],0
d1,1,0.002141,9.424361,[162  64] ; [107  80],[147.20096852  78.79903148] ; [121.79903148  65.20096852],0
u1,1,0.011757,6.347206,[ 58 168] ; [ 29 158],[ 47.60774818 178.39225182] ; [ 39.39225182 147.60774818],0
d2,1,0.018199,5.576866,[128  96] ; [ 85 102],[116.08759124 107.91240876] ; [96.91240876 90.08759124],0
s4,1,0.025662,4.978631,[ 42 183] ; [ 20 166],[ 33.94160584 191.05839416] ; [ 28.05839416 157.94160584],0
d4,1,0.028988,4.768322,[201  24] ; [153  34],[193.32524272  31.67475728] ; [160.67475728  26.32524272],0
s1,1,0.036296,4.383127,[  8 215] ; [  1 185],[  4.90709046 218.09290954] ; [  4.09290954 181.90709046],0
p11,1,0.044366,4.042569,[186  40] ; [167  20],[193.16707022  32.83292978] ; [159.83292978  27.16707022],0
a6,1,0.084969,2.967199,[149  75] ; [139  48],[156.96350365  67.03649635] ; [131.03649635  55.96350365],0
d5,1,0.106397,2.606939,[199  26] ; [155  32],[193.32524272  31.67475728] ; [160.67475728  26.32524272],0
v3,1,0.116344,2.465866,[136  85] ; [99 85],[128.2345679  92.7654321] ; [106.7654321  77.2345679],0
n2,1,0.148423,2.088384,[33  6] ; [24 10],[30.45205479  8.54794521] ; [26.54794521  7.45205479],0
