Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,199.309087,[ 41 142] ; [230  29],[112.20135747  70.79864253] ; [158.79864253 100.20135747],1
s7,1,0.0,92.852795,[ 49 129] ; [187  64],[97.92074592 80.07925408] ; [138.07925408 112.92074592],1
s6,1,0.0,91.619798,[86 96] ; [228  28],[130.47488584  51.52511416] ; [183.52511416  72.47488584],1
s8,1,0.0,66.403209,[ 55 129] ; [179  80],[97.19187359 86.80812641] ; [136.80812641 122.19187359],1
s5,1,0.0,35.615211,[ 44 137] ; [130 115],[ 73.92957746 107.07042254] ; [100.07042254 144.92957746],1
s4,1,0.000265,13.301216,[ 19 164] ; [ 62 196],[ 33.6122449 149.3877551] ; [ 47.3877551 210.6122449],1
p12,1,0.000763,11.32986,[  9 175] ; [ 39 222],[ 19.84719101 164.15280899] ; [ 28.15280899 232.84719101],1
p6,1,0.000769,11.313953,[ 60 124] ; [125 132],[ 77.18820862 106.81179138] ; [107.81179138 149.18820862],1
p4,1,0.005023,7.871024,[111  73] ; [189  70],[124.60496614  59.39503386] ; [175.39503386  83.60496614],0
u4,1,0.01815,5.581602,[  1 184] ; [ 11 250],[  4.97757848 180.02242152] ; [  7.02242152 253.97757848],0
u3,1,0.020171,5.397001,[21 21] ; [32 11],[26.18823529 15.81176471] ; [26.81176471 16.18823529],0
s1,1,0.027019,4.889601,[  1 183] ; [ 10 249],[  4.56884876 179.43115124] ; [  6.43115124 252.56884876],0
u2,1,0.036653,4.366462,[21 21] ; [31 12],[25.69411765 16.30588235] ; [26.30588235 16.69411765],0
u1,1,0.037307,4.336337,[ 39 146] ; [ 78 183],[ 48.53139013 136.46860987] ; [ 68.46860987 192.53139013],0
v1,1,0.060053,3.535921,[98 85] ; [157  94],[107.52304147  75.47695853] ; [147.47695853 103.52304147],0
d5,1,0.060316,3.52867,[184   1] ; [251   8],[181.25   3.75] ; [253.75   5.25],0
v4,1,0.079755,3.069888,[176   9] ; [255   5],[179.17977528   5.82022472] ; [251.82022472   8.17977528],0
r3,1,0.083659,2.992335,[175  10] ; [254   6],[178.34831461   6.65168539] ; [250.65168539   9.34831461],0
p9,1,0.086744,2.933781,[171  14] ; [250  10],[175.02247191   9.97752809] ; [245.97752809  14.02247191],0
a2,1,0.102648,2.663916,[ 55 130] ; [ 97 164],[ 63.04932735 121.95067265] ; [ 88.95067265 172.04932735],0
a3,1,0.102721,2.662775,[143  41] ; [218  42],[149.6036036  34.3963964] ; [211.3963964  48.6036036],0
a1,1,0.123916,2.367111,[  6 179] ; [ 17 244],[  9.54035874 175.45964126] ; [ 13.45964126 247.54035874],0
p3,1,0.14379,2.136928,[98 86] ; [156 103],[105.49887133  78.50112867] ; [148.50112867 110.49887133],0
p1,1,0.156609,2.006671,[ 12 172] ; [ 27 233],[ 16.16216216 167.83783784] ; [ 22.83783784 237.16216216],0
n5,1,0.162663,1.94929,[140  44] ; [212  48],[145.87387387  38.12612613] ; [206.12612613  53.87387387],0
b4,1,0.17985,1.798862,[118  67] ; [150 111],[111.16591928  73.83408072] ; [156.83408072 104.16591928],0
d4,1,0.211082,1.563992,[184   1] ; [254   5],[182.5   2.5] ; [255.5   3.5],0
r2,1,0.219646,1.50668,[174   7] ; [254   5],[176.06363636   4.93636364] ; [251.93636364   7.06363636],0
v2,1,0.235239,1.408898,[107  73] ; [162  87],[112.86713287  67.13286713] ; [156.13286713  92.86713287],0
a7,1,0.253746,1.302561,[139  46] ; [208  53],[143.93497758  41.06502242] ; [203.06502242  57.93497758],0
p5,1,0.255843,1.29111,[ 21 163] ; [ 39 218],[ 25.03401361 158.96598639] ; [ 34.96598639 222.03401361],0
a4,1,0.275457,1.18937,[99 85] ; [154 107],[104.61123596  79.38876404] ; [148.38876404 112.61123596],0
a6,1,0.299305,1.077286,[141  44] ; [186  73],[136.25  48.75] ; [190.75  68.25],0
d2,1,0.321325,0.983544,[127  58] ; [189  70],[131.66666667  53.33333333] ; [184.33333333  74.66666667],0
v3,1,0.373356,0.792465,[ 77 102] ; [117 130],[81.51643192 97.48356808] ; [112.48356808 134.51643192],0
r4,1,0.442359,0.590155,[171  14] ; [246  15],[172.97085202  12.02914798] ; [244.02914798  16.97085202],0
n2,1,0.499144,0.456755,[22 10] ; [40 13],[23.34117647  8.65882353] ; [38.65882353 14.34117647],0
a5,1,0.527231,0.399727,[154  31] ; [223  38],[156.37892377  28.62107623] ; [220.62107623  40.37892377],0
p8,1,0.565021,0.331085,[108  74] ; [146 112],[105.06363636  76.93636364] ; [148.93636364 109.06363636],0
n1,1,0.628522,0.234071,[11 21] ; [21 32],[12.04705882 19.95294118] ; [19.95294118 33.04705882],0
n3,1,0.688248,0.160988,[21  9] ; [40 14],[21.78571429  8.21428571] ; [39.21428571 14.78571429],0
b1,1,0.695156,0.153561,[ 64 121] ; [ 95 166],[ 65.9529148 119.0470852] ; [ 93.0470852 167.9529148],0
r1,1,0.714796,0.133534,[157  28] ; [223  36],[158.33333333  26.66666667] ; [221.66666667  37.33333333],0
p2,1,0.73732,0.112496,[157  25] ; [228  33],[158.17155756  23.82844244] ; [226.82844244  34.17155756],0
b2,1,0.773066,0.083156,[47 65] ; [ 68 101],[45.83629893 66.16370107] ; [69.16370107 99.83629893],0
b3,1,0.773066,0.083156,[47 65] ; [ 68 101],[45.83629893 66.16370107] ; [69.16370107 99.83629893],0
b5,1,0.781325,0.077058,[111  74] ; [160 101],[112.4103139  72.5896861] ; [158.5896861 102.4103139],0
n6,1,0.832182,0.044903,[163  22] ; [229  29],[163.7020316  21.2979684] ; [228.2979684  29.7020316],0
a8,1,0.893292,0.017993,[ 22 138] ; [ 34 205],[ 22.45614035 137.54385965] ; [ 33.54385965 205.45614035],0
p7,1,0.899854,0.015837,[126  55] ; [174  78],[125.40415704  55.59584296] ; [174.59584296  77.40415704],0
n4,1,0.903292,0.014763,[153  32] ; [217  44],[153.47533632  31.52466368] ; [216.52466368  44.47533632],0
d3,1,0.948158,0.004228,[164  21] ; [231  29],[164.21348315  20.78651685] ; [230.78651685  29.21348315],0
p11,1,0.992437,9e-05,[156  29] ; [220  41],[155.96412556  29.03587444] ; [220.03587444  40.96412556],0
