Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,64.847774,[85 25] ; [17 70],[56.95431472 53.04568528] ; [45.04568528 41.95431472],1
s2,1,0.0,49.502717,[80 30] ; [19 67],[55.56122449 54.43877551] ; [43.43877551 42.56122449],1
s3,1,0.0,30.007388,[83 27] ; [31 54],[64.30769231 45.69230769] ; [49.69230769 35.30769231],1
a3,1,4e-06,21.278705,[97 13] ; [52 35],[83.19796954 26.80203046] ; [65.80203046 21.19796954],1
s6,1,4e-06,21.06044,[88 19] ; [43 41],[73.38743455 33.61256545] ; [57.61256545 26.38743455],1
p6,1,0.000442,12.346069,[51 57] ; [19 65],[39.375 68.625] ; [30.625 53.375],1
r3,1,0.000447,12.326314,[107   3] ; [72 15],[99.94923858 10.05076142] ; [79.05076142  7.94923858],1
v3,1,0.001223,10.454915,[54 55] ; [22 61],[43.14583333 65.85416667] ; [32.85416667 50.14583333],0
n4,1,0.001577,9.986713,[97 13] ; [61 26],[88.22335025 21.77664975] ; [69.77664975 17.22335025],0
p3,1,0.001736,9.80998,[67 43] ; [33 53],[56.12244898 53.87755102] ; [43.87755102 42.12244898],0
p7,1,0.00449,8.074248,[81 27] ; [46 37],[71.81151832 36.18848168] ; [55.18848168 27.81151832],0
p4,1,0.009987,6.637183,[72 38] ; [40 45],[63.17948718 46.82051282] ; [48.82051282 36.17948718],0
a5,1,0.013263,6.133666,[86 24] ; [54 33],[78.17258883 31.82741117] ; [61.82741117 25.17258883],0
d5,1,0.016242,5.776458,[90 19] ; [59 28],[82.8622449 26.1377551] ; [66.1377551 20.8622449],0
a6,1,0.016425,5.756749,[37 73] ; [44 43],[45.2284264 64.7715736] ; [35.7715736 51.2284264],0
b4,1,0.025675,4.977796,[52 58] ; [55 32],[59.74619289 50.25380711] ; [47.25380711 39.74619289],0
u1,1,0.030615,4.674424,[11 99] ; [ 2 85],[  7.25888325 102.74111675] ; [ 5.74111675 81.25888325],0
n1,1,0.031107,4.647063,[16 11] ; [ 7 17],[12.17647059 14.82352941] ; [10.82352941 13.17647059],0
s4,1,0.04008,4.214479,[28 81] ; [12 75],[22.24489796 86.75510204] ; [17.75510204 69.24489796],0
r1,1,0.049461,3.859639,[87 23] ; [58 29],[80.96446701 29.03553299] ; [64.03553299 22.96446701],0
n6,1,0.061459,3.497569,[97 12] ; [69 18],[92.31632653 16.68367347] ; [73.68367347 13.31632653],0
v4,1,0.081132,3.042084,[102   6] ; [76 11],[98.58461538  9.41538462] ; [79.41538462  7.58461538],0
b1,1,0.083655,2.992426,[54 56] ; [32 55],[48.02030457 61.97969543] ; [37.97969543 49.02030457],0
