Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,25.1996,[4 9] ; [39  2],[10.35185185  2.64814815] ; [32.64814815  8.35185185],1
s7,1,0.002916,8.859508,[ 2 10] ; [25 13],[6.48 5.52] ; [20.52 17.48],0
a5,1,0.006839,7.314822,[ 3 10] ; [27 14],[7.22222222 5.77777778] ; [22.77777778 18.22222222],0
n5,1,0.009342,6.756265,[7 6] ; [35  5],[10.30188679  2.69811321] ; [31.69811321  8.30188679],0
s6,1,0.01018,6.603175,[ 3 10] ; [25 14],[7. 6.] ; [21. 18.],0
p4,1,0.028201,4.815715,[6 7] ; [32  9],[9.14814815 3.85185185] ; [28.85185185 12.14814815],0
r2,1,0.04855,3.890845,[10  3] ; [39  2],[11.7962963  1.2037037] ; [37.2037037  3.7962963],0
a3,1,0.057011,3.622266,[4 9] ; [25 16],[6.98148148 6.01851852] ; [22.01851852 18.98148148],0
s2,1,0.075184,3.166041,[ 3 10] ; [21 20],[5.77777778 7.22222222] ; [18.22222222 22.77777778],0
s3,1,0.088843,2.895206,[ 3 10] ; [20 20],[5.64150943 7.35849057] ; [17.35849057 22.64150943],0
s5,1,0.122566,2.384227,[ 2 10] ; [16 23],[4.23529412 7.76470588] ; [13.76470588 25.23529412],0
a8,1,0.127485,2.322868,[4 9] ; [ 5 35],[ 2.20754717 10.79245283] ; [ 6.79245283 33.20754717],0
p5,1,0.148131,2.091396,[ 1 12] ; [11 30],[ 2.88888889 10.11111111] ; [ 9.11111111 31.88888889],0
a7,1,0.167774,1.902719,[6 7] ; [27 13],[8.09433962 4.90566038] ; [24.90566038 15.09433962],0
v3,1,0.179559,1.801272,[ 3 10] ; [18 23],[5.05555556 7.94444444] ; [15.94444444 25.05555556],0
s8,1,0.179559,1.801272,[ 3 10] ; [18 23],[5.05555556 7.94444444] ; [15.94444444 25.05555556],0
b5,1,0.179559,1.801272,[10  3] ; [23 18],[7.94444444 5.05555556] ; [25.05555556 15.94444444],0
n6,1,0.191898,1.702985,[9 4] ; [35  6],[10.59259259  2.40740741] ; [33.40740741  7.59259259],0
a4,1,0.19675,1.666338,[ 2 11] ; [14 27],[3.85185185 9.14814815] ; [12.14814815 28.85185185],0
p11,1,0.236553,1.401018,[8 5] ; [32  9],[9.62962963 3.37037037] ; [30.37037037 10.62962963],0
a6,1,0.26044,1.266417,[7 6] ; [29 12],[8.66666667 4.33333333] ; [27.33333333 13.66666667],0
u3,1,0.270948,1.211939,[3 6] ; [9 7],[4.32 4.68] ; [7.68 8.32],0
b1,1,0.339632,0.91182,[8 5] ; [19 22],[6.5 6.5] ; [20.5 20.5],0
d3,1,0.376902,0.780781,[5 8] ; [10 29],[3.75 9.25] ; [11.25 27.75],0
a1,1,0.382159,0.763747,[ 1 12] ; [ 1 40],[ 0.48148148 12.51851852] ; [ 1.51851852 39.48148148],0
n1,1,0.398025,0.714286,[2 4] ; [5 4],[2.8 3.2] ; [4.2 4.8],0
p1,1,0.400344,0.707292,[ 2 11] ; [11 30],[3.12962963 9.87037037] ; [ 9.87037037 31.12962963],0
d5,1,0.452505,0.564369,[4 9] ; [17 23],[5.1509434 7.8490566] ; [15.8490566 24.1509434],0
v2,1,0.475242,0.509762,[6 7] ; [23 17],[7.11320755 5.88679245] ; [21.88679245 18.11320755],0
u2,1,0.509432,0.435233,[5 4] ; [11  5],[5.76 3.24] ; [10.24  5.76],0
n4,1,0.516992,0.41989,[9 4] ; [32  9],[9.87037037 3.12962963] ; [31.12962963  9.87037037],0
r1,1,0.534023,0.38673,[8 5] ; [29 12],[8.90740741 4.09259259] ; [28.09259259 12.90740741],0
p8,1,0.537467,0.380254,[7 6] ; [26 15],[7.94444444 5.05555556] ; [25.05555556 15.94444444],0
r3,1,0.573656,0.316604,[11  2] ; [37  4],[11.55555556  1.44444444] ; [36.44444444  4.55555556],0
r4,1,0.608485,0.262387,[11  2] ; [32  9],[10.35185185  2.64814815] ; [32.64814815  8.35185185],0
v1,1,0.618333,0.248218,[5 8] ; [19 22],[5.77777778 7.22222222] ; [18.22222222 22.77777778],0
b3,1,0.618402,0.24812,[4 4] ; [10 15],[3.39393939 4.60606061] ; [10.60606061 14.39393939],0
b2,1,0.618402,0.24812,[4 4] ; [10 15],[3.39393939 4.60606061] ; [10.60606061 14.39393939],0
p2,1,0.627268,0.235784,[10  3] ; [34  7],[10.59259259  2.40740741] ; [33.40740741  7.59259259],0
p3,1,0.648491,0.207807,[7 6] ; [25 16],[7.7037037 5.2962963] ; [24.2962963 16.7037037],0
b4,1,0.765697,0.088809,[7 6] ; [24 17],[7.46296296 5.53703704] ; [23.53703704 17.46296296],0
d2,1,0.782272,0.076375,[4 9] ; [11 30],[3.61111111 9.38888889] ; [11.38888889 29.61111111],0
a2,1,0.823,0.050036,[ 1 12] ; [ 4 37],[ 1.2037037 11.7962963] ; [ 3.7962963 37.2037037],0
v4,1,0.823,0.050036,[12  1] ; [37  4],[11.7962963  1.2037037] ; [37.2037037  3.7962963],0
p7,1,0.947084,0.004405,[11  2] ; [35  6],[11.07407407  1.92592593] ; [34.92592593  6.07407407],0
d1,1,0.964096,0.002026,[ 1 12] ; [ 3 38],[ 0.96296296 12.03703704] ; [ 3.03703704 37.96296296],0
n2,1,1.0,0.0,[4 2] ; [6 3],[4. 2.] ; [6. 3.],0
